"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1350	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2155	RCFD2160	RCFD2170	RCFD2800	RCFD2920	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1350	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2155	RCON2160	RCON2170	RCON2200	RCON2800	RCON2920	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	FED. FUNDS SOLD & SECURITIES RS.	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	CUSTOMERS LIABILITY ON ACCEPTANCES	OTHER ASSETS	TOTAL ASSETS	FED. FUNDS PURCHASED & SECURITIES RP	ACCEPTANCES EXECUTED FOR ACCT. & OUT	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	FED. FUNDS SOLD & SECURITIES RS.	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	CUSTOMERS LIABILITY ON ACCEPTANCES	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	FED. FUNDS PURCHASED & SECURITIES RP	ACCEPTANCES EXECUTED FOR ACCT. & OUT	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	
37																																							0	1729	0	3766	18439	0	0	554	200	0	1270	65486	53715	0	0	347	54062	0	979	0	0	0	11424	1200	65486	0	0	7724	0	2500	0	7024	46691	1	0	40507	39528	0	
242																																							0	618	0	930	0	8546	0	299	0	0	374	23537	18853	0	0	181	20034	0	127	0	1000	0	3503	120	23537	0	0	3170	0	120	0	2396	16457	4	0	12897	12770	93	
279																																							252	1255	0	1780	38742	27398	223	525	158	0	891	93195	71424	0	0	290	77714	0	278	0	6000	0	15481	0	93195	0	0	15235	0	0	0	1507	69917	1	0	22249	21971	246	
354																																							0	224	0	219	116	4047	0	44	0	0	134	8078	6912	0	0	75	6987	0	130	0	0	0	1091	25	8078	0	0	547	0	500	0	1148	5764	4	0	3424	3294	19	
439																																							0	8430	3760	11611	3191	21265	0	2968	50	0	2286	157857	140569	0	0	1571	142140	0	1188	0	0	0	15717	596	157857	0	0	8492	0	6504	0	26944	113625	1	0	105484	104296	125	
457																																							90	576	0	900	5298	0	0	92	0	0	747	19036	17026	0	0	328	17354	0	164	0	0	0	1682	60	19036	0	0	682	0	940	0	1859	15167	4	0	11497	11333	0	
505																																							43	6214	96	10000	0	55699	21	5436	91	0	5542	239839	214938	0	0	1791	220729	57	2115	1786	4000	0	19053	5400	239839	0	0	7453	0	5400	0	38318	176620	1	0	157026	154911	800	
1146																																							1151	10402	512	3000	175	32306	0	9598	762	0	10732	292401	258789	0	0	4164	271658	0	2372	410	2705	6000	20743	19	292401	0	0	11896	0	8629	0	52087	206702	2	0	225725	223353	199	
1155																																							8	4347	0	3000	12914	18296	0	3005	18	0	1979	125255	105182	10270	0	721	116173	0	1114	0	0	0	9082	1600	125255	0	0	3908	0	3400	0	11859	93323	5	0	82802	81688	174	
