"IDRSSD"	RCFD1248	RCFD1249	RCFD1250	RCFD1251	RCFD1252	RCFD1253	RCFD1254	RCFD1255	RCFD1256	RCFD1257	RCFD1258	RCFD1259	RCFD1271	RCFD1272	RCFD1583	RCFD1594	RCFD1597	RCFD1658	RCFD1659	RCFD1661	RCFD1791	RCFD3505	RCFD3506	RCFD3507	RCFD3529	RCFD3530	RCFD5377	RCFD5378	RCFD5379	RCFD5380	RCFD5381	RCFD5382	RCFD5389	RCFD5390	RCFD5391	RCFD5459	RCFD5460	RCFD5461	RCFD5612	RCFD5613	RCFD5614	RCFD5615	RCFD5616	RCFD5617	RCFD6558	RCFD6559	RCFD6560	RCFDB575	RCFDB576	RCFDB577	RCFDB578	RCFDB579	RCFDB580	RCFNB572	RCFNB573	RCFNB574	RCON1226	RCON1227	RCON1228	RCON1248	RCON1249	RCON1250	RCON1254	RCON1255	RCON1256	RCON1271	RCON1272	RCON1583	RCON1594	RCON1597	RCON1606	RCON1607	RCON1608	RCON1658	RCON1659	RCON1661	RCON1791	RCON2759	RCON2769	RCON3492	RCON3493	RCON3494	RCON3495	RCON3499	RCON3500	RCON3501	RCON3502	RCON3503	RCON3504	RCON3505	RCON3506	RCON3507	RCON3529	RCON3530	RCON5380	RCON5381	RCON5382	RCON5389	RCON5390	RCON5391	RCON5398	RCON5399	RCON5400	RCON5401	RCON5402	RCON5403	RCON5459	RCON5460	RCON5461	RCON5612	RCON5613	RCON5614	RCON5615	RCON5616	RCON5617	RCON6558	RCON6559	RCON6560	RCONB575	RCONB576	RCONB577	RCONB578	RCONB579	RCONB580	RCONB834	RCONB835	RCONB836	
	LNS SECD BY RE TO NONUS ADR,PAS DU30	LNS SECD BY RE TO NONUS ADR,PAS DU90	LNS SECD BY RE TO NONUS ADR,NONACCRL	C&I LNS TO US ADDRS,PAS DU 30-89 DYS	C&I LNS TO US ADDRS,PAS DU 90 DYS OR	C&I LNS TO US ADDRS,NONACCRUAL	C&I LNS TO NONUS ADR,PAS DU 30-89 DY	C&I LNS TO NONUS ADR,PAS DU 90 DYS	C&I LNS TO NONUS ADR,NONACCRUAL	LSE FNC RECS OF US ADDRS,PAS DU 30	LSE FIN RECS OF US ADDRS, PAST DUE 9	LSE FIN RECS OF US ADDR,NONACCRUAL	LEASE FINAN REC OF NON-US P/D30-89DY	LSE FIN RECS OF NONUS ADR,PAS DU 90	LOANS TO FARMERS, NONACCRUAL	LN TO FRMERS,PAST 30-89 DYS, ACCRUIN	LN TO FRMERS,PAST 90 OR MORE,ACCRUIN	RESTRUCTURED LNS-PAST DUE 30-89 DAYS	RESTRUCTURED LNS-PAST DUE 90 DAYS OR	RESTRUCTURED LNS-NONACCRUAL	LSE FIN RECS OF NON-US ADRS,NONACCRL	OTH ASSETS-PAST DUE 30-89 DYS, ACCRG	OTH ASSETS-PAST DUE 90DYS OR MOR,ACG	OTHER ASSETS-NONACCRUAL	REPLMT COST OF CONTRCTS-PAS DU 30-89	REPLMT COST OF CONTRCTS-PAS DU 90 DY	LNS TO US BKS,ETC.-PAST DU 30-89 DYS	LNS TO US BKS,ETC.-PAST DU 90 DYS OR	LNS TO US BKS,ETC.-NONACCRUAL	LNS TO FOREIGN BKS-PAST DU 30-89 DYS	LNS TO FOREIGN BKS-PAST DU 90 DYS OR	LNS TO FOREIGN BKS-NONACCRUAL	LNS TO FGN GOV,ETC.-PAS DU 30-89 DYS	LNS TO FGN GOV,ETC.-PAS DU 90 DYS OR	LNS TO FGN GOV,ETC.-NONACCRUAL	ALL OTHER LOANS-PAST DU 30-89 DAYS	ALL OTHER LOANS-PAST DU 90 DYS OR MO	ALL OTHER LOANS-NONACCRUAL	LNS&LEASES WHLY GUAR-PST DU 30-89 DY	LNS&LEASES WHLY GUAR-PST DU 90DYS OR	LNS&LEASES WHLY GUAR-NONACCRUAL	GUAR PORTN OF LNS&LS-PST DU 30-89 DY	GUAR PORTN OF LNS&LS-PST DU 90DYS OR	GUAR PORTN OF LNS&LS-NONACCRUAL	COMMCL RE,ETC.-PAST DUE 30-89 DYS,AG	COMMCL RE,ETC.-PAST DUE 90DYS OR MOR	COMMCL RE,ETC.-NONACCRUAL	PAST DUE(30-89DA): CREDIT CARD LOANS	PAST DUE(>=90DAY): CREDIT CARD LOANS	PAST DUE(NONACCR): CREDIT CARD LOANS	PAST DUE(30-89DA): OTHER INDIV LOANS	PAST DUE(>=90DAY): OTHER INDIV LOANS	PAST DUE(NONACCR): OTHER INDIV LOANS	PAST DUE (30-89DA): LOANS FGN OFFICE	PAST DUE (>=90DAY): LOANS FGN OFFICE	PAST DUE (NONACCR): LOANS FGN OFFICE	P/D(30-89DA):LEASE FIN REC - DERIVED	P/D(>=90DAY):LEASE FIN REC - DERIVED	P/D(NONACCR):LEASE FIN REC - DERIVED	LNS SECD BY RE TO NONUS ADR,PAS DU30	LNS SECD BY RE TO NONUS ADR,PAS DU90	LNS SECD BY RE TO NONUS ADR,NONACCRL	C&I LNS TO NONUS ADR,PAS DU 30-89 DY	C&I LNS TO NONUS ADR,PAS DU 90 DYS	C&I LNS TO NONUS ADR,NONACCRUAL	LEASE FINAN REC OF NON-US P/D30-89DY	LSE FIN RECS OF NONUS ADR,PAS DU 90	LOANS TO FARMERS, NONACCRUAL	LN TO FRMERS,PAST 30-89 DYS, ACCRUIN	LN TO FRMERS,PAST 90 OR MORE,ACCRUIN	PAST DUE (30-89 DAYS): C&I LOANS	PAST DUE (>=90 DAYS): C&I LOANS	PAST DUE (NONACCRUAL):C&I LOANS	RESTRUCTURED LNS-PAST DUE 30-89 DAYS	RESTRUCTURED LNS-PAST DUE 90 DAYS OR	RESTRUCTURED LNS-NONACCRUAL	LSE FIN RECS OF NON-US ADRS,NONACCRL	CONSTRUCTION LNS-PAST DUE 30-89 DAYS	CONSTRUCTN LNS-PAST DUE 90DYS OR MOR	CONSTRUCTION LNS-NONACCRUAL	LNS SECD BY FARMLAND-PAST DUE 30-89	LNS SECD BY FARMLAND-PAST DUE 90DYS	LNS SECD BY FARMLAND-NONACCRUAL	LNS SECD BY MULTIFAMILY-PST DU 30-89	LNS SECD BY MULTIFAMILY-PST DU 90DYS	LNS SECD BY MULTIFAMILY-NONACCRUAL	LNS SECD BY NONFARM-PAST DU 30-89DYS	LNS SECD BY NONFARM-PAST DU 90DYS OR	LNS SECD BY NONFARM-NONACCRUAL	OTH ASSETS-PAST DUE 30-89 DYS, ACCRG	OTH ASSETS-PAST DUE 90DYS OR MOR,ACG	OTHER ASSETS-NONACCRUAL	REPLMT COST OF CONTRCTS-PAS DU 30-89	REPLMT COST OF CONTRCTS-PAS DU 90 DY	LNS TO FOREIGN BKS-PAST DU 30-89 DYS	LNS TO FOREIGN BKS-PAST DU 90 DYS OR	LNS TO FOREIGN BKS-NONACCRUAL	LNS TO FGN GOV,ETC.-PAS DU 30-89 DYS	LNS TO FGN GOV,ETC.-PAS DU 90 DYS OR	LNS TO FGN GOV,ETC.-NONACCRUAL	RVLVG,OPEN-END LNS-PAST DU 30-89 DYS	RVLVG,OPEN-END LNS-PAST DU 90 DYS OR	RVLVG,OPEN-END LNS-NONACCRUAL	ALL OTH LNS,1-4FMLY-PAS DU 30-89 DYS	ALL OTH LNS,1-4FMLY-PAS DU 90 DYS OR	ALL OTH LNS,1-4FMLY-NONACCRUAL	ALL OTHER LOANS-PAST DU 30-89 DAYS	ALL OTHER LOANS-PAST DU 90 DYS OR MO	ALL OTHER LOANS-NONACCRUAL	LNS&LEASES WHLY GUAR-PST DU 30-89 DY	LNS&LEASES WHLY GUAR-PST DU 90DYS OR	LNS&LEASES WHLY GUAR-NONACCRUAL	GUAR PORTN OF LNS&LS-PST DU 30-89 DY	GUAR PORTN OF LNS&LS-PST DU 90DYS OR	GUAR PORTN OF LNS&LS-NONACCRUAL	COMMCL RE,ETC.-PAST DUE 30-89 DYS,AG	COMMCL RE,ETC.-PAST DUE 90DYS OR MOR	COMMCL RE,ETC.-NONACCRUAL	PAST DUE(30-89DA): CREDIT CARD LOANS	PAST DUE(>=90DAY): CREDIT CARD LOANS	PAST DUE(NONACCR): CREDIT CARD LOANS	PAST DUE(30-89DA): OTHER INDIV LOANS	PAST DUE(>=90DAY): OTHER INDIV LOANS	PAST DUE(NONACCR): OTHER INDIV LOANS	P/D(30-89DA):LOANS TO DI'S - DERIVED	PD GE 90 DAY LN TO DI DERIVED	P/D(NONACCR):LOANS TO DI - DERIVED	
37																																																									0	0	0									0	0	0	85	0	18	0	0	0		0	0	0	0	0	0	0	0	0	411	0	0	0	0	0						0	0	0	0	0	0	644	312	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	5	91	0	0	0	
242																																																									0	0	0									0	0	0	10	0	0	0	0	0		0	0	0	8	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	175	66	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	
279																																																									0	0	0									0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	143	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	
354																																																									0	0	0									8	41	0	0	0	0	0	0	0		0	0	0	46	0	0	0	0	0	0	0	29	0	0	0						0	0	0	0	0	0	16	0	5	41	0	8	0	0	0	0	0	0	0	0	0	0	0	0	42	0	50	0	0	0	
439																																																									0	0	0									0	0	0	406	15	196	0	0	0		333	0	0	17	0	0	0	0	0	2027	0	85	0	0	0						0	0	0	0	0	0	966	104	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	50	206	0	0	0	
457																																																									0	0	0									0	1	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	6	5	0	0	0	
505																																																									0	0	0									0	0	0	2365	9	130	0	0	0		0	0	0	0	0	0	0	0	0	270	187	479	0	0	0						0	0	0	84	19	24	547	93	214	0	0	0	78	0	0	62	0	0	0	0	0	3	1	0	565	44	12	0	0	0	
1146																																																									0	0	0												437	0	43	0	0	0		1115	0	303	0	0	0	193	0	435	301	0	0	0	0	0						0	0	0	0	0	0	84	0	34	0	0	0	0	0	0	0	0	0	0	0	0	38	37	39	32	0	0	0	0	0	
1155																																																									0	0	0									0	0	0	254	0	0	0	0	0		0	0	0	0	0	0	0	0	0	746	0	0	0	0	0						0	0	0	13	0	0	287	0	0	6	0	0	0	0	0	0	0	0	0	0	0	14	3	0	137	23	0	0	0	0	
