"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD4635	RIAD4815	RIADB522	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	LOSSES CHARGED TO RESERVE	CHG IN ALLOW FOR LN&LS LOSS/ADJUSTMT	BEGIN BALANCE (MOST RECENT) IN ALLL	
37	979	45	20	28	0	942	
242	127	0	2	0	0	125	
279	278	0	8	0	0	270	
354	130	0	3	2	0	129	
439	1188	0	19	64	0	1233	
457	164	0	0	0	0	164	
505	2115	1024	103	293	0	1281	
1146	2372	170	30	224	0	2396	
1155	1114	45	0	64	0	1133	
1351	323	15	3	24	0	329	
1454	870	40	4	17	0	843	
1557	351	0	1	0	0	350	
1632	1955	98	13	117	0	1961	
1669	691	30	24	78	0	715	
1829	1629	176	5	159	0	1607	
1856	125	0	0	0	0	125	
1959	324	0	1	1	0	324	
2040	1122	45	5	32	0	1104	
2161	500	0	0	16	0	516	
2376	4776	0	0	0	0	4776	
2451	106	15	2	0	0	89	
2554	39	6	0	9	0	42	
2732	1925	75	7	59	0	1902	
2750	792	162	29	202	0	803	
2938	2535	126	5	289	0	2693	
2956	812	31	4	18	234	561	
3252	912	50	81	93	0	874	
3458	334	0	3	1	0	332	
3506	6374	180	202	162	0	6154	
3579	1407	58	19	26	552	804	
3720	975	16	0	1	0	960	
3953	746	0	8	38	0	776	
4138	987	51	29	28	0	935	
4147	492	9	1	1	0	483	
4156	633	0	12	8	0	629	
4231	644	15	5	5	0	629	
4437	651	30	5	3	0	619	
4745	54	1	0	0	0	53	
4839	1446	120	16	89	0	1399	
5005	1613	45	0	0	0	1568	
5050	575	60	25	59	0	549	
5069	5019	0	0	0	0	5019	
5135	1168	0	54	11	0	1125	
5210	3712	60	19	62	0	3695	
5247	2156	45	11	12	0	2112	
5274	622	4	14	21	0	625	
5331	884	0	1	0	0	883	
5452	915	4	2	4	0	913	
5461	1195	0	2	4	0	1197	
5751	621	15	1	0	0	605	
5939	33183	1800	240	2319	0	33462	
6039	831	75	20	117	0	853	
6057	147	35	3	22	0	131	
6141	439	15	0	69	0	493	
6329	1890	150	51	109	0	1798	
6842	119	10	0	6	0	115	
6972	2960	190	3	17	0	2784	
7009	0	0	0	0	0	0	
7045	640	45	9	31	0	617	
7157	145	0	3	10	0	152	
7166	3199	75	7	3	0	3120	
7456	464	45	25	9	0	403	
7634	488	22	4	1	0	463	
8033	613	4	46	132	0	695	
8154	481	0	1	21	0	501	
8417	387	15	0	0	0	372	
8462	355	0	4	11	0	362	
8547	1149	54	4	44	0	1135	
8631	283	18	1	8	0	272	
8855	841	0	2	3	0	842	
9115	6586	370	7	169	0	6378	
9160	1072	45	0	0	0	1027	
9339	2997	60	8	22	0	2951	
9357	2298	165	0	1	0	2134	
9553	412	0	0	0	0	412	
9807	30530	500	17	43	0	30056	
9955	483	0	4	9	0	488	
10157	606	100	18	10	0	498	
10250	1460	135	9	33	0	1349	
10577	370	0	25	0	0	345	
10849	1325	0	1	1	0	1325	
10858	4219	1750	17	1536	0	3988	
11145	752	48	7	44	0	741	
11350	369	7	2	2	0	362	
11640	1052	125	96	217	0	1048	
11837	1184	0	25	0	0	1159	
12030	3932	375	247	277	0	3587	
12058	472	30	22	98	0	518	
12142	1062	15	41	52	0	1058	
12245	660	4	4	17	0	669	
12311	301073	33464	7556	35648	-1474	297175	
12357	81	0	0	0	0	81	
12405	8277	260	80	208	0	8145	
12647	397	12	0	5	0	390	
12656	104	4	5	0	0	95	
12937	721	18	0	0	0	703	
12946	3838	119	126	194	0	3787	
