"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD6373	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXT6373	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	EFFECT OF ADOPTING FAS 133, ETC	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	EFFECT OF ADOPTING FAS 133, ETC	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	4	0	11	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	12	0	0	2	0	3	0	22	16																	
242	2	0	10	0	1	0	0	0	4	7	0	0	0	0	0	0	0	0	0	0	false	0	3	0	0	0	0	0	0	10	6																	
279	8	0	18	0	3	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	false	0	11	0	0	0	0	0	2	43	8				OUTSIDE SERVICES                                                                                                                                                                                 													
354	3	0	3	3	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	false	0	2	0	0	0	0	0	0	2	1				Audits                                                                                                                                                                                           													
439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	48	0																	
457	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	5	0	0	0	0				EXAMINATION, ACCOUNTING, LEGAL FEES                                                                                                                                                              													
505	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	179	0																	
1146	82	0	0	0	0	2039	276	0	111	49	51	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	126	0	205	0	LTC-Search,closing fees, document prep and title ins                                                                                                                                             	PMC-Misc income                                                                                                                                                                                  		PMC- Telephone and Adv.                                                                                                                                                                          	LTC-Telephone                                                                                                                                                                                    	PMC-Dues & Memberships                                                                                                                                                                           											
1155	44	0	42	0	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	18	0	0	4	0	5	12	70	18	9                                                                                                                                                                                                																
