"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD4815	RIADB522	RIADC079	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	CHG IN ALLOW FOR LN&LS LOSS/ADJUSTMT	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	
37	1049	90	49	0	942	32	
242	129	0	3	0	127	1	
279	279	0	9	0	270	0	
354	121	0	7	0	129	15	
439	1115	0	25	0	1233	143	
457	164	0	1	0	164	1	
505	2074	1082	125	0	1281	414	
1146	2489	350	71	0	2396	328	
1155	1161	90	4	0	1133	66	
1351	346	45	5	0	329	33	
1454	848	50	13	0	843	58	
1557	351	0	3	0	350	2	
1632	2012	195	39	0	1961	183	
1669	714	75	38	0	715	114	
1829	1713	265	20	0	1607	179	
1856	121	0	2	0	125	6	
1959	325	0	2	0	324	1	
2040	1180	90	24	0	1104	38	
2161	509	6	6	0	516	19	
2376	4976	200	0	0	4776	0	
2451	101	25	2	0	89	15	
2554	45	12	0	0	42	9	
2732	1996	150	16	0	1902	72	
2750	812	182	29	0	803	202	
2938	2575	252	9	0	2693	379	
2956	857	73	23	2	791	32	
3252	901	100	107	0	874	180	
3458	333	0	9	0	332	8	
3506	6524	380	221	0	6154	231	
3579	1455	127	27	552	804	55	
3720	971	32	13	0	960	34	
3953	839	100	18	0	776	55	
4138	1030	102	41	0	935	48	
4147	498	18	1	0	483	4	
4156	634	8	20	0	629	23	
4231	656	30	9	0	629	12	
4437	681	70	9	0	619	17	
4745	53	1	0	0	53	1	
4839	1482	210	32	0	1399	159	
5005	1655	90	0	0	1568	3	
5050	566	60	30	0	549	73	
5069	5019	0	0	0	5019	0	
5135	1121	0	93	0	1125	97	
5210	3757	120	23	0	3695	81	
5247	2188	90	14	0	2112	28	
5274	636	16	36	0	625	41	
5331	917	0	35	0	883	1	
5461	1133	0	10	0	1197	74	
5751	631	30	1	0	605	5	
5939	34925	4550	528	0	33462	3615	
6039	873	145	27	0	853	152	
6057	118	82	4	0	131	99	
6141	442	30	2	0	493	83	
6329	1751	300	76	0	1798	423	
6842	122	18	0	0	115	11	
6972	3062	340	16	0	2784	78	
7009	0	0	0	0	0	0	
7045	676	90	16	0	617	47	
7157	167	345	4	0	152	334	
7166	3323	275	15	0	3120	87	
7456	464	45	25	0	403	9	
7634	488	45	6	0	463	26	
8033	615	4	49	0	695	133	
8154	481	0	1	0	501	21	
8417	253	-119	0	0	372	0	
8462	350	0	9	0	362	21	
8547	1170	108	9	0	1135	82	
8631	286	36	3	0	272	25	
9115	6800	790	28	0	6378	396	
9160	1115	90	1	0	1027	3	
9339	3089	202	10	0	2951	74	
9357	2251	300	14	0	2134	197	
9553	430	15	3	0	412	0	
9807	31104	1000	130	0	30056	82	
9955	483	0	6	0	488	11	
10157	570	100	41	0	498	69	
10250	1499	270	28	0	1349	148	
10577	369	0	25	0	345	1	
10849	1335	22	3	0	1325	15	
10858	3856	3159	33	8	3988	3332	
11145	782	96	12	0	741	67	
11350	380	15	7	0	362	4	
11640	1106	225	104	0	1048	271	
11837	1200	0	42	0	1159	1	
12030	4391	750	601	0	3587	547	
12058	558	195	41	0	518	196	
12142	1053	45	88	0	1058	138	
12245	673	16	10	0	669	22	
12311	351133	150554	17563	-3038	297175	111121	
12357	81	0	0	0	81	0	
12405	8435	620	170	0	8145	500	
12647	397	24	0	0	390	17	
12656	109	9	5	0	95	0	
12937	737	36	0	0	703	2	
12946	3772	363	219	0	3787	597	
12955	816	130	91	0	770	175	
13037	1214	114	19	0	1095	14	
13103	3785	270	32	0	3495	12	
13251	292	0	17	0	277	2	
13309	55158	9174	2344	0	59291	15651	
13457	348	0	7	0	341	0	
14052	537	63	0	0	474	0	
14155	738	128	10	0	620	20	
14258	4508	360	28	0	4224	104	
14409	189751	47786	6390	0	158927	23352	
14454	688	20	5	0	681	18	
14650	314	30	27	0	285	28	
14753	495	0	2	0	493	0	
14865	677	18	11	0	667	19	
14931	209	0	5	0	207	3	
14940	754	72	0	0	723	41	
15536	11824	2675	194	0	9443	488	
15732	2686	285	0	0	2409	8	
16337	1306	300	36	0	1051	81	
16355	508	4	1	0	503	0	
16458	1625	23	8	0	1767	173	
16551	866	115	2	0	759	10	
16748	280	35	4	0	271	30	
16766	4674	762	0	0	4869	957	
16944	479	0	12	0	473	6	
16953	109	0	1	0	111	3	
17110	422	52	0	0	370	0	
17147	5174	750	111	0	4817	504	
17259	128	0	5	0	134	11	
17464	5505	1715	127	0	5020	1357	
17549	2214	1250	49	0	1242	327	
17642	176	71	4	0	222	121	
17839	1947	30	366	0	1684	133	
17950	281	30	0	0	253	2	
18050	1371	150	28	0	1254	61	
18126	5699	450	59	0	5393	203	
18135	682	90	54	0	607	69	
18368	5097	750	130	0	5042	825	
18377	42	0	0	0	42	0	
18827	1148	44	4	0	1154	54	
18836	755	105	31	0	686	67	
18854	185	118	5	0	201	139	
18863	1973	175	43	0	1843	88	
18957	343	45	45	0	264	11	
19356	849	150	31	0	1082	414	
19730	11578	0	3	0	11592	17	
19936	870	260	35	0	1024	449	
19972	69	0	0	0	69	0	
20053	178	12	0	0	170	4	
20147	731	0	180	0	588	37	
20259	201	28	12	0	189	28	
20370	794	270	351	0	1029	856	
20512	630	0	17	0	635	22	
20633	1565	0	93	0	1500	28	
20754	75	0	1	0	74	0	
