"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON2702	RCON2710	RCON2722	RCON3510	RCON3512	RCON3514	RCON3520	RCON3779	RCON5514	RCON5515	RCON5516	RCON5517	RCON5596	RCON5597	RCON6861	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA531	RCONA532	RCONA533	RCONA545	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	TOTAL DEPOSITS $100,000 OR LESS	TOTAL DEPOSITS > $100,000	TOT DEPS - NUM OF ACCTS > $100,000	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	# OF DEP ACCTS OF $100,000 OR LESS	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	DEPOSITS IN LIFELINE ACCOUNTS	ESTIMATE OF UNINSURED DEPOSITS	EST AMT OF UNINSURD DEPS METHD INDCT	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	TOTL DEPS PURCHD/ACQRD FROM OTH FDIC	AMT OF PURCHD/ACQRD DPS RPTD IN A531	TOTL DEPS SOLD OR TRNSFRD DURING QTR	PB/PSA FDIC CERTIFICATE NUMBER	PB/PSA FDIC CERTIFICATE NUMBER	
37	0	0	0	0		0	0	0		40815	12469	87	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
242	0	0	0	0		0	0	0		16629	3019	19	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
279	0	0	0	0		0	0	0		63459	13195	95	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
354	0	0	0	0		0	0	0		6451	718	2	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
439	0	0	0	0		0	0	0		105332	24986	140	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
457	0	0	0	0		0	0	0		14643	2654	14	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
505	0	0	0	0		0	0	0		144172	82412	357	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
1146	0	0	0	1552		0	0	10		170850	96374	492	0	0	0	0		0		0	0			false	0	0	0	0	0	0						
1155	0	0	0	0		0	0	0		77671	27789	102	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
1351	0	31	0	0		0	0	0		36868	33776	175	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
1454	0	0	0	0		0	0	0		165349	88643	305	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
1557	0	0	0	0		0	0	0		23816	4563	29	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
1632	1	0	0	0		0	0	0		93735	63516	161	125	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
1669	0	0	0	0		0	0	0		148539	55886	196	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
1829	0	0	0	0		0	0	0		162405	44732	229	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
1856	0	0	0	0		0	0	0		6673	1747	7	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
1959	0	0	0	0		0	0	0		10683	4272	18	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
