"IDRSSD"	RIAD3582	RIAD3583	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD3590	RIAD3591	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4658	RIAD4659	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD4668	RIAD4669	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIAD5413	RIAD5414	RIADB512	RIADB513	RIADB514	RIADB515	RIADB516	RIADB517	
	CHG-OFFS ON CONSTRCTN&LAND DEVLPMT	RECVRS ON CONSTRCTN&LAND DEVLPMT LNS	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFFS ON LNS SECD BY NONFARM NONR	RECVRS ON LNS SECD BY NONFARM NONRES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	CHRG-OFF LEASE FNC RCVBL US ADDR	CHRG-OFF LEASE FNC RCVBL NON US ADDR	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	RECOV ON LEASE FIN RECEIVABLE-US ADD	RCVRY LEASE FNC RCVBL NON US ADD	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHG-OFFS OF ALL OTHR LNS SECD BY 1-4	RECOVERS OF ALL OTHR LNS SECD BY 1-4	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	CHARGE-OFFS ON: OTHER INDIV LOANS	RECOVERIES ON: OTHER INDIV LOANS	
37	0	0	0	0	0	0	0	0	0	0	0	0	64	0			0	0	71	0	0	0						0						0			0	0	0	0	11	6			0	0	60	58	
242	0	0	0	0	0	0	0	0	0	0	0	0	3	1			0	0	7	0	0	7						0						0			0	0	0	0	0	0			0	0	0	2	
279	0	0	0	0	0	0	0	0	0	0	0	0	9	1			0	0	0	0	0	0						0						0			0	0	0	0	0	0			0	0	0	8	
354	0	0	0	0	0	0	0	0	0	0	0	3	17	5			0	0	15	0	0	0						0						0			0	0	0	0	2	6			0	0	13	3	
439	0	0	0	0	0	0	4	0	0	0	0	0	36	0			0	0	396	236	0	0						0						0			0	0	0	0	67	1			0	0	89	35	
457	0	0	0	0	0	0	0	0	0	0	0	0	2	0			0	2	13	0	0	0						0						2			0	0	0	0	0	0			0	0	13	0	
505	0	0	0	0	0	0	0	0	0	0	0	0	129	98			0	0	793	585	0	0						0						0			0	0	0	0	23	0			6	0	179	31	
1146	133	15	0	0	0	0	0	0	0	0	0	0	66	5			0	0	471	5	0	0															0	0	23	17	0	0			297	14	13	15	
1155	0	0	0	0	0	0	0	0	0	0	0	0	9	5			0	4	66	60	0	6						0						0			0	0	0	0	0	0			0	0	0	0	
1351	0	0	0	0	0	0	0	0	0	0	0	0	6	3			0	0	52	0	0	0						0						0			0	0	0	0	0	0			0	0	52	3	
1454	0	0	0	0	0	0	0	0	0	0	0	0	35	3			0	4	141	0	0	7						0						0			0	0	0	0	0	0			23	3	111	25	
1557	0	0	0	0	0	0	0	0	0	0	0	0	9	0			0	7	2	0	0	0						0						7			0	0	0	0	0	0			0	0	2	2	
1632	0	0	0	0	0	0	0	1	0	0	0	0	64	16			0	16	230	90	0	19						11						0			0	0	0	0	32	7			0	0	89	24	
1669	0	0	0	0	0	0	0	0	0	0	0	0	49	6			0	1	166	25	0	20						0						0			0	0	0	0	1	0			0	0	120	42	
1829	0	0	0	0	0	0	0	0	64	0	0	0	40	29			0	0	303	84	0	0						0						0			0	0	0	0	5	0			15	1	135	10	
1856	0	0	0	0	0	0	0	0	0	0	0	0	18	0			0	18	6	6	0	0						0						15			0	0	0	0	0	0			0	0	0	0	
1959	0	0	0	0	0	0	0	0	0	0	0	0	7	0			0	5	4	0	0	0						0						5			0	0	0	0	3	0			0	0	1	2	
2040	0	0	0	0	0	0	0	0	0	0	0	0	27	15			0	0	76	0	0	0						0						0			0	0	0	0	19	1			0	0	57	11	
2161	0	0	0	0	0	0	0	0	0	0	0	0	7	0			0	0	40	0	0	0						0						0			0	0	0	0	0	0			10	1	30	6	
2376	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0	0	0			0	0	0	0	
2451	0	0	0	0	0	0	0	0	0	0	0	0	2	0			0	2	30	30	0	0						0						2			0	0	0	0	0	0			0	0	0	0	
2554	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	9	9	0	0						0						0			0	0	0	0	0	0			0	0	0	0	
2732	0	0	0	0	0	0	0	0	0	0	0	0	102	81		0	0	0	82	49	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0	0	0			0	0	33	21	
2750	0	0	0	3	0	0	0	0	0	0	0	0	29	0			0	0	202	0	0	0						0						0			0	0	0	0	0	0			0	0	202	26	
2938	0	0	0	0	0	0	0	0	0	0	0	0	10	3			0	0	581	444	0	0						0						0			0	0	0	0	0	0			0	0	137	7	
2956	0	0	0	0	0	0	0	0	0	0	0	0	23	16			0	0	46	0	0	0						0						0			0	0	0	0	8	0			0	0	38	7	
3252	0	0	0	0	0	0	0	12	0	0	0	0	136	41			0	0	261	23	0	0						0						0			0	0	0	0	0	0			0	0	238	83	
3458	0	0	0	1	0	0	0	0	0	0	0	0	14	6			0	2	9	5	0	0						0						2			0	0	0	0	0	3			0	0	4	2	
3506	0	0	0	0	0	0	0	0	697	6	0	0	301	265		0	0	0	706	0	0	0		0	0		0	0		0	0		0	0		0	0	0	5	18	0	3			0	6	4	3	
3579	4	0	0	0	0	0	0	0	0	0	0	0	35	0			0	0	97	0	0	0						0						0			0	0	0	0	27	8			0	0	66	27	
3720	0	0	0	0	0	0	0	0	0	0	0	0	26	22			0	0	43	1	0	0						0						0			0	0	0	0	2	0			0	0	40	4	
3953	0	0	23	4	0	0	0	0	0	0	0	0	39	17			0	9	220	128	0	23						23						9			0	0	0	0	0	2			0	0	46	7	
4138	0	0	0	0	0	0	0	0	0	0	0	0	44	14			0	0	179	88	0	0						0						0			0	0	0	0	6	0			0	0	85	30	
4147	0	0	0	0	0	0	0	0	0	0	0	0	1	1			0	0	15	0	0	0						0						0			0	0	0	0	0	0			1	0	14	0	
4156	0	0	0	9	0	0	0	0	0	0	0	0	31	0			0	2	57	1	0	0						0						0			0	0	0	0	14	15			0	0	42	5	
4231	0	0	0	0	0	0	0	0	0	0	0	0	13	0			0	1	20	6	0	0						0						1			0	0	0	0	3	3			0	0	11	9	
4437	0	0	0	0	0	0	0	0	0	0	0	0	15	0			0	0	38	7	0	0						0						0			0	0	0	0	0	0			0	0	31	15	
4745	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	1	0	0	0						0						0			0	0	0	0	0	0			0	0	1	0	
4839	0	0	0	0	0	0	0	0	0	0	0	0	60	4			0	0	239	30	0	0						0						0			0	0	0	0	0	0			0	0	209	56	
5005	0	0	0	0	0	0	0	0	0	0	0	0	1	0			0	0	3	0	0	0						0						0			0	0	0	0	0	0			0	0	3	1	
5050	0	0	0	0	0	0	0	0	0	0	0	0	44	0			0	0	139	0	0	0						0						0			0	0	0	0	0	0			7	0	132	44	
5069	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0	0	0			0	0	0	0	
5135	0	0	0	0	0	0	0	0	0	0	0	0	94	1			0	65	150	54	0	9						9						65			0	0	0	0	6	22			17	0	64	6	
5210	0	0	0	0	0	0	0	0	0	0	0	0	45	1		0	0	0	142	10	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0	26	3			0	0	106	41	
5247	0	0	0	0	0	0	0	0	0	0	0	0	16	0		0	0	3	64	0	0	22		0	0		0	0		0	0		0	0		0	0	0	0	0	0	5			4	1	38	7	
5274	0	0	0	0	0	0	0	0	0	0	0	0	50	0			0	0	101	4	0	0						0						0			0	0	0	0	0	0			0	0	97	50	
5331	0	0	0	0	0	0	0	0	0	0	0	0	35	35			0	0	1	0	0	0						0						0			0	0	0	0	0	0			0	0	1	0	
5461	0	0	0	0	0	0	70	245	0	0	0	0	251	0			0	0	74	0	0	0						0						0			0	0	0	0	0	0			0	0	4	6	
5751	0	0	0	0	0	0	0	0	0	0	0	0	1	0			0	0	5	0	0	0						0						0			0	0	0	0	0	0			0	0	5	1	
5939	11746	566	0	0	0	0	0	0	0	3	0	0	687	34		0	0	38	12720	447	0	311		0	0		0	0		0	0		0	0		0	0	0	0	0	0	0			0	0	216	46	
6039	0	0	0	0	0	0	0	0	0	0	0	0	35	4			0	0	315	202	0	0						0						0			0	0	0	0	0	0			4	0	109	31	
6057	0	0	0	0	0	0	0	0	0	0	0	0	5	0			0	0	106	73	0	0						0						0			0	0	0	0	3	0			0	0	30	5	
6141	0	0	0	0	0	0	0	0	0	0	0	0	4	0			0	0	104	45	0	0						0						0			0	0	0	0	9	0			0	0	50	4	
6329	0	0	0	0	0	0	71	4	0	0	0	0	112	3			0	2	728	398	0	0						0						2			0	0	0	0	14	17			19	8	226	78	
6842	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	13	0	0	0						0						0			0	0	0	0	0	0			0	0	13	0	
6972	0	0	0	0	0	0	0	0	0	0	0	0	19	0		0	0	0	125	36	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0	0	0			34	11	55	8	
7009	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0	0	0			0	0	0	0	
7045	0	0	0	0	0	0	0	0	0	0	0	0	16	0			0	0	52	0	0	0						0						0			0	0	0	0	29	0			2	0	21	16	
7157	0	0	0	0	0	0	0	0	0	0	0	0	6	0			0	0	358	345	0	3						3						0			0	0	0	0	0	0			0	0	10	6	
7166	0	0	0	0	0	0	0	0	0	0	0	0	25	22		0	0	0	149	136	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0	0	0			2	1	11	2	
7456	0	0	0	0	0	0	0	0	0	0	0	0	150	25			0	125	205	9	0	190						190						125			0	0	0	0	0	0			0	0	6	0	
7634	0	0	0	0	0	0	0	0	0	0	0	0	9	0			0	0	58	15	0	0						0						0			0	0	0	0	0	0			0	0	43	9	
8033	0	0	0	0	0	0	0	0	0	0	0	0	51	8			0	42	133	53	0	80						79						42			0	0	0	0	0	0			0	0	0	1	
8154	0	0	0	0	0	0	0	0	0	0	0	0	4	2			0	0	33	1	0	0						0						0			0	0	0	0	6	0			0	0	26	2	
