"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1350	RCON1374	RCON1752	RCON2155	RCON2163	RCON2192	RCON2800	RCON2920	RCON2941	RCON3129	RCON3190	RCONA510	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	FED. FUNDS SOLD & SECURITIES RS.	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	CUSTOMERS LIABILITY ON ACCEPTANCES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	FED. FUNDS PURCHASED & SECURITIES RP	ACCEPTANCES EXECUTED FOR ACCT. & OUT	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	
37										3646		213	0			0	0			0	0	
242										2382		138	0			0	0			1080	0	
279										3790		600	0			0	0			8500	500	
354										0		5	0			451	0			0	0	
439										5700		0	0			888	0			0	0	
457										2400		5	0			0	0			0	0	
505										1100		1321	0			0	0			4000	0	
1146										0		2272	0			0	0			16515	2508	
1155										3800		463	0			10937	0			0	0	
1351										7678		0	0			0	0			0	0	
1454										25500		1054	0			0	0			0	5	
1557										1799		23	0			0	0			118	0	
1632										411		800	0			2720	0			16000	0	
1669										11219		682	0			0	0			464	0	
1829										0		964	0			0	0			0	1658	
1856										740		20	0			0	0			0	0	
1959										1450		0	0			0	0			0	0	
2040										3652		920	0			0	0			15420	136	
2161										3325		198	0			0	0			0	0	
2376										13200		3969	0			33093	0			0	40000	
2451										90		95	0			0	0			1200	3	
2554										475		0	0			0	0			0	0	
2732										13300		181	0			0	0			9	0	
2750										2130		189	0			100	0			2589	0	
2938										0		1000	0			36004	0			20000	32	
2956										6000		0	0			0	0			0	0	
3252										0		145	0			2025	0			104	0	
3458										1660		47	0			1525	0			0	0	
3506										0		3977	0			17800	0			7000	0	
3579										2300		1464	0			4708	0			22413	0	
3720										0		625	0			3758	0			8113	0	
