"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4522	RIAD4769	RIAD5523	RIAD6373	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	WRITE DOWN ARISING FRM TRNSFR TO HFS	EFFECT OF ADOPTING FAS 133, ETC	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	14	0	44	17	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	37	0	0	7	0	9	0	120	66															
242	13	0	42	29	0				15			0		0		0				false	0	0	0			0	0	5	3	13	0				COMPTROLLER OF THE CURRENCY ASSESSMENT                                                                                                                                                           											
279	31	3	69	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	1	0	3	6	188	38															
354	19	0	1	0	0	0	0	0	7	13	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	17	0				INSURANCE                                                                                                                                                                                        	AUDITS                                                                                                                                                                                           										
439	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	196	0															
457	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	21	0	0	0	15															
505	234	0	0	0	194	0	0	0	317	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	697	0				Loan Servicing Expense                                                                                                                                                                           											
1146	505	0	0	0	0	7253	1751	10886	693	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	921	0	PMC-DISCOUNT GAIN ON SALE OF LOANS                                                                                                                                                               	CC INCOME AND INTERCHANGE FEE INCOME                                                                                                                                                             	LTC SEARCH FEE, TAX REPORT FEE,DOCUMENT PREP, AND TAX RE                                                                                                                                         	TELEPHONE                                                                                                                                                                                        											
1155	201	0	168	0	19	41	0	0	29	23	62	0	0	0	0	0	0	0	0	false	0	0	76	0	0	21	0	0	69	303	70	Exchange & Commission Fees                                                                                                                                                                       			Telephone                                                                                                                                                                                        	Insurance                                                                                                                                                                                        	ATM Expense                                                                                                                                                                                      									
