"IDRSSD"	RIAD3582	RIAD3583	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD3590	RIAD3591	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4658	RIAD4659	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD4668	RIAD4669	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADB516	RIADB517	RIADC217	RIADC218	RIADC234	RIADC235	
	CHG-OFFS ON CONSTRCTN&LAND DEVLPMT	RECVRS ON CONSTRCTN&LAND DEVLPMT LNS	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFFS ON LNS SECD BY NONFARM NONR	RECVRS ON LNS SECD BY NONFARM NONRES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	CHRG-OFF LEASE FNC RCVBL US ADDR	CHRG-OFF LEASE FNC RCVBL NON US ADDR	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	RECOV ON LEASE FIN RECEIVABLE-US ADD	RCVRY LEASE FNC RCVBL NON US ADD	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	CHARGE-OFFS ON: OTHER INDIV LOANS	RECOVERIES ON: OTHER INDIV LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	
37	0	0	0	0	0	0	0	0	0	0	0	0	16	0			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	13	3	0	0	0	
242	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	1	0	0	0						0						0			0	0	0	0			0	0	1	0	0	0	0	0	
279	0	0	0	0	0	0	0	0	0	0	0	0	2	0			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	2	0	0	0	0	
354	0	0	0	0	0	0	0	1	0	0	0	0	16	1			0	0	2	0	0	0						0						0			0	0	0	0			0	0	2	14	0	0	0	0	
439	0	0	0	0	0	0	4	0	0	0	0	0	25	0			0	0	281	220	0	0						0						0			0	0	0	0			0	0	56	3	22	0	1	0	
457	0	0	0	0	0	0	0	0	0	0	0	0	3	0			0	3	0	0	0	0						0						3			0	0	0	0			0	0	0	0	0	0	0	0	
505	0	0	0	0	0	0	39	0	0	0	0	0	55	24			0	0	110	1	0	0						0						0			0	0	0	0			4	0	21	31	0	0	45	0	
1146	19	8	0	0	0	0	0	0	0	0	0	0	18	4		0	0	0	192	4	0	0		0	0		0	0		0	0		0	0		0	0	0	3	5			123	1	43	0	0	0	0	0	
1155	0	0	0	0	0	0	0	0	0	0	0	0	2	0			0	0	11	0	0	0						0						0			0	0	0	0			0	0	11	2	0	0	0	0	
1351	0	0	0	0	0	0	0	0	0	0	0	0	3	1			0	0	40	0	0	0						0						0			0	0	0	0			0	0	40	2	0	0	0	0	
1454	0	0	0	0	0	0	0	0	0	0	0	0	19	6			0	2	29	0	0	5						0						0			0	0	0	0			0	3	24	8	0	0	0	0	
1557	0	0	0	0	0	0	0	0	0	0	0	0	2	0			0	1	45	45	0	0						0						1			0	0	0	0			0	0	0	1	0	0	0	0	
1632	0	0	0	95	0	0	0	0	0	0	0	0	149	2			0	22	52	26	0	3						0						22			0	0	0	0			0	0	23	23	7	0	0	0	
1669	0	0	0	0	0	0	0	0	0	0	0	0	23	5			0	0	34	13	0	0						0						0			0	0	0	0			0	0	21	18	0	0	0	0	
1829	0	0	0	0	0	0	0	0	0	0	0	0	9	0			0	0	40	29	0	0						0						0			0	0	0	0			5	2	6	7	0	0	0	0	
1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	0	0	0	0	0	
2040	0	0	0	0	0	0	0	0	0	0	0	0	41	36			0	0	341	234	0	0						0						0			0	0	0	0			16	0	83	5	0	0	8	0	
2161	0	0	0	0	0	0	0	0	0	0	0	0	39	0			0	0	45	0	0	0						0						0			0	0	0	0			0	0	45	39	0	0	0	0	
2376	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0			0	0	0	0	0	0	0	0	
2451	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	0	0	0	0	0	
2554	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	2	0	0	0						0						0			0	0	0	0			0	0	2	0	0	0	0	0	
2732	0	0	0	0	0	0	0	0	0	0	0	0	8	0		0	0	0	35	0	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0			0	0	35	8	0	0	0	0	
2750	0	0	0	3	0	0	0	0	0	0	0	0	4	0			0	0	223	0	0	206						206						0			0	0	0	0			0	0	7	1	0	0	10	0	
2938	0	0	0	0	0	0	0	0	0	0	0	0	2	0			0	0	88	0	0	0						0						0			0	0	0	0			0	0	88	2	0	0	0	0	
2956	0	0	0	0	0	0	0	0	0	0	0	0	2	0			0	0	14	11	0	0						0						0			0	0	0	0			0	0	3	2	0	0	0	0	
3252	0	0	0	0	0	0	0	0	0	0	0	0	41	5			0	0	50	6	0	0						0						0			0	0	0	0			0	0	44	36	0	0	0	0	
3458	0	0	0	0	0	0	0	0	0	0	0	0	2	0			0	0	8	0	0	0						0						0			0	0	0	0			0	0	0	1	1	0	8	0	
3506	0	0	0	0	0	0	0	0	479	5	0	0	7	0		0	0	0	502	23	0	0		0	0		0	0		0	0		0	0		0	0	0	0	1			0	0	0	1	0	0	0	0	
3579	0	0	0	0	0	1	0	0	0	0	0	0	10	0			0	0	40	30	0	0						0						0			0	0	0	0			0	0	10	9	0	0	0	0	
3720	0	0	0	0	0	0	0	0	0	0	0	0	2	0			0	0	12	0	0	0						0						0			0	0	0	0			0	0	10	2	0	0	2	0	
3953	0	0	0	0	0	0	0	0	0	0	0	0	6	1			0	3	50	44	0	0						0						3			0	0	0	0			0	0	6	2	0	0	0	0	
4138	0	0	0	0	0	0	24	0	0	0	0	0	17	12			0	0	85	29	0	0						0						0			0	0	0	0			0	0	32	5	0	0	0	0	
4147	0	0	0	0	0	0	0	0	0	0	0	0	3	0			0	0	6	5	0	0						0						0			0	0	0	0			1	2	0	1	0	0	0	0	
4156	0	0	0	3	0	0	0	0	0	0	0	0	27	9			0	2	7	0	0	0						0						2			0	0	0	0			0	0	7	13	0	0	0	0	
4231	0	0	0	0	0	0	0	0	0	0	0	0	20	0			0	0	22	0	0	0						0						0			0	0	0	0			0	0	22	18	2	0	0	0	
4437	0	0	0	0	0	0	0	0	0	0	0	0	7	0			0	0	40	0	0	0						0						0			0	0	8	0			0	0	32	7	0	0	0	0	
4745	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	0	0	0	0	0	
4839	0	0	0	0	0	0	0	0	0	0	0	0	19	0			0	0	84	2	0	0						0						0			0	0	0	0			0	0	82	19	0	0	0	0	
5005	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	1	0	0	0						0						0			0	0	0	0			1	0	0	0	0	0	0	0	
