"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	
37	1048	45	16	0	987	0	0	
242	129	0	0	0	130	1	0	
279	325	0	2	0	323	0	0	
354	147	0	16	0	133	2	0	
439	825	150	25	0	931	281	0	
457	155	0	3	0	152	0	0	
505	2198	135	55	0	2118	110	0	
1146	2835	0	18	0	3009	192	0	
1155	1275	45	2	0	1239	11	0	
1351	352	15	3	0	374	40	0	
1454	852	0	19	0	862	29	0	
1557	332	17	2	0	358	45	0	
1632	2225	40	149	0	2088	52	0	
1669	949	45	23	0	915	34	0	
1829	1771	107	9	5	1695	35	0	
1856	111	0	0	0	111	0	0	
2040	1126	45	41	0	1381	341	0	
2161	505	19	39	0	492	45	0	
2376	5096	50	0	0	5046	0	0	
2451	116	5	0	0	111	0	0	
2554	37	6	0	0	33	2	0	
2732	2394	125	8	0	2296	35	0	
2750	772	92	4	0	899	223	0	
2938	2473	126	2	0	2433	88	0	
2956	854	14	2	0	852	14	0	
3252	907	30	41	0	886	50	0	
3458	347	0	2	8	353	0	0	
3506	6299	225	7	0	6569	502	0	
3579	1629	96	10	0	1563	40	0	
3720	1033	39	2	0	1004	12	0	
3953	621	0	6	0	665	50	0	
4138	950	75	17	0	943	85	0	
4147	503	9	3	0	497	6	0	
4156	692	36	27	0	636	7	0	
4231	673	15	20	0	660	22	0	
4437	909	105	7	0	837	40	0	
4745	56	1	0	0	55	0	0	
4839	1601	150	19	0	1516	84	0	
5005	1791	45	0	0	1747	1	0	
5050	561	40	16	0	540	35	0	
5069	5224	90	0	0	5139	5	0	
5135	1063	0	1	0	1069	7	0	
5210	3688	60	9	0	3723	104	0	
5247	2210	45	5	0	2222	62	0	
5274	656	21	10	0	646	21	0	
5331	718	0	0	0	735	2	-15	
5461	1685	0	14	0	1671	0	0	
5751	739	23	2	0	714	0	0	
5939	30248	1100	624	0	31997	3473	0	
6039	969	70	12	0	924	37	0	
6057	139	19	3	0	140	23	0	
6141	343	15	15	0	411	98	0	
6329	1790	150	50	0	1697	107	0	
6842	138	7	0	0	147	16	0	
6972	4067	225	0	0	3858	16	0	
