"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON2702	RCON2710	RCON2722	RCON3510	RCON3512	RCON3514	RCON3520	RCON3779	RCON5514	RCON5515	RCON5516	RCON5517	RCON5596	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA531	RCONA532	RCONA533	RCONA545	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	TOTAL DEPOSITS $100,000 OR LESS	TOTAL DEPOSITS > $100,000	TOT DEPS - NUM OF ACCTS > $100,000	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	# OF DEP ACCTS OF $100,000 OR LESS	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	DEPOSITS IN LIFELINE ACCOUNTS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	TOTL DEPS PURCHD/ACQRD FROM OTH FDIC	AMT OF PURCHD/ACQRD DPS RPTD IN A531	TOTL DEPS SOLD OR TRNSFRD DURING QTR	PB/PSA FDIC CERTIFICATE NUMBER	PB/PSA FDIC CERTIFICATE NUMBER	
37	0	0	0	0		0	0	0		42683	14004	99	0	0	0	0	6676	0		0	0		5156	0	0	0	0	0	0	0	0	0	0		
242	0			0		0	0	0		16701	3572	24	0			0	2983	0		0	0		406	0	0	0	0	0	0	0	0	0			
279	0	0	0	0		0	0	0		63523	12746	105	0	0	0	0	5854	0		0	0		6983	0	0	0	0	0	0	0	0	0	0		
354	0	0	0	0		0	0	0		6118	652	2	0	0	0	0	924	0		0	0		491	0	0	0	0	0	0	0	0	0	0		
439	0	0	0	0		0	0	0		99491	28547	147	0	0	0	0	16610	0		0	0		12247	0	0	0	0	0	0	0	0	0	0		
457	0	0	0	0		0	0	0		15248	2633	15	0	0	0	0	3030	0		0	0		1400	0	0	0	0	0	0	0	0	0	0		
505	0	0	0	0		0	0	0		143308	73626	327	0	0	0	0	25114	0		0	0		51749	0	0	0	0	0	0	0	0	0	0		
1146	0	0	0	1682		0	0	6		168825	119012	575	0	0	0	0	20554	0		0	0		62867	0	0	0	0	0	0						
1155	0	0	0	0		0	0	0		80000	26423	121	0	0	0	0	12255	0		0	0		12167	0	0	0	0	0	0	0	0	0	0		
