"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD5523	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADC231	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	WRITE DOWN ARISING FRM TRNSFR TO HFS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	EFFECT OF ADPTNG FAS GOODWILL,ETC	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	5	0	21	8	5	7	2	6	21	13	10	0	0	0	0	0	0	0	0	0	false	0	18	0	0	4	0	5	0	68	34	0	FHLB STOCK DIVIDEND & INTEREST                                                                                                                                                                   	PENALTY EARLY W/D CDS                                                                                                                                                                            	EXCHANGE                                                                                                                                                                                         	INTERNAL AUDIT EXPENSE                                                                                                                                                                           	CLEARING HOUSE FEES                                                                                                                                                                              	OTHER LOAN FEE EXPENSE                                                                                                                                                                           										
242	0	0	23	10	0							0		0		0					false	0	0			0	0	6	4	0	0	0																
279	17	1	35	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	21	0	0	0	0	1	1	87	19	0																
354	7	0	8	6	1	0	0	0	5	9	5	0	0	0	0	0	0	0	0	0	false	0	2	0	0	0	0	0	0	10	3	0				Audits                                                                                                                                                                                           	Insurance                                                                                                                                                                                        	Check Losses                                                                                                                                                                                     										
439	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	88	0	0																
457	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	11	0	0	0	8	0																
505	122	0	0	0	107	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	333	0	0				Loan servicing expense                                                                                                                                                                           												
1146	398	0	0	0	0	685	4035	5614	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	504	324	0	PBT-CC INTERCHANGE FEE INC & CC INCOME                                                                                                                                                           	PMC-DISC GAIN SALE OF SERV & MISC INCOME                                                                                                                                                         	LTC-CLOSING FEES, DOCUMENT PREP, SEARCH FEE, TITLE INS I                                                                                                                                         													
1155	119	0	84	3	9	27	0	0	34	15	14	0	0	0	0	0	0	0	0	0	false	0	43	0	0	10	0	9	36	158	38	0	Exchange Fees                                                                                                                                                                                    			ATM Expense                                                                                                                                                                                      	Telephone                                                                                                                                                                                        	Exame Fees                                                                                                                                                                                       										
1351	7	0	8	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	25	0	0	0	0	6	7	0	13	0																
1454	237	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	false	0	130	0	0	0	0	0	0	133	237	0				VISA DEBIT CARD EXPENSE                                                                                                                                                                          												
1557	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0	0	0	0	0	false	0	12	0	0	0	0	0	0	0	12	0				INSURANCE AND SURETY                                                                                                                                                                             	MAINTENANCE CONTRACTS                                                                                                                                                                            											
