"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37															0	260	266	1390	21	56	0	0	0	0	0	808	0	0				
242															0	136	0	356	0	5				0	0	215	0	0				
279															0	1866	0	2717	63	115	0	0	0	0	0	736	27	0				
354															0	5	0	130	0	2	0	0	0	0	0	123	0	0				
439															0	0	151	1529	44	135	0	0	0	0	0	1243	0	0				
457															0	40	87	882	0	403	0	0	0	0	0	352	391	0				
505															0	1419	0	5094	1085	2417	904	0	0	0	0	1258	0	0	SPLIT DOLLAR RECEIVABLE                                                                                                                                                                          			
1146															0	2315	0	12212	1107	9064	5405	0	0	0	0	833	0	0	LTC - TITLE PLANT INVESTMENT                                                                                                                                                                     			
1155															0	462	144	1625	29	29	0	0	0	0	0	990	0	0				
1351															0	0	404	1496	37	37	0	0	0	0	0	1055	0	0				
1454															0	1093	0	3934	799	971	0	0	0	0	0	1870	0	0				
1557															0	23	0	712	39	43	0	0	0	0	0	646	0	0				
1632															0	800	453	4447	0	1469	0	0	0	0	0	1725	986	0				
1669															10	682	0	3252	297	307	0	0	0	0	0	2263	0	0				
1829															0	1041	0	3276	431	606	0	0	0	0	0	1629	0	0				
1856															0	20	0	264	0	38	0	0	0	0	0	206	0	0				
2040															2	953	20	2136	242	347	80	20	0	0	0	816	0	0	Petroleum Cleanup Receivables                                                                                                                                                                    	Computer software                                                                                                                                                                                		
2161															0	198	0	1064	0	448	275	0	0	0	0	418	0	0	Accrued US Government Agency                                                                                                                                                                     			
2376															0	5458	0	10226	234	802	0	0	0	0	0	3966	0	0				
2451															0	100	1	411	6	73	18	0	0	0	0	237	45	0	Insurance Agency Receivables                                                                                                                                                                     			
2554															0	0	0	154	7	24	0	0	0	0	0	130	0	0				
2732															0	181	0	3495	35	747	434	0	0	0	0	2567	194	0	current fed inc tax pay                                                                                                                                                                          			
2750															0	196	0	2185	0	788	0	0	0	0	0	1201	660	0				
2938															11	1775	0	4331	70	81	0	0	0	0	0	2475	0	0				
2956															26	0	30	1146	17	78	35	0	0	0	0	1038	0	0	REFUNDABLE INCOME TAX                                                                                                                                                                            			
3252															0	267	0	3384	0	793	381	341	0	0	0	2324	0	0	NP Drs                                                                                                                                                                                           	Leases                                                                                                                                                                                           		
3458															0	47	7	344	0	23	0	0	0	0	0	267	0	0				
3506															0	3937	717	27979	0	18591	16044	0	0	0	0	4734	0	0	Bank Owned Life Insurance (BOLI) - Surrender Value                                                                                                                                               			
3579															0	1908	0	4301	0	1255	777	0	0	0	0	1138	0	0	Prepaid Pension Contribution                                                                                                                                                                     			
3720															0	625	105	3643	0	2259	0	0	0	0	0	654	1619	0				
3953															0	53	0	1832	125	495	0	0	0	0	0	1284	370	0				
4138															88	776	0	2009	124	217	0	0	0	0	0	1016	0	0				
4147															0	2777	0	6985	0	3510	0	0	0	0	0	698	3199	0				
4156															0	617	0	1873	0	49	0	0	0	0	0	1207	0	0				
4231															0	0	0	1005	68	68	0	0	0	0	0	937	0	0				
4437															0	525	269	2071	114	466	237	0	0	0	0	811	0	0	DUE FROM HOLDING COMPANY                                                                                                                                                                         			
4745															0	0	0	128	4	4	0	0	0	0	0	124	0	0				
4839															0	1082	0	2640	89	260	103	0	0	0	0	1298	0	0	Software                                                                                                                                                                                         			
5005															0	1909	0	11045	0	7544	0	0	0	0	0	1592	5743	0				
5050															49	388	14	1148	79	128	0	0	0	0	0	618	0	0				
5069															0	0	0	2213	227	920	296	397	0	0	0	1293	0	0	ACCOUNTS RECEIVABLE                                                                                                                                                                              	DEFERRED COSTS                                                                                                                                                                                   		
5135															0	334	140	1864	52	92	29	10	0	0	0	1298	0	0	Late Charges Assessed                                                                                                                                                                            	Credit Card Clearing                                                                                                                                                                             		
5210															0	3682	0	19553	0	11581	0	0	0	0	0	4290	10654	0				
5247															0	0	0	5666	179	181	0	0	0	0	0	5485	0	0				
5274															0	3409	235	4321	116	268	135	0	0	0	0	409	0	0	Investment in Sub                                                                                                                                                                                			
5331															0	1837	0	4512	1272	2264	779	0	0	0	0	411	0	0	ACCRUED INT ON SECURITIES PURCHASED                                                                                                                                                              			
5461															0	0	387	5069	333	2886	1635	0	0	0	0	1796	530	0	QZAB                                                                                                                                                                                             			
5751															2	0	0	2802	30	1721	0	0	0	0	0	1081	1674	0				
5939															0	15261	16866	58213	0	14974	8816	0	0	0	0	11112	0	0	MBS PRINCIPAL RECEIVABLE                                                                                                                                                                         			
6039															0	299	273	1858	0	525	405	0	0	0	0	761	0	0	SPLIT DOLLAR LIFE INSURANCE                                                                                                                                                                      			
6057															20	115	4	442	33	53	0	0	0	0	0	270	0	0				
6141															0	0	24	372	55	66	0	0	0	0	0	282	0	0				
6329															127	780	0	3890	181	1847	218	122	108	0	0	1263	192	0	IENC Agencies                                                                                                                                                                                    	IENC MBS                                                                                                                                                                                         	Software                                                                                                                                                                                         	
6972															0	0	0	8186	0	3970	0	0	0	0	0	4216	3149	0				
7009															0	0	310	13606	0	11384	10378	0	0	0	0	1912	0	0	Other receivables                                                                                                                                                                                			
7045															0	0	0	1014	106	274	0	0	0	0	0	740	0	0				
7157															0	0	0	326	0	18	0	0	0	0	0	308	0	0				
7166															0	1523	1691	7894	0	3044	0	0	0	0	0	1636	2690	0				
7456															0	86	0	807	87	87	0	0	0	0	0	634	0	0				
7634															0	201	0	818	71	139	0	0	0	0	0	478	0	0				
8033															3	433	56	1524	413	535	4	7	0	0	0	500	108	0	Accrued Late Charges Loans                                                                                                                                                                       	Federal Income Tax Depreciation                                                                                                                                                                  		
8154															21	132	101	1025	27	48	0	0	0	0	0	744	0	0				
8417															0	2322	0	208998	0	206008	80850	101983	0	0	0	668	0	0	A/R - Trust Fees                                                                                                                                                                                 	A/R - Settlements                                                                                                                                                                                		
8462															0	21	0	702	0	0	0	0	0	0	0	681	0	0				
8547															0	2972	1344	11756	0	4938				0	0	2502	4177	0				
8631															21	139	23	469	38	61	0	0	0	0	0	246	0	0				
9115															0	1043	0	10143	0	3015	1000	0	0	0	0	6085	0	0	Capital Downstream Receivable                                                                                                                                                                    			
