"IDRSSD"	FDIC Certificate Number	OCC Charter Number	OTS Docket Number	Primary ABA Routing Number	Financial Institution Name	Financial Institution Address	Financial Institution City	Financial Institution State	Financial Institution Zip Code	Financial Institution Filing Type	Last Date/Time Submission Updated On
37	10057	0	16553	61107146	BANK OF HANCOCK COUNTY	321 BROAD STREET 	SPARTA	GA	31087	041	2005-08-08T16:16:33
242	3850	0	12627	81220537	FIRST COMMUNITY BANK XENIA-FLORA	FRONT STREET 	XENIA	IL	62899	041	2005-08-08T16:16:33
279	28868	0	2523	311972526	MINEOLA COMMUNITY BANK, SSB	215 W BROAD 	MINEOLA	TX	75773	041	2005-08-08T16:16:33
354	14083	0	0	101107475	BISON STATE BANK	MAIN AND WALNUT 	BISON	KS	67520	041	2005-08-08T16:16:33
439	16498	0	0	61212387	PEOPLES BANK	MAIN STREET 	BLACKSHEAR	GA	31516	041	2005-08-08T16:16:33
457	10202	0	0	91208332	LOWRY STATE BANK	400 FLORENCE AVE. 	LOWRY	MN	56349	041	2005-08-08T16:16:33
505	6959	1253	0	21304675	BALLSTON SPA NATIONAL BANK	87 FRONT STREET 	BALLSTON SPA	NY	12020	041	2005-08-08T16:16:33
1146	17562	0	8980	82007791	PULASKI BANK AND TRUST COMPANY	5800 R STREET 	LITTLE ROCK	AR	72207	041	2005-08-08T16:16:33
1155	17639	0	13449	104900116	FIRST STATE BANK & TRUST COMPANY	1005 EAST 23RD 	FREMONT	NE	68025	041	2005-08-08T16:16:33
1351	9392	0	0	81513969	BANK OF GRANDIN	MAIN STREET 	GRANDIN	MO	63943	041	2005-08-08T16:16:33
1454	19184	15359	10647	102301199	HILLTOP NATIONAL BANK	300 COUNTRY CLUB ROAD 	CASPER	WY	82609	041	2005-08-08T16:16:33
1557	15328	0	0	101103068	FIRST STATE BANK, KIOWA, KANSAS, THE	546 MAIN STREET 	KIOWA	KS	67070	041	2005-08-08T16:16:33
1632	5707	0	17383	61202384	SEA ISLAND BANK	2 EAST MAIN STREET 	STATESBORO	GA	30458	041	2005-08-08T16:16:33
1669	3384	13541	11946	111900578	LIBERTY NATIONAL BANK IN PARIS, THE	305 LAMAR AVE 	PARIS	TX	75460	041	2005-08-08T16:16:33
1829	6058	0	0	43000847	ALLEGHENY VALLEY BANK OF PITTSBURGH	5137-39 BUTLER ST 	PITTSBURGH	PA	15201	041	2005-08-08T16:16:33
1856	22430	0	0	103105446	WASHITA STATE BANK	HIGHWAY 44 SOUTH 	BURNS FLAT	OK	73624	041	2005-08-08T16:16:33
2040	13046	0	14158	75907442	FARMERS & MERCHANTS BANK	1001 SUPERIOR AVENUE 	TOMAH	WI	54660	041	2005-08-08T16:16:33
2161	23597	17106	0	111909870	LAMAR NATIONAL BANK	200 S. COLEGIATE DRIVE 	PARIS	TX	754611097	041	2005-08-08T16:16:33
2376	28866	0	2519	221270541	ORITANI SAVINGS BANK	321 MAIN ST 	HACKENSACK	NJ	07601	041	2005-08-08T16:16:33
2451	10506	0	15933	101106667	BEVERLY STATE BANK	FIRST AND MAIN 	BEVERLY	KS	67423	041	2005-08-08T16:16:33
2554	18525	0	0	91216324	STATE BANK OF MARIETTA	MAIN ST. 	MARIETTA	MN	56257	041	2005-08-08T16:16:33
2732	17230	14688	0	71004446	ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION	3400 WEST LAWRENCE AVENUE 	CHICAGO	IL	60625	041	2005-08-08T16:16:33
2750	5408	6805	14871	104901940	GENOA NATIONAL BANK	502 WILLIARD AVENUE 	GENOA	NE	68640	041	2005-08-08T16:16:33
2938	20246	0	17652	61201592	SECURITY BANK AND TRUST COMPANY OF ALBANY	401 PINE AVE 	ALBANY	GA	31701	041	2005-08-08T16:16:33
2956	1949	0	0	81512067	CITIZENS HOME BANK	2 NORTH MAIN 	GREENFIELD	MO	65661	041	2005-08-08T16:16:33
3252	5410	8521	17092	104102781	FIRST NATIONAL BANK OF GORDON, THE	134 NORTH MAIN 	GORDON	NE	69343	041	2005-08-08T16:16:33
3458	16103	0	0	101918169	FARMERS BANK OF GREEN CITY	1 SOUTH LINCOLN STREET 	GREEN CITY	MO	63545	041	2005-08-08T16:16:33
3506	20038	0	10608	21205871	INTERCHANGE BANK	PARK 80 WEST/ PLAZA TWO 	SADDLE BROOK	NJ	07663	041	2005-08-08T16:16:33
3579	29884	0	4259	242170002	CLASSIC BANK CORPORATION	344 17TH STREET 	ASHLAND	KY	41105	041	2005-08-08T16:16:33
3720	15671	0	0	53206738	BANK OF CLARENDON, THE	106 SOUTH BROOK STREET 	MANNING	SC	29102	041	2005-08-08T16:16:33
3953	416	0	17888	103100409	FIRST CAPITAL BANK	224 EAST OKLAHOMA 	GUTHRIE	OK	73044	041	2005-08-08T16:16:33
4138	4944	7225	11573	64201463	FIRST NATIONAL BANK OF LAFOLLETTE	101 WEST CENTRAL AVENUE 	LA FOLLETTE	TN	37766	041	2005-08-08T16:16:33
4147	15134	0	12785	75907031	BANK OF VERONA	108 NORTH MAIN STREET PO BOX 930126	VERONA	WI	53593	041	2005-08-08T16:16:33
4156	13157	0	13059	101102124	KANZA BANK	151 NORTH MAIN 	KINGMAN	KS	67068	041	2005-08-08T16:16:33
