"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	TEXT4087	
	MICR9999REPORT DATE	LEGAL NAME	CERTIFICATE NUMBER	CITY NAME	STATE ABBREVIATION	ZIP CODE	PRIMARY INTERNET WEB ADDRESS	
37	20021231							
242	20021231							
279	20021231							
354	20021231							
439	20021231							
457	20021231							
505	20021231							
1146	20021231							
1155	20021231							
1351	20021231							
1454	20021231							
1557	20021231							
1632	20021231							
1669	20021231							
1829	20021231							
1856	20021231							
2040	20021231							
2161	20021231							
2376	20021231							
2451	20021231							
2554	20021231							
2732	20021231							
2750	20021231							
2938	20021231							
2956	20021231							
3252	20021231							
3458	20021231							
3506	20021231							
3579	20021231							
3720	20021231							
3953	20021231							
4138	20021231							
4147	20021231							
4156	20021231							
4231	20021231							
4437	20021231							
4745	20021231							
4839	20021231							
5005	20021231							
5050	20021231							
5069	20021231							
5135	20021231							
5210	20021231							
5247	20021231							
5274	20021231							
5331	20021231							
5461	20021231							
5751	20021231							
5939	20021231							
6039	20021231							
6057	20021231							
6141	20021231							
6329	20021231							
6972	20021231							
7009	20021231							
7045	20021231							
7157	20021231							
7166	20021231							
7456	20021231							
7634	20021231							
8033	20021231							
8154	20021231							
8417	20021231							
8462	20021231							
8547	20021231							
8631	20021231							
9115	20021231							
9160	20021231							
9357	20021231							
9553	20021231							
9807	20021231							
9955	20021231							
10157	20021231							
10250	20021231							
10849	20021231							
10858	20021231							
11145	20021231							
11640	20021231							
11837	20021231							
12030	20021231							
12058	20021231							
12142	20021231							
12245	20021231							
12311	20021231							
12357	20021231							
12647	20021231							
12656	20021231							
12937	20021231							
12946	20021231							
12955	20021231							
13037	20021231							
13103	20021231							
13251	20021231							
13309	20021231							
13457	20021231							
14052	20021231							
14155	20021231							
14258	20021231							
14409	20021231							
14454	20021231							
14650	20021231							
14753	20021231							
14865	20021231							
14931	20021231							
14940	20021231							
15536	20021231							
15732	20021231							
16337	20021231							
16355	20021231							
16458	20021231							
16551	20021231							
16748	20021231							
16766	20021231							
16944	20021231							
16953	20021231							
17110	20021231							
17147	20021231							
17259	20021231							
17464	20021231							
17549	20021231							
17839	20021231							
17950	20021231							
18050	20021231							
18135	20021231							
18368	20021231							
18377	20021231							
18827	20021231							
18836	20021231							
18854	20021231							
18863	20021231							
18957	20021231							
19356	20021231							
19730	20021231							
19936	20021231							
19972	20021231							
20053	20021231							
20147	20021231							
20259	20021231							
20370	20021231							
20512	20021231							
20633	20021231							
20754	20021231							
20839	20021231							
20857	20021231							
20866	20021231							
21256	20021231							
21359	20021231							
21630	20021231							
21658	20021231							
22048	20021231							
22235	20021231							
22356	20021231							
22459	20021231							
22543	20021231							
22552	20021231							
22730	20021231							
22936	20021231							
22954	20021231							
23036	20021231							
23045	20021231							
23241	20021231							
23456	20021231							
23504	20021231							
23540	20021231							
23643	20021231							
23755	20021231							
23812	20021231							
24006	20021231							
24266	20021231							
24453	20021231							
24659	20021231							
24668	20021231							
24855	20021231							
24949	20021231							
25357	20021231							
25647	20021231							
25852	20021231							
26149	20021231							
26233	20021231							
26242	20021231							
26457	20021231							
26756	20021231							
26765	20021231							
26859	20021231							
26916	20021231							
27548	20021231							
27614	20021231							
27838	20021231							
27847	20021231							
28013	20021231							
28152	20021231							
28255	20021231							
28349	20021231							
28406	20021231							
28572	20021231							
28732	20021231							
29104	20021231							
29159	20021231							
29252	20021231							
29636	20021231							
29850	20021231							
29944	20021231							
29953	20021231							
30025	20021231							
30052	20021231							
30146	20021231							
30155	20021231							
30258	20021231							
30418	20021231							
30502	20021231							
30650	20021231							
30810	20021231							
30856	20021231							
31134	20021231							
31152	20021231							
31255	20021231							
31303	20021231							
31657	20021231							
31826	20021231							
31835	20021231							
32159	20021231							
32234	20021231							
32766	20021231							
33147	20021231							
33259	20021231							
33268	20021231							
33549	20021231							
33727	20021231							
33754	20021231							
33772	20021231							
33839	20021231							
33857	20021231							
34153	20021231							
34359	20021231							
34425	20021231							
34434	20021231							
34452	20021231							
34537	20021231							
34555	20021231							
34742	20021231							
34836	20021231							
34863	20021231							
35057	20021231							
35244	20021231							
35301	20021231							
35570	20021231							
35646	20021231							
35842	20021231							
35851	20021231							
35936	20021231							
36054	20021231							
36344	20021231							
36456	20021231							
36830	20021231							
36858	20021231							
36933	20021231							
37051	20021231							
37341	20021231							
37350	20021231							
37378	20021231							
37435	20021231							
37640	20021231							
37659	20021231							
37743	20021231							
37949	20021231							
38441	20021231							
38478	20021231							
38526	20021231							
38535	20021231							
38740	20021231							
39327	20021231							
39420	20021231							
39475	20021231							
39756	20021231							
39934	20021231							
40033	20021231							
40051	20021231							
40305	20021231							
40350	20021231							
40707	20021231							
40855	20021231							
41245	20021231							
41553	20021231							
41629	20021231							
41647	20021231							
41759	20021231							
41825	20021231							
41937	20021231							
41955	20021231							
42037	20021231							
42055	20021231							
42354	20021231							
42420	20021231							
42448	20021231							
42457	20021231							
42541	20021231							
43052	20021231							
43155	20021231							
43173	20021231							
43324	20021231							
43351	20021231							
43454	20021231							
43511	20021231							
43641	20021231							
