"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD5523	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	WRITE DOWN ARISING FRM TRNSFR TO HFS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	1	0	11	3	2	3	2	6	12	6	3	0	0	0	0	0	0	0	0	0	0	false	0	9	0	0	1	0	4	0	29	22	FHLB DIVIDENDS                                                                                                                                                                                   	PENALTY EARLY WITHDRAWAL CDS                                                                                                                                                                     	EXCHANGE                                                                                                                                                                                         	INTERNAL AUDIT EXPENSE                                                                                                                                                                           	CLEARING HOUSE FEES                                                                                                                                                                              	OTHER LOAN FEES                                                                                                                                                                                  											
242	0	0	12	0	0								0		0		0					false	0	7			0	0	6	0	11	0																	
279	6	0	18	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	16	0	0	0	0	1	0	45	9																	
354	4	0	2	7	1	2	0	0	6	2	3	0	0	0	0	0	0	0	0	0	0	false	0	2	0	0	0	0	0	0	3	1	EXCHANGE                                                                                                                                                                                         			AUDITS                                                                                                                                                                                           	TRAVEL                                                                                                                                                                                           	MISC                                                                                                                                                                                             											
439	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	45	0																	
457	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	6	0	0	0	6				ANNUAL BENEFIT EXPENSE                                                                                                                                                                           													
505	0	0	57	0	55	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	40	168	0				Loan servicing expense                                                                                                                                                                           													
1146	214	0	0	0	0	157	3378	3391	174	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	219	199	PBT-CC INTERCHANGE FEES                                                                                                                                                                          	PMC-DISC GAIN SALE OF SERVICING/MISC INC                                                                                                                                                         	LTC-ASBTRACTS ,CLOSING FEE,DOC PREP,SEARCH INC,TITLE INS                                                                                                                                         	TELEPHONE                                                                                                                                                                                        													
1155	82	0	45	4	4	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	24	0	0	5	0	5	20	50	23	Exchange                                                                                                                                                                                         																
1351	4	0	5	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	11	0	0	0	0	5	3	0	7																	
1454	70	0	0	0	0	0	0	0	51	50	0	0	0	0	0	0	0	0	0	0	0	false	0	80	0	0	0	0	0	0	68	102				Visa Dbeit Card Expense                                                                                                                                                                          	Telephone Expense                                                                                                                                                                                												
1557	0	0	0	8	0	0	0	0	7	6	7	0	0	0	0	0	0	0	0	0	0	false	0	7	0	0	0	0	0	0	0	5				Maintenance Contract                                                                                                                                                                             	Insurance & Surety                                                                                                                                                                               	Miscellaneous                                                                                                                                                                                    											
1632	28	0	25	10	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	21	0	0	16	0	8	11	249	23	travelers/american express net revenue                                                                                                                                                           																
1669	21	0	10	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	21	0	0	0	0	18	13	55	27																	
1829	0	0	0	0	0	132	0	0	61	85	0	0	0	0	0	0	0	0	0	0	0	false	0	49	0	0	0	0	0	0	92	0	Miscellaneous Other Income                                                                                                                                                                       			ATM/Debit CArd Network Expenses                                                                                                                                                                  	PA Shares Tax                                                                                                                                                                                    												
1856	0	0	0	0	0	0	0	0	6	4	8	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	4				Fees                                                                                                                                                                                             	Service Charge-Bankers Bank                                                                                                                                                                      	Broker s Fees                                                                                                                                                                                    											
2040	19	7	18	5	4	5	8	0	6	12	11	0	0	0	0	0	0	0	0	0	0	false	0	14	0	0	3	0	5	6	7	24	Debit card fees                                                                                                                                                                                  	Miscellanous fees                                                                                                                                                                                		Auditing expense                                                                                                                                                                                 	ATM/Debit card expense                                                                                                                                                                           	Correspondent bank service charges                                                                                                                                                               											
2161	0	0	15	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	false	0	18	0	0	0	24	0	0	44	19				Deferred Compensation Plan                                                                                                                                                                       													
2376	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	206	0																	
2451	1	0	2	10	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	false	0	3	0	0	0	0	2	0	10	3				DUES, FEES, MEMBERSHIPS                                                                                                                                                                          													
2554	0	0	2	0	0	0	0	0	1	1	6	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	1	0	2	0				Software Maintenance                                                                                                                                                                             	Insurance & Bonds                                                                                                                                                                                	Accounting                                                                                                                                                                                       											
2732	12	0	52	15	28	11	10	0	51	0	0	0	0	0	0	0	0	0	0	0	0	false	0	38	0	0	0	0	21	4	183	32	master charge                                                                                                                                                                                    	wire trf fees                                                                                                                                                                                    		Occ Assessment Fee                                                                                                                                                                               													
2750	0	0	8	26	0	0	0	0	10	18	9	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	18	0				EXAM FEES                                                                                                                                                                                        	CONSULTING FEES                                                                                                                                                                                  	ACCOUNTING FEES                                                                                                                                                                                  											
2938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1300	0	0	0	false	0	0	0	0	0	0	0	0	303	0										CAPITAL INFUSION                                                                                                                                                                                 							
2956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	17	0	70	15																	
3252	0	0	0	0	0	0	0	0	20	18	18	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0				Accounting and Professional                                                                                                                                                                      	Computer Expense In House                                                                                                                                                                        	Office Supplies                                                                                                                                                                                  											
3458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
3506	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	278	0	0	0	0																	
3579	33	0	0	0	0	46	0	0	52	45	44	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	77	Management Income                                                                                                                                                                                			Communications                                                                                                                                                                                   	Tax on Stock & Reserves                                                                                                                                                                          	ATM Expense                                                                                                                                                                                      											
3720	49	6	8	2	5	9	7	0	8	0	0	0	0	0	0	0	0	0	0	0	0	false	0	13	0	0	4	29	22	13	38	20	Credit card merchant discount                                                                                                                                                                    	Banclub income                                                                                                                                                                                   		 DDI Benefit insurance                                                                                                                                                                           													
3953	57	37	19	6	2	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	11	0	0	6	11	12	1	11	19	Mortgage Loan Referral Fees                                                                                                                                                                      																
4138	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	28	0																	
4147	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	32	0	0	0	17	Service Charge on Checking                                                                                                                                                                       																
4156	16	0	27	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	6	0	0	1	0	25	1	83	13																	
