"IDRSSD"	RCFD3561	RCFD3562	RCFD7701	RCFD7702	RCON3561	RCON3562	RCON7701	RCON7702	
	NO. OF LOANS TO EXECUTIVE OFFICERS	TOT DOLLAR AMT OF LNS TO EXEC OFFCRS	RGE OF INT CHG ON LNS TO EXEC OFF-FR	RGE OF INT CHG ON LNS TO EXEC OFF-TO	NO. OF LOANS TO EXECUTIVE OFFICERS	TOT DOLLAR AMT OF LNS TO EXEC OFFCRS	RGE OF INT CHG ON LNS TO EXEC OFF-FR	RGE OF INT CHG ON LNS TO EXEC OFF-TO	
37					1	17	0.0600	0.0600	
242					0	0	0.0000	0.0000	
279					4	109	0.0500	0.0750	
354					0	0	0.0000	0.0000	
439					2	43	0.0525	0.0525	
457					1	9	0.0350	0.0350	
505					0	0	0.0000	0.0000	
1146					0	0	0.0000	0.0000	
1155					0	0	0.0000	0.0000	
1351					0	0	0.0000	0.0000	
1454					0	0	0.0000	0.0000	
1557					0	0	0.0000	0.0000	
1632					0	0	0.0000	0.0000	
1669					3	32	0.0500	0.1150	
1829					0	0	0.0000	0.0000	
1856					0	0	0.0000	0.0000	
2040					5	28	0.0425	0.0650	
2161					2	57	0.0490	0.0850	
2376					0	0	0.0000	0.0000	
2451					0	0	0.0000	0.0000	
2554					0	0	0.0000	0.0000	
2732					0	0	0.0000	0.0000	
2750					3	355	0.0600	0.1000	
2938					0	0	0.0000	0.0000	
2956					0	0	0.0000	0.0000	
3252					2	30	0.0725	0.0725	
3458					0	0	0.0000	0.0000	
3506					1	129	0.0475	0.0475	
3579					4	82	0.0475	0.0499	
3720					0	0	0.0000	0.0000	
3953					0	0	0.0000	0.0000	
4138					0	0	0.0000	0.0000	
4147					1	2	0.1800	0.1800	
4156					0	0	0.0000	0.0000	
4231					0	0	0.0000	0.0000	
4437					3	1383	0.0400	0.0600	
4745					0	0	0.0000	0.0000	
4839					0	0	0.0000	0.0000	
5005					0	0	0.0000	0.0000	
5050					0	0	0.0000	0.0000	
5069					0	0	0.0000	0.0000	
5135					0	0	0.0000	0.0000	
5210					1	10	0.0450	0.0450	
5247					0	0	0.0000	0.0000	
5274					0	0	0.0000	0.0000	
5331					0	0	0.0000	0.0000	
5461					0	0	0.0000	0.0000	
5751					0	0	0.0000	0.0000	
5939					0	0	0.0000	0.0000	
6039					2	9	0.0375	0.0375	
6057					0	0	0.0000	0.0000	
6141					0	0	0.0000	0.0000	
6329					1	32	0.0418	0.0418	
6972					0	0	0.0000	0.0000	
7009					0	0	0.0000	0.0000	
7045					1	24	0.0550	0.0550	
7157					1	22	0.0700	0.0700	
7166					0	0	0.0000	0.0000	
7456					0	0	0.0000	0.0000	
7634					0	0	0.0000	0.0000	
8033					0	0	0.0000	0.0000	
