"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2155	RCON2163	RCON2192	RCON2920	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	CUSTOMERS LIABILITY ON ACCEPTANCES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	ACCEPTANCES EXECUTED FOR ACCT. & OUT	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37											250	0			0			0	0	0	0	
242											150	0			0			1632	0	0	0	
279											1866	0			0			30379	0	0	0	
354											5	0			0			0	0	0	0	
439											351	0			0			0	0	0	0	
457											40	0			0			0	0	0	0	
505											1719	0			0			21500	0	0	0	
1146											1817	0			0			18714	995	0	0	
1155											520	0			0			3000	0	0	13297	
1351											0	0			0			0	0	0	0	
1454											1087	0			0			0	5	0	0	
1557											23	0			0			61	0	0	0	
1632											1200	0			0			24000	0	0	2814	
1669											682	0			0			275	0	0	0	
1829											1308	0			0			9000	2268	0	1723	
1856											2033	0			0			40000	0	0	0	
2040											1056	0			0			16532	252	0	0	
2161											230	0			0			0	0	0	0	
2376											7745	0			0			154894	60000	0	0	
2451											255	0			0			306	0	0	0	
2554											0	0			0			0	0	0	0	
2732											181	0			0			143	0	0	0	
2750											333	0			0			3700	0	0	527	
2938											2307	0			0			40500	0	0	6145	
2956											25	0			0			0	0	0	0	
3252											269	0			0			4417	0	0	0	
3458											74	0			0			0	0	0	200	
3506											4067	0			0			40000	0	0	13242	
3579											2894	0			0			34863	0	0	9168	
3720											554	0			0			8188	0	0	1343	
3953											288	0			0			1110	0	0	0	
4138											825	0			0			3842	0	0	0	
4147											3072	0			0			4000	0	0	0	
4156											731	0			0			14500	0	0	0	
4231											0	0			0			0	0	0	2500	
4437											967	0			0			11397	0	0	2504	
4745											0	0			0			0	0	0	0	
4839											1337	0			0			24900	0	0	3653	
5005											1909	0			0			24768	18380	0	0	
5050											391	0			0			4850	0	0	0	
5069											0	0			0			30000	0	0	0	
5135											630	0			0			12000	0	0	0	
5210											7720	0			0			105411	0	0	28744	
5247											0	0			0			2571	13500	0	12575	
5274											3739	0			0			8605	0	0	831	
5331											4336	0			0			29030	0	9000	55000	
5461											0	0			0			417	1317	0	0	
5751											0	0			0			0	0	0	0	
5939											16194	0			0			37555	0	0	70190	
6039											166	0			0			8	54	0	0	
6057											89	0			0			900	0	0	0	
6141											0	0			0			0	0	0	0	
6329											880	0			0			0	0	0	0	
6972											695	0			0			2749	0	0	3989	
7009											0	0			0			0	7950	0	0	
7045											0	0			0			0	0	0	0	
7157											22	0			0			0	0	0	0	
7166											1553	0			0			17000	0	0	0	
7456											86	0			0			0	0	0	0	
7634											201	0			0			0	0	0	0	
8033											449	0			0			6285	0	0	0	
8417											2786	0			0			0	0	100975	0	
8462											21	0			0			0	0	0	0	
8547											3103	0			0			25000	0	0	317	
8631											96	0			0			0	0	0	0	
9115											1733	0			0			0	30233	0	2204	
9357											1562	0			0			18500	992	0	9199	
9553											552	0			0			5486	0	0	0	
9807											24527	0			0			295233	0	0	165084	
9955											1121	0			0			2145	0	0	0	
