"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	102	63	0	0	0	0	0	0	0	0	0	0	0	0	28	5	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
242	59	84													59	163													true	true	
279	41	27	0	0	0	0	0	0	0	0	0	0	0	0	6	25	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
354	2	18	0	0	0	0	0	0	0	0	0	0	0	0	21	18	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
439	0	0	187	5764	73	9967	41	16583	467	7627	63	6513	22	4327	0	0	109	2947	21	2543	11	2062	86	1346	2	334	3	168	false	false	
457	0	0	17	776	4	656	4	1458	101	1512	7	873	4	807	39	248	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
505	0	0	25	1369	27	4287	26	12843	134	2554	16	2438	16	6562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
1146			91	3567	63	8697	20	7323	157	3774	32	2626	22	4873			2	35	0	0	0	0	1	21	0	0	0	0	false	false	
1155	0	0	44	1270	22	3089	35	13824	233	5466	57	5505	38	13497	11	66	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
1351	0	0	110	4165	10	1184	9	3483	532	9647	19	2238	9	2278	0	0	146	4230	25	3143	4	1683	327	3099	2	307	1	294	false	false	
1454	0	0	182	17613	60	7247	18	6654	629	26371	21	2391	11	2893	0	0	15	1435	10	1538	3	1002	78	3288	3	715	0	0	false	false	
1557	0	0	5	176	4	568	1	598	44	458	2	267	0	0	47	280	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
1632	0	0	192	6965	73	9225	69	28726	685	13592	79	8109	57	19022	56	101	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
1669	125	319	0	0	0	0	0	0	0	0	0	0	0	0	9	165	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
1829	0	0	92	3988	41	5865	52	25342	213	7381	31	2864	33	17810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
1856	14	78	0	0	0	0	0	0	0	0	0	0	0	0	11	32	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
2040	0	0	39	1173	3	416	1	267	296	9394	59	12563	37	20246	0	0	14	1206	8	1021	3	890	47	1378	1	166	2	650	false	false	
2161	0	0	98	2490	21	2509	4	1548	333	3534	6	961	1	493	0	0	22	530	2	446	1	276	78	1045	3	560	0	0	false	false	
2376	0	0	0	0	0	0	48	37784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
2451			22	536	6	656	6	1707	47	1123	3	223	3	788			48	1525	13	1465	4	1093	98	1722	5	680	0	0	false	false	
2554	0	29	0	0	0	0	0	0	0	0	0	0	0	0	13	72	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
2732	0	0	12	293	49	6193	82	43725	275	5032	108	9075	163	27128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
2750	0	0	11	440	0	0	2	1393	37	520	1	151	2	905	0	0	17	903	10	1238	11	3416	137	3269	34	3884	12	2877	false	false	
2938	0	0	118	4215	69	8562	79	28970	607	12624	80	7115	61	17805	0	0	13	347	6	643	5	1810	0	0	2	233	0	0	false	false	
2956	0	0	65	1696	7	1023	2	528	75	1084	3	398	1	400	0	0	205	6278	53	7069	12	3416	204	1729	0	0	0	0	false	false	
3252	0	0	29	1214	8	1106	0	0	275	5534	8	1104	2	379	0	0	42	1169	27	3366	12	3447	763	17751	39	4439	10	2602	false	false	
3458	13	49	0	0	0	0	0	0	0	0	0	0	0	0	63	75	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
3506			100	4866	170	22902	301	127464	560	23265	203	18786	41	15932															false	false	
3579	0	0	75	3084	46	6040	34	12065	365	9111	76	9380	42	16241	5	5	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
3720	0	0	62	1956	25	3206	32	13525	136	2250	14	1351	7	1327	0	0	11	258	10	1318	5	1391	48	785	4	377	1	375	false	false	
3953	0	0	35	1472	17	2182	12	6266	197	4320	35	3964	25	5317	0	0	45	1522	15	1686	16	2824	111	1764	53	4015	32	4604	false	false	
4138	2165	4210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	25	1	100	0	0	0	0	0	0	0	0	false	true	
4147	0	0	11	507	17	2670	22	9520	89	2110	11	912	7	2986	0	0	0	0	1	163	0	0	2	28	0	0	0	0	false	false	
4156	0	0	42	1475	16	2246	23	8978	254	4698	25	2985	23	6675	0	0	84	2661	19	2264	1	358	636	8089	24	2655	9	1395	false	false	
4231	0	0	109	3534	29	3685	11	4250	109	1799	7	657	3	536	0	0	145	3468	14	1524	4	1099	54	602	7	316	3	570	false	false	
