"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON2702	RCON2710	RCON2722	RCON3510	RCON3512	RCON3514	RCON3520	RCON3779	RCON5514	RCON5515	RCON5516	RCON5517	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA531	RCONA532	RCONA533	RCONA545	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	TOTAL DEPOSITS $100,000 OR LESS	TOTAL DEPOSITS > $100,000	TOT DEPS - NUM OF ACCTS > $100,000	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	# OF DEP ACCTS OF $100,000 OR LESS	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	TOTL DEPS PURCHD/ACQRD FROM OTH FDIC	AMT OF PURCHD/ACQRD DPS RPTD IN A531	TOTL DEPS SOLD OR TRNSFRD DURING QTR	PB/PSA FDIC CERTIFICATE NUMBER	PB/PSA FDIC CERTIFICATE NUMBER	
37	12	0	0	0		0	0	0		52700	13873	88	0	0	0	0		0		0	0	7000	0	0	0	0	0	0	0	0	0	0		
242	0			0		0	0	0		13642	7133	36	0			0		0		0	0	552	0	0	0	0	0	0	0	0	0			
279	0	0	0	0		0	0	0		62015	15922	113	0	0	0	0		0		0	0	9138	0	0	0	0	0	0	0	0	0	0		
354	0	0	0	0		0	0	0		5991	1119	6	0	0	0	0		0		0	0	519	0	0	0	0	0	0	0	0	0	0		
439	0	0	0	0		0	0	0		95259	48780	201	0	0	0	0		0		0	0	22794	0	0	0	0	0	0	0	0	0	0		
457	0	0	0	0		0	0	0		17366	5614	32	0	0	0	0		0		0	0	1490	0	0	0	0	0	0	0	0	0	0		
505	0	0	0	0		0	0	0		147164	114313	380	0	0	0	0		0		0	0	88219	0	0	0	0	0	0	0	0	0	0		
1146	0	0	0	3436		0	0	10		170621	144028	645	0	0	0	0		0		0	0	82425	0	0	0	0	0	0						
1155	0	0	0	0		0	0	0		80705	39501	165	0	0	0	0		0		0	0	14248	0	0	0	0	0	0	0	0	0	0		
1351	0	16	0	0		0	0	0		41851	44212	221	0	0	0	0		0		0	0	22112	0	0	0	0	0	0	0	0	0	0		
1454	0	0	0	0		0	0	0		185241	133684	443	0	0	0	0		0		0	0	80216	0	0	0	0	0	0	0	0	0	0		
1557	0	0	0	0		0	0	0		21311	5639	29	0	0	0	0		0		0	0	1750	0	0	0	0	0	0	0	0	0	0		
1632	6	0	0	0		0	0	0		119472	124292	329	0	0	0	0		0		125	0	107101	0	0	0	0	0	0	0	0	0	0		
1669	0	0	0	0		0	0	0		127164	58473	216	0	0	0	0		0		0	0	38793	0	0	0	0	0	0	0	0	0	0		
1829	0	0	0	0		0	0	0		173910	81673	398	0	0	0	0		0		0	0	43924	0	0	0	0	0	0	0	0	0	0		
1856	0	0	0	0		0	0	0		7406	57295	24	0	0	0	0		0		0	0	22238	0	0	0	0	0	0	0	0	0	0		
2040	1	0	0	0		0	0	0		65641	48598	163	0	0	0	0		0		0	0	22390	0	0	0	0	0	0	0	0	0	0		
2161	0	0	0	0		0	0	0		52417	39029	163	0	0	0	0		0		0	0	26008	0	0	0	0	0	0	0	0	0	0		
2376	0	0	0	588		0	0	40000		597795	130231	873	0	0	0	0		0		0	0	42900	0	0	0	0	0	0	0	0	0	0		
2451	0			0		0	0	0		11694	4938	21	0			0		0		0	0	736	0	0	0	0	0	0	0	0	0			
2554	0	0	0	0		0	0	0		4924	1444	6	0	0	0	0		0		0	0	844	0	0	0	0	0	0	0	0	0	0		
