"IDRSSD"	RIAD4097	RIAD4235	RIAD4239	RIAD4341	RIAD4797	RIAD4843	RIAD4844	RIAD4845	RIAD4846	RIADB523	RIADB524	RIADB525	
	NON INT INCM OF INTL BUSINESS	PROV FOR LOAN LOSS, INTL BUSINESS	NON-INT EXPENSE, INTL BUSINESS	NET INCM ATTRIB TO INTL BUSINESS	INCOME TAX ATTRIB TO INTL BUSINESS	NET NON-INT INC(EXP) ATTRIB TO INT O	EST PRETAX INC ATTRIG TO INT OPR	ADJ TO PRETAX INC FOR INTERNAL ALLOC	EST PRETAX INC ATTRIB TO INT OPR AFT	GROSS INTEREST INCOME (INTERNL OPER)	GROSS INTEREST EXPENSE (INTERNL OPER	NET INTEREST INCOME (INTERNATL OPER)	
37													
242													
279													
354													
439													
457													
505													
1146													
1155													
1351													
1454													
1557													
1632													
1669													
1829													
1856													
2040													
2161													
2376													
2451													
2554													
2732													
2750													
2938													
2956													
3252													
3458													
3506													
3579													
3720													
3953													
4138													
4147													
4156													
4231													
4437													
4839													
5005													
5050													
5069													
5135													
5210													
5247													
5274													
5331													
5461													
5751													
6039													
6057													
6141													
6329													
6972													
7009													
7045													
7157													
7166													
7456													
7634													
8033													
8417													
8462													
8547													
8631													
9357													
9553													
9807													
9955													
10157													
10250													
10849													
10858													
11145													
11640													
11837													
12030													
12058													
12142													
12245													
12311	0	0	0	0	0	0	0	0	0	0	0	0	
12647													
12656													
12937													
12946													
12955													
13037													
13103													
13251													
13457													
14052													
14155													
14258													
14409	0	0	0	0	0	0	0	0	0	0	0	0	
14454													
14650													
14753													
14865													
14940													
15536													
16337													
16458													
16551													
16748													
16944													
16953													
17110													
17147													
17259													
17464													
17549													
17839													
17950													
18050													
18135													
18368													
18377													
18827													
18836													
18854													
18957													
19356													
19730													
19936													
19972													
20053													
20147													
20259													
20370													
20512													
20633													
20754													
20839													
20857													
20866													
21256													
21359													
21630													
21658													
22048													
22235													
22356													
22459													
22543													
22552													
22730													
22936													
22954													
23036													
23045													
23241													
23456													
23504													
23540													
23643													
23755													
23812													
24006													
24266													
24453													
24659													
24668													
24855													
24949													
25357													
25647													
25852													
26149													
26233													
26242													
26457													
26756													
26765													
26859													
26916													
27548													
27614													
27838													
27847													
28013													
28152													
28255													
28349													
28406													
28572													
28732													
29104													
29159													
29252													
29636													
29850													
29944													
29953													
30052													
30146													
30155													
30258													
30418													
30502													
30650													
30810													
30856													
31134													
31255													
31657													
31826													
31835													
32159													
32234													
32766													
33147													
33259													
33268													
33549													
33727													
33754													
33772													
33839													
33857													
34153													
34359													
34425													
34434													
34452													
34537													
34555													
34742													
34836													
34863													
35057													
35244													
35301	1132609	0	914294	257276	159737	218315	417013	0	417013	471536	272838	198698	
35570													
35646													
35842													
35936													
36054													
36344													
36456													
36858													
36933													
37051													
37341													
37350													
37378													
37435													
37640													
37659													
37743													
37949													
38478													
38526													
38535													
38740													
39327													
39420													
39475													
39756													
39934													
40033													
40305													
40350													
40707													
40855													
41245													
41553													
41629													
41647													
41759													
41825													
41937													
41955													
42037													
42055													
42354													
42420													
42448													
42457													
42541	0	0	0	0	0	0	0	0	0	0	0	0	
43052													
43155													
43173	0	0	0	0	0	0	0	0	0	0	0	0	
43324													
43351													
43454													
43511													
43641													
43744													
43856													
43959													
44040													
44134	0	0	0	0	0	0	0	0	0	0	0	0	
44433													
44451													
44602													
44741													
44750													
44929													
45038													
45047													
45056													
45430													
45458													
45551													
45560													
45627													
45775													
46053													
46941													
47153													
47247													
47256													
47452													
47500													
48057													
48150													
48374													
48440													
48552													
48673													
48730													
49054													
49148													
49241													
49344													
49540													
49643													
49652													
49821													
49858													
49951													
50144													
50461													
50546													
50854													
50957													
51253													
51347													
51356													
51459													
51730													
51842													
51972													
52410													
52456													
52719													
52951													
53015													
53033	0	0	0	0	0	0	0	0	0	0	0	0	
53051													
53239													
53453													
53752													
54049													
54058													
54357													
54375													
