"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	
37	1019	180	60	0	970	191	0	0	0	0	
242	158	0	9	0	157	8	0	0	0	0	
279	433	78	71	0	381	97	0	0	0	0	
354	182	215	25	0	195	253	0	0	0	0	
439	1696	420	25	0	1419	168	0	0	0	0	
457	322	109	4	0	225	16	0	0	0	0	
505	2214	0	72	0	2243	101	0	0	0	0	
1146	3359	838	96	0	3041	616	0			0	
1155	1646	315	34	0	1433	136	0	0	0	0	
1351	720	2010	11	0	417	1718	0	0	0	0	
1454	800	160	47	0	818	225	0	0	0	0	
1557	369	0	21	0	361	13	0	0	0	0	
1632	3961	1285	69	0	2775	168	0	0	0	0	
1669	1200	315	139	0	1182	436	0	0	0	0	
1829	2940	2159	193	0	2103	1515	0	0	0	0	
1856	104	8	7	0	93	4	0	0	0	0	
2040	1684	345	149	0	1558	368	0	0	0	0	
2161	520	30	28	0	504	42	0	0	0	0	
2376	6172	0	0	0	6172	0	0	0	0	0	
2451	187	0	0	0	147	20	60	0	0	0	
2554	44	0	0	0	47	3	0	0	0	0	
2732	3163	300	40	0	3108	285	0	0	0	0	
2750	615	5	48	0	589	27	0	0	0	0	
2938	4997	2241	283	0	3721	1248	0	0	0	0	
2956	704	0	2	0	713	11	0	0	0	0	
3252	960	830	255	0	1322	1447	0	0	0	0	
3458	372	0	10	0	362	0	0	0	0	0	
3506	9797	1200	93	0	9641	1137	0			0	
3579	2261	528	231	0	2228	726	0	0	0	0	
3720	1169	59	6	0	1146	42	0	0	0	0	
3953	1042	400	498	0	823	679	0	0	0	0	
4138	1300	495	8	0	1207	410	0	0	0	0	
4147	411	120	8	0	543	260	0	0	0	0	
4156	1366	1301	119	0	1268	1199	-123	0	0	0	
4231	647	60	45	0	711	169	0	0	0	0	
4437	1427	530	49	0	1253	405	0	0	0	0	
4839	1506	-367	273	0	1743	143	0	0	0	0	
5005	1714	240	1	0	1476	3	0	0	0	0	
5050	761	256	35	0	545	75	0	0	0	0	
5069	6684	30	0	0	6654	0	0	0	0	0	
5135	1862	544	71	0	1600	353	0	0	0	0	
5210	3938	300	50	0	3977	389	0	0	0	0	
5247	4368	1925	11	0	2378	28	82	0	0	0	
5274	733	0	43	0	725	35	0	0	0	0	
5331	781	0	2	0	778	0	1	0	0	0	
5461	2143	0	101	0	2086	24	-20	0	0	0	
5751	772	0	1	0	793	22	0	0	0	0	
6039	1060	275	69	0	1038	322	0	0	0	0	
6057	169	38	5	0	141	15	0	0	0	0	
6141	285	60	51	0	237	63	0	0	0	0	
6329	2469	1025	174	0	2412	1142	0	0	0	0	
6972	5268	-400	246	0	5667	245	0	0	0	0	
7009	0	0	0	0	0	0	0	0	0	0	
7045	655	110	38	0	714	207	0	0	0	0	
7157	258	46	14	0	238	40	0	0	0	0	
7166	6367	1691	89	0	5024	437	0	0	0	0	
7456	352	-50	3	0	406	7	0	0	0	0	
7634	621	160	154	0	607	300	0	0	0	0	
8033	683	0	94	0	608	19	0	0	0	0	
8417	767	-58	0	0	421	0	404	0	0	0	
8462	320	20	38	0	319	57	0	0	0	0	
8547	3592	498	529	0	3764	1199	0	0	0	0	
8631	297	40	39	0	298	80	0			0	
9357	3623	150	68	0	3418	13	0	0	0	0	
9553	567	40	5	0	530	8	0	0	0	0	
9807	42762	3500	248	0	40587	1573	0	0	0	0	
9955	414	0	19	0	422	27	0	0	0	0	
10157	1030	747	178	0	796	691	0	0	0	0	
10250	2549	500	55	0	2201	207	0	0	0	0	
10849	2001	275	2	0	1858	134	0	0	0	0	
10858	4241	2688	144	0	6592	5183	0	0	0	0	
