"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2155	RCFD2160	RCFD2170	RCFD2920	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2155	RCON2160	RCON2170	RCON2200	RCON2920	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	CUSTOMERS LIABILITY ON ACCEPTANCES	OTHER ASSETS	TOTAL ASSETS	ACCEPTANCES EXECUTED FOR ACCT. & OUT	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	CUSTOMERS LIABILITY ON ACCEPTANCES	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	ACCEPTANCES EXECUTED FOR ACCT. & OUT	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37																																							0	4391	0	0	26446	0	565	52	0	1072	82287	67629	0	513	68142	0	1029	0	0	0	14145	1200	82287	0	0	9521	0	3500	0	6895	60734		0	47307	46278	-76	3483	0	0	0	
242																																							100	962	0	0	7064	0	342	0	0	413	29248	21973	0	53	25640	0	160	0	2992	0	3608	120	29248	0	0	3444	0	120	0	3342	18631		0	20527	20367	-76	0	0	421	201	
279																																							267	1933	63	53003	22765	248	2040	428	0	2606	127199	80134	0	349	107981	0	596	0	27498	0	19218	0	127199	0	0	19378	0	0	0	4057	76077		0	42042	41446	-160	2400	0	0	0	
354																																							0	242	0	0	3626	0	32	0	0	162	7946	6860	0	22	6975	0	181	0	0	0	971	25	7946	0	0	481	0	500	0	1372	5487		0	4065	3884	-35	0	0	93	0	
439																																							0	8486	2504	3443	21747	0	2295	25	0	2959	164057	140841	0	1242	142083	0	1602	0	0	0	21974	596	164057	0	0	12148	0	9404	0	36003	104838		0	123171	121569	-174	1029	0	0	0	
457																																							0	750	0	1593	0	0	109	282	0	889	28292	24989	0	254	25243	0	282	0	0	0	3049	60	28292	0	0	799	0	2190	0	2981	22008		0	24951	24669	0	0	0	0	0	
505																																							148	12677	135	0	90745	0	4433	157	0	7655	310320	267884	0	2287	287671	53	2258	1594	17500	0	22596	6480	310320	0	0	6553	0	10653	0	49922	217962		0	195034	192776	-1090	0	0	0	0	
1146																																							541	27149	594	230	33729	0	23143	67	0	13315	465299	392271	0	7340	430166	0	3783	137	21555	6000	35133	19	465299	0	0	26636	0	8854	46433	77926	314345		0	323744	319961	-376	0	0	3000	0	
1155																																							7	3821	0	4078	33721	0	4513	210	0	5810	165045	117510	0	816	152963	0	1838	0	12225	0	12082	1600	165045	0	0	7190	0	3400	665	12306	105204		0	114058	112220	-108	0	0	1900	20512	
