"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2344	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON2604	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA242	RCONA243	RCONA244	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	BROKERED DEPS/PARTICIPATNS LE 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	TIME DEPOSITS GE 100000	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	TIME DEPS GE 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	BROKERED DEPS GE 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	
37	6665	0	1662	6895	0	16657	0	0	0	0	0	0	50972	0	603	12705		29227	2375	3973	9831	4503	0	0	2336	7496	11053	8342	1597	2906	4231	3971	14995	50369	0	0	
242	2817	4	836	3342	0	7853	0	0	0	0	0	0	14120	0	707	2202		7772	1329	1257	4989	2001	0	0	1239	3750	1798	985	400	1601	201	0	7013	13413	0	0	
279	11099	0	0	4056	0	11770	0	0	0	0	0	0	68364	0	0	19554		35623	2089	9412	24244	11425	0	0	8836	15409	9321	2057	3872	7553	6032	2098	11770	68364	0	0	
354	1010	0	118	1372	0	1373	0	0	0	0	0	0	5487	0	1645	800		2532	1146	0	2529	800	0	0	603	1926	3	0	700	100	0	0	1255	3842	0	0	
439	16467	6	3712	36003	0	51280	0	0	0	1640	1640	0	89561	0	6289	22872		43229	6993	8431	40914	21569	0	1640	8646	32268	2307	8	4092	17477	1303	0	47562	83272	0	0	
457	3099	0	673	2981	0	4954	0	0	198	1388	1586	0	20035	0	822	4241		8608	4087	740	6520	2655	0	0	2122	4398	1630	458	940	1715	1586	0	4281	17627	0	1586	
505	130823	6	5030	16918	0	26411	0	0	0	0	0	0	241473	0	50238	27088		53512	30050	8417	39341	19400	0	0	10698	28643	13703	468	7907	11493	6497	1191	21375	191035	0	200	
1146	111742	0	458	72553	0	124958	0	0	0	0	0	0	267313	0	8744	40838		76609	38124	10304	66228	33787	0	0	18152	48076	9096	1285	13777	20010	6057	994	124190	241969	310	16600	
1155	316	16	1397	12306	0	44413	0	0	0	0	0	0	73097	0	15144	23345		39308	10128	9289	26876	18539	0	0	17577	9299	9209	3223	9610	8929	3541	1265	42937	57953	63	0	
1351	3625	5	4759	9904	0	19591	0	0	0	0	0	0	65498	0	3261	12207		34439	15225	5177	26561	10656	0	0	10431	16130	7878	0	4545	6111	1551	0	14827	62237	0	0	
1454	1580	128	4125	85735	0	148206	0	0	0	0	0	0	197967	6	13747	41700		44168	110517	13948	26823	12059	0	0	15658	14026	7639	6845	32500	3812	1889	3499	143947	184214	6	0	
1557	2352	11	848	3540	0	6273	0	0	0	0	0	0	20113	0	2273	4004		11579	2178	1831	7710	3279	0	0	3008	4702	3171	698	2234	1045	725	0	5414	17790	0	50	
1632	52455	13	46897	36383	0	47488	0	0	0	28000	28000	0	311445	0	2207	90878		61767	106345	14552	43709	60822	0	18000	11620	32089	17574	484	16247	44575	29856	200	473	308874	105	364	
1669	13102	5	14850	36305	0	77466	0	0	0	0	0	0	106830	0	2626	21239		57431	15057	10628	37128	10431	0	0	16080	22333	14320	4698	3694	6737	8961	1847	62533	104204	78	0	
1829	31334	11	1292	52680	0	67671	0	0	0	0	0	0	195289	0	2832	34696		95053	34206	17808	41888	13036	0	0	13202	28686	44402	8763	4128	8908	17580	4080	66101	192457	267	0	
1856	523	1	1692	1571	0	2998	0	0	0	39163	39163	0	65988	0	20513	62025		1880	1560	3	1753	35136	0	13927	642	1111	86	41	20508	14628	18228	8661	1305	45475	0	0	
2040	6789	17	1967	10670	0	28137	0	0	0	0	16209	0	87631	0	3996	26759		30515	23568	9522	16426	14657	0	6797	4057	12369	10244	3845	3095	11562	7527	4575	26153	83635	0	0	
2161	14049	0	3848	16480	0	37052	0	0	0	0	0	0	49834	0	7677	16492		14718	4575	6216	12428	14890	0	0	4280	8148	1787	503	1976	12914	698	904	33204	42157	0	0	
2376	272969	0	78	14282	0	26977	0	0	0	0	0	0	677961	0	293	65992		317918	21082	47121	241532	45587	0	0	73891	167642	68499	7887	13267	32321	19166	1238	26899	677668	0	0	
2451	1814	0	378	1776	0	3345	0	0	396	1521	1917	0	13836	0	1629	3171		7217	1634	593	5569	2371	396	500	1507	4062	1318	330	1006	1365	300	500	2967	11813	0	394	
2554	453	0	184	1194	0	2732	0	0	0	0	0	0	3580	0	771	809		2318	0	0	1678	709	0	0	473	1205	571	69	309	400	100	0	2548	2809	0	0	
2732	39643	25	4153	91812	0	129130	0	0	0	0	0	0	321969	0	29113	136231		57050	89045	10047	50218	110152	0	0	31870	18865	5085	1230	79689	30463	19034	7045	124952	292856	0	0	
2750	6976	0	1090	1528	0	7679	0	0	198	211	409	0	31571	0	5339	8172		14371	2053	1648	11385	7423	198	100	5838	6201	2217	115	4476	3076	620	0	6589	25739	0	493	
2938	12027	0	11072	65644	0	70145	0	0	0	0	50292	0	187374	0	12924	73299		20462	81586	5364	14060	31643	0	15000	4331	9729	5692	710	11302	20341	36158	5498	58355	174350	718	100	
2956	4879	0	589	8397	0	20630	0	0	0	0	0	0	68626	0	8248	11240		37323	15183	5666	26236	10225	0	0	8923	17313	9058	2029	4182	6044	814	200	20041	60378	0	0	
3252	9807	6	817	11679	0	48337	0	0	0	0	0	0	44608	0	3801	8234		16895	9672	4991	12944	6711	0	0	5374	7570	2944	1007	3975	2736	1523	0	47514	40807	0	0	
3458	1266	1	1629	2442	0	6402	0	0	0	0	0	0	12611	0	1576	3465		6431	1448	424	4746	2573	0	0	1185	3561	1448	237	769	1804	592	300	4772	11035	0	0	
3506	108784	140	2495	91447	0	140045	0	0	0	0	0	0	1127850	0	64460	35704		279790	703571	30705	175984	24383	0	0	79917	96067	99500	4307	16295	8088	10628	693	129876	1063390	7534	0	
3720	20359	0	2612	19637	0	56347	0	0	0	0	0	0	69367	0	1335	16637		30960	1411	4540	21419	12715	0	0	2617	18802	9499	42	4291	8424	3922	0	53735	68032	0	0	
3953	5201	57	1491	19842	0	28122	0	0	0	0	0	0	52941	0	4662	8552		16846	22341	466	15286	7847	0	0	3838	11914	957	138	3670	4177	706	0	26574	48279	0	0	
4138	24826	11	1485	22243	0	33891	0	0	0	0	0	0	119547	0	5478	27636		45398	21688	9671	39519	21971	0	0	11656	27863	4806	1073	6597	15374	3429	2236	32395	114069	0	0	
4147	11879	0	1061	13169	0	27216	0	0	0	0	2969	0	60677	0	4671	7811		21074	19911	5403	13697	6924	0	2969	3506	10191	7377	0	762	6163	886	0	26155	56006	0	0	
4156	6709	0	6695	12737	0	32558	0	0	0	0	0	0	71416	0	10275	16547		31986	16174	5479	19310	13031	0	0	4878	14432	9544	3132	7418	5613	1458	2058	25863	61141	0	0	
4231	11369	0	3993	12452	0	21599	0	0	0	5026	5026	0	74061	0	6685	33143		22360	7188	10750	17002	19070	0	0	4471	12531	4079	1280	4711	14360	11866	2206	17606	67376	0	0	
