"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB565	RCFDB566	RCFDB567	RCFDB568	RCFDB569	RCFDB570	RCFDB571	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB565	RCONB566	RCONB567	RCONB568	RCONB569	RCONB570	RCONB571	RCONC979	TEXT4087	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FORECLOSED PROPERTIES FROM	URL	
37																								0	0	48	0	0	0	false	0	0	0	0	0	0	48	0	0	228	0	0	0	0	0	0	0	false	0	0	0		
242																								0	0	28	200	0	2612	true	0	0	0	0	0	0	28	0	0	248	0	0	0	812	1600	0	0	true	0	0	0	http://www.fcbxeniaflora.com	
279																								71	249	437	10173	71	27951	true	0	0	249	0	9	0	428	0	0	385	0	71	0	2500	15278	0	0	true	0	0	0	http://www.mineolacb.com	
354																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	214	1	0	0	0	0	0	0	false	0	0	0		
439																								4174	0	137	0	0	0	true	0	0	0	4174	0	0	16	0	121	2278	1	0	0	0	0	0	0	false	0	0	0	www.peoplesbankga.net	
457																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	800	2	0	0	0	0	0	0	false	0	0	0		
505																								127	0	157	21100	96	34100	true	0	0	0	31	157	0	0	0	0	2926	2	96	0	9000	4000	0	0	true	0	0	0	bsnb.com	
1146																								542	0	77	8000	39	27424	true	0	0	0	503	0	0	68	0	9	639	1	39	0	0	19424	0	0	true	0	0	0	www.pulaskibank.com	
1155																								0	0	210	0	0	3000	true	0	0	0	0	0	0	0	0	210	8355	5	0	0	0	3000	0	0	true	0	0	0	www.firststatebankandtrust.com	
