"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
37	1010	45	32	0	962	29	0			0	0	
242	158	0	4	0	158	4	0			0	0	
279	456	0	2	0	454	0	0			0	0	
354	191	0	3	0	188	0	0			0	0	
439	1628	67	0	0	1538	0	23			0	0	
457	325	25	1	0	301	2	0			0	0	
505	2364	45	6	13	2326	0	0			0	0	
1146	4239	0	9	0	4344	114	0			0	0	
1155	1992	90	17	0	1892	7	0			0	0	
1351	1126	10	1	0	1120	5	0	0	0	0	0	
1454	1337	140	16	0	1191	10	0			0	0	
1557	378	0	1	0	377	0	0	0	0	0	0	
1632	6267	700	22	0	5734	189	0			0	0	
1669	1444	70	30	0	1400	56	0			0	0	
1829	3179	135	84	0	3005	45	0			0	0	
1856	133	15	0	0	118	0	0			0	0	
2040	1761	700	40	0	1790	769	0			0	0	
2161	536	7	11	0	519	1	0			0	0	
2376	6565	393	0	0	6172	0	0			0	0	
2451	192	0	0	0	192	0	0			0	0	
2554	51	6	1	0	44	0	0			0	0	
2732	3528	75	3	0	3458	8	0			0	0	
2750	520	10	1	0	541	32	0	0	0	0	0	
2938	5729	575	104	0	5257	207	0			0	0	
3252	903	0	66	0	956	119	0			0	0	
3458	384	0	1	0	384	1	0			0	0	
3506	10559	175	4	0	10646	266	0			0	0	
3720	1264	22	1	0	1246	5	0			0	0	
3953	1375	150	52	0	1174	1	0			0	0	
4138	1279	60	6	0	1270	57	0			0	0	
4147	532	30	11	0	722	231	0			0	0	
4156	1281	48	85	0	1152	3	-1			0	0	
4231	679	21	3	0	664	9	0			0	0	
4437	1881	120	4	0	1940	183	0	0	0	0	0	
