"IDRSSD"	RCON6979	TEXT6980	
	NO COMMENT-BK MANAGEMENT STATEMENT	BANK MANAGEMENT STATEMENT	
37	false		
242	false		
279	false		
354	false		
439	false		
457	false		
505	false		
1146	false		
1155	false		
1351	false		
1454	false		
1557	false		
1632	false		
1669	false		
1829	false		
1856	false		
2040	false		
2161	false		
2376	false		
2451	false		
2554	false		
2732	false		
2750	false		
2938	false		
3252	false		
3458	false		
3506	false		
3720	true	During the third quarter of 2006, the bank reviewed coding of loans for call reporting purpose. This review revealed a relatively small number of coding errors. These were corrected during the period. Also during the third quarter of 2006, the bank accessed the Brokered C.D. Market in the amount of $5,134,000.00. We used the funds to pre-purchase investment securities in the third quarter at rates which we feel were higher than when security maturities return to us in the first two quarters of 2007. Maturities in 2007 will be used to retire the brokered c.d. purchase.	
3953	false		
4138	false		
4147	false		
4156	false		
4231	false		
4437	false		
4839	false		
5005	false		
5069	false		
5135	false		
5210	false		
5331	false		
5461	false		
5751	false		
6039	false		
6057	false		
6141	false		
6329	false		
6972	false		
7009	false		
7045	false		
7157	false		
7456	false		
7634	false		
8033	false		
8417	false		
8462	false		
8631	false		
9357	false		
9553	false		
9807	false		
9955	false		
10157	false		
10250	false		
10849	false		
10858	false		
11145	false		
11640	false		
11837	false		
12030	false		
12058	false		
12142	false		
12245	false		
12311	false		
12647	false		
12656	false		
12937	false		
12946	false		
12955	false		
13037	false		
13103	false		
13251	false		
13457	false		
14052	false		
14155	false		
14258	false		
14409	false		
14454	false		
14650	false		
14753	false		
14865	false		
15536	false		
16337	false		
16458	false		
16551	false		
16748	false		
16944	false		
16953	false		
17110	false		
17147	false		
17259	false		
17464	false		
17839	false		
17950	false		
18050	false		
18135	false		
18368	false		
18377	false		
18827	false		
18836	false		
18854	false		
18957	true	One nonaccrual loan secured by 1-4 family residential property added ths quarter in the amount of $185,000 was paid in full on 10-5-2006.	
19356	false		
19730	false		
19936	false		
19972	false		
20053	false		
20147	false		
20259	false		
20370	false		
20512	false		
20633	false		
20754	false		
20839	false		
20857	false		
20866	false		
21256	false		
21359	false		
21630	false		
21658	false		
22048	false		
22235	false		
22356	false		
22459	false		
22543	false		
22552	false		
22730	false		
22936	false		
22954	false		
23036	false		
23045	false		
23241	false		
23456	false		
23504	false		
23540	false		
23643	false		
23755	false		
23812	false		
24006	false		
24266	false		
24453	false		
24659	false		
24668	false		
24855	false		
24949	false		
25357	false		
25647	false		
25852	false		
26149	false		
26233	false		
26242	false		
26457	false		
26765	false		
26859	false		
26916	false		
27548	false		
27614	false		
27838	false		
27847	false		
28013	false		
28152	false		
28255	false		
28349	false		
28406	false		
28572	false		
28732	false		
29104	false		
29159	false		
29252	false		
29636	false		
29850	false		
29944	false		
29953	false		
30052	false		
30155	false		
30258	false		
30418	false		
30502	false		
30650	false		
30810	false		
30856	false		
31134	false		
31255	false		
31657	false		
31826	false		
31835	false		
32159	false		
32234	false		
32766	false		
33147	false		
33259	false		
33268	false		
33549	false		
33727	false		
33754	false		
33772	true	Southwest Community Bank was merged with and into Placer Sierra Bank effective June 9, 2006. The merger was accounted for using purchase accounting.	
33839	false		
33857	false		
34153	false		
34359	false		
34425	false		
34434	false		
34452	false		
34537	false		
34555	false		
34742	false		
34836	false		
34863	false		
35057	false		
35244	false		
35301	false		
35570	false		
35646	false		
35842	false		
35936	false		
36054	false		
36344	true	The rate reported on the Schedule LEO is	
36456	false		
36858	false		
36933	false		
37051	false		
37341	false		
37350	false		
37378	false		
37435	false		
37640	false		
37659	false		
37743	false		
37949	false		
38526	false		
38535	false		
38740	false		
39327	false		
39420	true	The amounts presented in Schedule RC-N represent the gross total of the Bank's reportable past due loans and should not be considered as an absolute amount of the loan losses to be sustained by the Bank's current portfolio of loans. The Bank maintains a reserve for loan losses which is believed to be adequate to cover the amount of all reasonable foreseeable loan losses after the liquidation of collateral as of this report date and that the realization of such losses would not have a material impact on the Bank's financial or its operational results.	
39475	false		
39756	false		
39934	false		
40033	false		
40305	false		
40350	false		
40707	false		
40855	false		
41245	false		
41553	false		
41629	false		
41647	false		
41759	false		
41825	false		
41937	false		
41955	false		
42037	false		
42055	false		
42354	false		
42420	false		
42448	false		
42457	false		
43052	false		
43155	false		
43173	false		
43324	false		
43351	false		
43454	false		
43511	false		
43641	false		
43744	false		
43856	false		
43959	false		
44040	false		
44134	false		
44433	false		
44451	false		
44602	false		
44741	false		
44750	false		
44929	false		
45038	false		
45047	false		
45056	false		
45430	false		
45458	false		
45551	false		
45560	false		
45627	false		
45775	false		
46053	false		
46941	false		
47153	false		
47247	false		
47256	false		
47452	false		
47500	false		
48057	false		
48150	false		
48374	false		
48440	false		
48552	false		
48730	false		
49054	false		
49148	false		
49241	false		
49344	false		
49643	false		
49652	false		
49821	false		
49858	false		
49951	false		
50144	false		
50461	false		
50546	false		
50854	false		
50957	false		
51253	false		
51356	false		
51459	false		
51730	false		
51842	false		
52410	false		
52456	false		
52719	false		
52951	false		
53015	false		
53033	false		
53051	false		
53239	false		
53453	false		
53752	false		
54049	false		
54058	false		
54357	false		
54375	false		
54441	false		
54656	false		
55176	false		
55251	false		
55336	false		
55635	false		
55653	false		
56230	false		
56258	false		
56351	false		
56427	false		
56548	false		
56557	false		
56717	false		
56726	false		
57040	false		
57228	true	Schedule RC-C has been revised to reflect a reclass from line 6.c. to line 4. This reclass was possible because of a new reporting software (A2i) that can validate loans by class. (11/8/06)	
57255	false		
57451	false		
57572	false		
57956	false		
58074	false		
58207	false		
58225	false		
58243	false		
58355	false		
58551	false		
58636	false		
58757	false		
58971	false		
