"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37											160					0	0	0	0	
242											153					2812	0	0	310	
279											1475					27731	0	0	0	
354											5					0	0	0	0	
439											339					0	0	0	0	
457											128					1200	0	0	0	
505											2492					32150	0	0	0	
1146											2892					39253	893	0	0	
1155											741					3000	0	0	25898	
1351											0					0	0	0	0	
1454											1096					0	5	0	0	
1557											132					2147	0	0	0	
1632											1344					9000	0	0	5587	
1669											426					898	0	0	0	
1829											2004					15219	2103	0	2168	
1856											4620					84675	0	0	25000	
2040											1194					21911	349	0	0	
2161											251					0	0	0	0	
2376											10917					203866	8429	0	0	
2451											606					5864	0	0	0	
2554											0					0	0	0	0	
2732											181					354	0	0	0	
2750											466					7825	0	0	0	
2938											1428					15500	0	0	2705	
3252											295					2370	0	0	0	
3458											177					0	0	0	1575	
3506											11369					154908	0	0	12263	
3720											565					4942	0	0	4416	
3953											961					392	0	0	0	
4138											914					2505	0	0	0	
4147											2536					13000	0	0	0	
4156											1336					25100	0	0	0	
4231											0					0	0	0	2000	
4437											946					10875	0	0	2961	
4839											1595					27900	0	0	7616	
5005											3282					41612	17147	0	0	
5069											0					0	0	0	0	
5135											875					8000	0	0	0	
5210											10810					186262	0	0	21634	
5331											4010					17477	0	0	82000	
5461											0					18609	224	0	0	
5751											259					0	0	0	0	
6039											291					0	51	0	0	
6057											175					700	0	0	0	
6141											0					0	0	0	0	
6329											869					0	0	0	0	
