"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON3510	RCON3512	RCON3514	RCON3520	RCON5514	RCON5515	RCON5516	RCON5517	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	PB/PSA FDIC CERTIFICATE NUMBER	
37	117	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	3925		0	0	46266		14195	82		
242	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1238		0	0	16455		5401	30		
279	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	9573		425	1	58259		13718	122		
354	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	0		0	0	5575		736	2		
439	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	8272		592	2	95068		54510	230		
457	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	751		0	0	17552		6388	33		
505	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	7347		570	1	157029		110890	412		
1146	0	0	0	4120		0	0	10		0	0	0	0	0		0	0		0	0	0	0	0	0	0	10383		1078	4	225153		170078	751		
1155	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	9977		333	1	78268		47723	151		
1351	0	99	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	5134		0	0	35577		50099	228		
1454	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	14869		0	0	187415		167319	478		
1557	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1919		0	0	18772		6605	33		
1632	0	0	0	0		0	0	0		0	0	0	0	0		34	0		0	0	0	0	0	0	0	17888		3157	8	240790		227901	762		
1669	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	10636		0	0	112996		56249	191		
1829	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	19821		4604	9	197087		85669	443		
1856	9	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	3		0	0	32467		40870	44		
2040	5	0	0	0		0	0	0		6	0	0	0	0		0	0		0	0	0	0	0	0	0	9193		254	1	59834		58016	157		
2161	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	6553		0	0	45455		38948	185		
2376	0	0	0	4		0	0	75997		0	0	0	0	19		0	0	48000	0	0	0	0	0	0	0	46458		353	1	504676		145956	981		
2451	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	579		0	0	11711		11101	34		
2554	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	0		0	0	3930		2170	11		
2732	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	9250		266	1	143229		274608	583		
2750	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1715		0	0	26045		12330	62		
2938	0	0	0	0		0	0	0		0	0	0	0	0		111	0		0	0	0	0	0	0	0	5994		604	2	91554		197895	490		
3252	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	4948		0	0	35177		42943	99		
3458	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	450		0	0	10897		8205	48		
