"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2344	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON2604	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA242	RCONA243	RCONA244	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	BROKERED DEPS/PARTICIPATNS LE 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	TIME DEPOSITS GE 100000	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	TIME DEPS GE 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	BROKERED DEPS GE 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	
37	5746	0	4062	6247	0	15585	0	0	0	0	0	0	48820	0	697	12640	4759	28177	2257	3835	12049	4741	0	0	2436	9614	10764	5363	819	3922	6899	999	11523	48123	0	0	
242	2665	0	346	4098	0	8075	0	0	0	0	0	0	16406	0	1833	2883	1755	7875	2983	1390	5829	2128	0	0	1835	3994	1710	336	846	1282	501	254	7729	14573	0	0	
279	9486	0	0	4580	0	14329	0	0	0	0	0	0	66906	0	0	19396	0	37173	851	9816	25819	12083	0	0	8764	17055	9156	2199	3768	8315	5053	2260	14329	66906	0	0	
354	938	0	63	1370	0	1370	0	0	0	0	0	0	4836	0	1217	300	815	2486	1113	0	2479	300	0	0	1111	1368	7	0	0	300	0	0	1307	3619	0	0	
439	14943	0	4024	38087	0	53107	0	0	0	0	0	0	102589	0	6539	28789	7971	44530	14327	8912	41875	27612	0	0	10054	31821	2643	12	8556	19056	1177	0	49083	96050	0	0	
457	3087	0	443	2919	0	5069	0	0	99	791	890	0	19566	0	1576	3131	1251	9255	4093	738	7487	2731	99	791	1941	5546	1614	154	722	2009	400	0	4626	17891	0	99	
505	107009	16	2293	15852	0	22162	0	0	0	0	0	0	249618	0	53471	30710	52386	60287	51612	8008	54145	27895	0	0	14575	39570	4957	1185	10685	17210	1309	1506	19853	196147	0	0	
1146	123007	0	879	64570	0	115722	0	0	0	0	0	0	307060	0	11908	62423	11430	102616	19015	11982	95623	61137	0	0	26881	68742	6725	268	16290	44847	1124	162	114188	280384	655	14768	
1155	319	36	1418	16934	0	53076	0	0	0	5216	5216	0	92330	0	17656	35765	17549	46528	9718	10666	25064	26565	0	5216	21339	13094	7642	4453	22862	8979	2295	1629	51551	74674	71	0	
1351	3345	2	7692	9707	0	22059	0	0	0	0	0	0	70403	0	2431	14111	9815	34111	18836	5140	26695	10292	0	0	9341	17362	7408	0	4550	5742	3819	0	14365	67972	0	0	
1454	1437	192	5514	100389	0	174511	0	0	0	0	0	0	181188	8	14855	32259	17454	50775	96718	15321	33935	16983	0	0	19282	17634	9320	4539	17138	9831	3079	2211	168776	166325	29	0	
1557	2235	1	715	5505	0	8195	0	0	0	0	0	0	20591	0	3241	5106	2597	11602	1648	1885	8060	4643	0	0	3284	4776	3035	507	3240	1403	263	200	7479	17300	0	50	
1632	7817	17	3594	42386	0	50817	0	0	0	9813	9813	0	445754	0	19426	128064	23020	103171	206702	23554	95390	120397	0	9813	43179	52211	7138	643	53172	67225	7216	451	47128	426328	78	0	
1669	13162	7	5485	37337	0	71049	0	0	0	0	0	0	107915	0	2689	26344	7743	57707	10703	10642	41226	16337	0	0	15952	26648	12017	3090	6619	9718	9007	1000	65431	105226	126	0	
1829	44091	45	466	58261	0	77496	0	0	0	0	0	0	222930	0	6713	46271	4575	105884	26684	24285	73225	32696	0	0	28402	44823	24414	8245	15422	17274	9755	3820	76846	216217	139	0	
1856	358	0	896	2076	0	3672	0	0	49575	0	49575	0	91392	0	21140	38045	20480	51942	1047	3	42434	23495	40127	0	41082	1352	8581	927	20750	2745	100	14450	2776	56252	0	14000	
2040	12350	13	4461	10941	0	32052	0	0	0	19629	19629	0	107118	0	2429	34216	0	33468	27083	9494	22760	11972	0	0	5633	17127	9769	940	3470	8502	16984	5260	27578	104689	0	0	
2161	13512	0	4624	17675	0	41340	0	0	0	0	0	0	48559	0	6610	17306	9166	14762	2979	6611	12934	15970	0	0	4428	8506	1604	224	3706	12264	722	614	36716	41949	0	0	
2376	247491	0	81	11677	0	21767	0	0	0	0	0	0	707692	0	337	93579	46	333265	33357	46548	301459	85149	0	0	95672	205789	27990	3814	25270	59879	8113	316	21686	707355	0	0	
2451	1474	0	323	1860	0	3150	0	0	198	7698	7896	0	20736	0	1506	11174	652	4778	3310	517	3565	10151	99	7698	1245	2320	1016	197	2167	7984	523	500	2827	19133	0	97	
2554	475	0	173	1756	0	3670	0	0	0	0	0	0	3363	0	675	610	527	2278	0	0	1724	100	0	0	650	1074	554	0	100	510	0	0	3497	2688	0	0	
2732	33816	28	3472	83059	0	120162	0	0	0	12241	12241	0	325989	0	44965	179123	32683	53305	59745	9693	48377	166699	0	6191	28055	20992	3069	1189	95278	71421	6047	6377	116662	281024	0	0	
2750	9199	0	522	2323	0	6967	0	0	2276	300	2576	0	34751	0	4843	7665	3390	16833	1054	1781	14344	7347	2182	200	4090	10501	2034	208	2062	5402	201	0	6445	27463	0	2445	
2938	10065	56	1294	47763	0	53658	0	0	74538	0	74538	0	247162	0	18518	29021	20	112732	95344	6519	98626	25237	64796	0	37793	60833	8346	5760	6644	18593	3420	364	51490	228444	818	200	
3252	8852	10	573	13274	0	39505	0	0	0	0	0	0	44522	0	4484	12451	4603	17721	5498	4843	13714	10890	0	0	3894	9820	3574	433	3454	7436	1561	0	38922	40038	0	0	
3458	1240	0	2094	2302	0	6444	0	0	0	0	0	0	13565	0	2126	4172	3343	6672	1481	442	5427	3133	0	0	1259	4168	1173	72	1040	2093	839	200	4350	11439	0	0	
3506	109769	259	856	67079	0	98669	0	0	0	0	0	0	1135141	0	108334	58914	87844	253864	712594	28876	209595	52996	0	0	59033	150562	39109	5160	29564	23432	4688	1230	92193	1026807	5361	0	
3720	24812	0	3812	19169	0	59273	0	0	5134	0	5134	0	77862	0	2330	23637	3343	25284	4129	4382	21415	23311	5134	0	4501	16914	3834	35	9594	13717	326	0	55461	75532	0	0	
3953	5084	44	4206	22269	0	33315	0	0	0	0	0	0	61786	0	3874	8598	0	15570	32534	349	14393	7800	0	0	5700	9042	808	20	3189	4611	797	0	29065	57912	0	0	
4138	23705	22	3753	23269	0	39174	0	0	0	0	0	0	124523	0	3688	31173	3815	51356	18288	10220	46398	11323	0	0	16468	30242	3958	688	8935	2388	18546	1304	35399	120835	0	0	
4156	6837	0	11966	16880	0	39200	0	0	0	0	0	0	92289	0	14352	25381	2182	39244	20826	6186	28577	22260	0	0	6275	24409	6026	2534	12527	9733	1411	1710	27234	77937	0	0	
4231	9008	31	4441	14703	0	22921	0	0	0	0	8254	0	80709	0	6130	39308	7613	25182	7211	12977	19113	27024	0	4081	4083	15030	3515	2553	5768	21256	7205	5078	18449	74579	0	0	
4437	95455	6	689	20843	0	43607	0	0	4083	0	4083	0	161794	0	8166	26939	6500	39400	0	6793	32132	22887	3728	0	15663	19547	3775	415	5052	18528	1519	1840	42912	153342	0	286	
4839	30674	4	192	35755	0	41678	0	0	0	23282	23282	0	178926	0	4304	75020	4000	55447	17785	13981	47805	62025	0	12918	15119	32686	7183	459	19884	42141	8841	4154	41482	174622	0	0	
5005	58133	7	1104	31930	0	46863	0	0	0	0	0	0	244778	0	12	63088	0	108932	14625	17961	70900	45489	0	0	7027	63873	36527	1505	2667	42822	17599	0	45752	244766	0	0	
5069	20031	1	0	10245	0	13719	0	0	21396	7500	30849	0	217527	0	1576	122777	0	69536	5183	484	62478	113511	18338	8402	21109	41369	5123	1935	61893	51618	5687	3579	13718	205466	0	10485	
5135	10742	0	23214	36109	0	62882	0	0	0	0	68958	0	194970	0	12365	124215	2843	46541	13473	10717	42821	116654	0	67228	14707	28114	3685	35	46466	70188	7561	0	39668	113517	0	69088	
5210	210947	72	13286	52351	0	76600	0	0	0	0	0	0	593718	0	15320	58296	24235	214475	110000	50148	146775	39012	0	0	36716	110524	50079	17156	13319	26017	13937	5023	63242	578398	0	0	
5331	17939	16	474	42487	0	67629	0	0	4970	0	4970	0	155012	0	0	28580	0	52148	56345	7656	43021	23955	4970	0	12856	30165	7945	1182	12088	11867	4306	319	67139	155012	0	0	
5461	149708	70	6866	37398	0	42458	0	0	35000	0	35000	0	309882	0	0	33616	6866	50966	75591	5429	48587	30501	35000	0	40348	8239	1364	1015	13758	16743	1523	1592	35442	309882	80	0	
5751	4255	16	944	5662	0	14959	0	0	0	0	0	0	69316	0	29306	10865	30205	11896	42300	4540	9349	8052	0	0	2858	6491	2037	510	4201	3851	2705	108	13999	40010	0	0	
6039	5999	0	3265	11281	0	21066	0	0	0	0	0	0	55275	0	4355	17943	7290	28645	2688	8323	23280	12343	0	0	7920	15360	5348	17	2015	10328	5600	0	17618	50914	183	6	
6057	627	0	514	1777	0	3322	0	0	0	0	0	0	11392	0	1811	1143	1342	8783	839	580	6863	917	0	0	2624	4239	1124	796	200	717	226	0	2808	9581	0	0	
6141	1281	7	1133	10133	0	16537	0	0	0	0	0	0	15051	0	1761	6786	1497	6380	604	1043	3315	5402	0	0	2201	3114	791	274	1770	3632	367	1017	15397	13290	0	0	
6329	12633	49	11977	58942	0	94248	0	0	0	15000	15000	0	201875	49	10049	99924	17141	65755	23563	11712	62122	76855	0	15000	28686	33437	3001	631	34891	41964	19696	3373	82222	191777	0	0	
6972	57685	33	3803	57958	0	87403	0	0	0	102142	102142	0	651886	92	19554	149638	16819	86119	358444	29012	70251	141679	0	102142	39051	35840	8141	3086	124645	18235	6101	657	83465	631790	102	450	
7009	0	27	4	46634	0	46634	0	0	0	0	0	0	271023	0	0	0	0	0	271023	136	0	0	0	0	0	0	0	0	0	0	0	0	46603	271023	0	0	
7045	8911	0	26308	13952	0	49670	0	0	0	0	0	0	57464	0	7241	8801	0	25459	14293	5017	19827	6735	0	0	5331	14496	4366	1266	958	5777	1665	401	23362	50223	0	0	
7157	2142	0	211	4391	0	6830	0	0	0	0	0	0	23351	10	1599	4365	1386	11772	5072	2400	9813	3948	0	0	4178	5635	1948	11	2632	1316	417	0	6619	21742	0	0	
7456	5372	8	3282	6622	0	12921	0	0	0	0	0	0	23674	0	1406	3087	4688	15215	0	1919	12225	2867	0	0	4270	7955	2981	8	894	1973	220	0	9628	22268	3	0	
7634	3434	0	372	6765	0	9897	0	0	1683	9544	11227	0	39773	0	345	21286	282	14236	817	2130	12014	19154	990	9234	4292	7722	1686	536	3632	15522	1721	411	9525	39428	0	0	
8033	7494	0	923	16355	0	22976	0	0	0	0	0	0	39143	0	2891	11889	2051	19197	563	1763	16069	10614	0	0	4627	11469	2685	416	4969	5645	974	301	22053	36252	0	0	
8462	113	40	1323	20670	0	37971	0	0	0	0	0	0	38194	0	6869	21765	7692	12125	4191	2401	11023	21765	0	0	7228	4375	522	0	11533	10232	0	0	36608	31325	0	0	
8631	8467	0	1429	9146	0	15592	0	0	0	0	0	0	28503	0	230	3981	1309	13076	2979	2794	11464	3583	0	0	3505	7959	1039	573	924	2659	100	298	14163	28273	0	0	
9357	98333	211	0	19266	0	22730	0	0	0	0	0	0	269495	9605	0	5917	0	1842	163403	1552	1308	5916	0	0	1505	331	6	0	4597	1320	0	0	22519	259890	0	0	
9553	0	31	1045	9457	0	17276	0	0	0	0	0	0	34642	0	2991	9536	3034	21863	3243	6527	19524	8790	0	0	10786	8738	2336	3	3570	5220	746	0	16200	31651	0	0	
9807	352966	61	7836	62799	0	98155	0	0	406517	0	406517	0	1980024	0	330403	255913	333989	415647	955498	81286	358269	249976	406517	0	55536	302733	57089	289	181057	68919	5711	226	90258	1649621	0	0	
9955	5701	5	1890	11623	0	26314	0	0	0	0	0	0	45075	1	16959	12026	17447	15485	11863	2179	12751	11902	0	0	3750	9001	2145	589	7133	4769	124	0	24419	28115	0	0	
10157	4630	0	985	8696	0	13842	0	0	6050	0	6050	0	37257	0	9062	8966	9124	19037	4624	1737	15492	8658	6050	0	5625	10067	2989	356	7021	1637	308	0	12857	22145	0	6050	
10250	60429	17	2030	17517	0	30047	0	0	19704	0	43457	0	324688	0	40585	96916	14841	120853	46490	40385	91307	73862	18132	19890	22333	68974	24946	4600	10516	63614	17882	4904	28000	278312	0	5791	
10849	48800	59	2198	6753	0	12135	0	0	0	0	0	0	215252	0	42400	67574	40618	73165	25713	6164	67464	65948	0	0	22586	46559	3866	154	24793	41155	1521	105	9875	172852	3	0	
10858	99567	74	4650	10564	0	16960	0	0	0	0	0	0	324842	0	25888	75816	28843	130441	19018	10692	103156	64815	0	0	22205	80951	25592	1693	24006	40809	10391	610	12236	291454	0	7500	
