"IDRSSD"	RCFDF066	RCFDF067	RCFDF068	RCFDF069	RCFDF070	RCFDF071	RCFDF072	RCFDF073	RCONF066	RCONF067	RCONF068	RCONF069	RCONF070	RCONF071	RCONF072	RCONF073	
	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	
37																	
242																	
279																	
354																	
439																	
457																	
505																	
1146																	
1155																	
1351																	
1454																	
1557																	
1632																	
1669																	
1829																	
1856																	
2040																	
2161																	
2376									0	0	0	0	0	0	0	0	
2451																	
2554																	
2732																	
2750																	
2938																	
3252																	
3458																	
3506									5247	0	1504	0	6751	0	0	0	
3720																	
3953																	
4138																	
4156																	
4231																	
4437																	
4839																	
5005																	
5069																	
5135																	
5210																	
5331																	
5461																	
5751																	
6039																	
6057																	
6141																	
6329																	
6972									84847	10770	0	0	95044	11220	12434	3204	
7009																	
7045																	
7157																	
7456																	
7634																	
8033																	
8462																	
8631																	
9357																	
9553																	
9807									0	0	0	0	0	0	0	0	
9955																	
10157																	
10250																	
10849																	
10858																	
11145																	
11640																	
11837																	
12030																	
12058																	
12142																	
12245																	
12311	294492	0	155505	0	472646	0	226156	0	294492	0	155505	0	472646	0	226156	0	
12647																	
12656																	
12937																	
12946																	
12955																	
13037																	
13103																	
13251																	
13457																	
14052																	
14155																	
14258									0	0	34994	228	35568	170	8179	58	
14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14454																	
14650																	
14753																	
14865																	
15536									15593	0	0	0	15012	70	3816	110	
16337																	
16458																	
16551																	
16748																	
16944																	
16953																	
17110																	
17147									7507	87			7507	87	842		
17259																	
17464									42734	104	0	0	36763	49	2972	55	
17839																	
17950																	
18050																	
18135																	
18377																	
18827																	
18836																	
18854																	
18957																	
19356																	
19730									0	0	796	46	779	0	248	46	
19936																	
19972																	
20053																	
20147																	
20259																	
20370																	
20512																	
20633																	
20839																	
20857																	
20866																	
21256																	
21359																	
21630																	
21658																	
22048																	
22235																	
22356																	
22459																	
22543																	
22552																	
22730																	
22936																	
22954																	
23036																	
23045																	
23241									13993	0	0	0	13628	0	1764	0	
23456																	
23504																	
23540																	
23643																	
23755																	
23812																	
24006																	
24266									25328	0	0	0	25162	0	12840	0	
24453																	
24659																	
24668																	
24855																	
24949																	
25357																	
25647																	
25852																	
26149																	
26233																	
26242																	
26457																	
26765																	
26859																	
26916																	
27548									16385	0	0	0	15758	0	2408	0	
27614																	
27838																	
27847																	
28013									907	0	0	0	782	0	125	0	
28152																	
28255																	
28349																	
28406																	
28572																	
28732																	
29104									2779	500	0	0	1948	250	1285	250	
29252																	
29636																	
29850																	
29944																	
29953																	
30052																	
30155																	
30258																	
30418																	
30502																	
30650																	
30810									0	0	10855	5870	10855	7270	0	483	
30856																	
31134																	
31255																	
31657																	
31826																	
31835																	
32159																	
32234																	
32766																	
33147																	
33259																	
33268																	
33549																	
33727																	
33754																	
33772									0	0	0	0	0	0	0	0	
33839																	
33857																	
34153																	
34359																	
34425									0	0	0	0	0	0	0	0	
34434																	
34452																	
34537									15544	0	0	0	13319	0	4784	0	
34555																	
34742																	
34836																	
34863																	
35057																	
35244																	
35301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35570									11639	0	0	0	10464	0	3589	0	
35646																	
35842																	
35936																	
36054									9782	150	7636	700	16990	1094	4523	304	
36344																	
36456																	
36858																	
36933																	
37051																	
37341																	
37350																	
37378																	
37435									0	0	0	0	0	0	0	0	
37640									12227	0	0	0	13277	0	1601	0	
37659																	
37743																	
37949																	
38526																	
38535																	
38740																	
39327																	
39420																	
39475									23494	85	0	0	31020	232	2913	0	
39756																	
39934																	
40033																	
40305	47289	29	1974	0	53355	29	8937	0	47289	29	1974	0	53355	29	8937	0	
40350																	
40707																	
40855																	
41245																	
41553																	
41629																	
41647									15900	0	0	0	16994	0	1347	0	
41759																	
41825																	
41937																	
41955																	
42037																	
42055																	
42354																	
42420									0	0	0	0	0	0	0	0	
42448																	
42457																	
43052																	
43155																	
43173	778	29	0	0	1502	73	307	0	778	29	0	0	1502	73	307	0	
