"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	NET CHANGE FAIR VAL UNDR FAIR VAL OP	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	2	0	13	6	2	10	3	3	20	6	5	0	0	0	0	0	0	0	0	0	0	false	9	0	0	2	0	3	0	40	18	0	exchange	clearing house fees	software lic fees	examination fees (internal audits)	clearing house fees	software license fees											
242	0	0	0	0	0	0	0	0	6	5	5	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	5	1	0	0	0				ACCOUNTING AND AUDITING	CORRESPONDENT BANK CHARGES	OBRE ASSESSMENTS											
279	11	1	25	26	2	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	false	14	0	0	1	0	2	22	56	13	0				Audit Expenses													
354	2	0	3	2	0	0	0	0	2	3	5	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	0	0	0	9	2	0				Debit Card Exp	Mics.	Audits											
439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
457	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	5	0	0	0	5	0																	
505	53	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	170	0	0	DEBIT CARD INTERCHANGE INCOME																
1146	141	0	0	0	0	402	2193	0	116	154	0	0	0	0	0	0	0	0	0	-6	0	false	0	0	0	0	0	0	0	235	0	0	VISA/MC INCOME	TITLE INCOME		CREDIT CARD EXPENSE	M&A EXPENSE							YTD CHANGE IN ALLL PRIOR TO PUSH-DOWN ACCOUNTING ACQUISITION					
1155	85	0	37	6	4	15	0	0	21	0	0	0	0	0	0	0	0	1000	0	0	0	false	21	0	0	6	32	4	36	78	27	0	Exchange			Macha & Bk Service Charges						Capital injection from parent holding company to paid-in-surplus.							
1351	4	0	9	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	12	0	0	0	0	5	12	0	7	0																	
1454	202	0	0	0	0	144	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	false	85	0	0	0	0	0	0	79	110	0	VISA DEBIT CARD INCOME			VISA DEBIT CARD EXPENSE													
1557	0	0	6	0	0	0	0	0	6	6	11	0	0	0	0	0	0	0	0	0	0	false	7	0	0	0	0	0	0	0	0	0				INSURANCE   SURETY	CONSULTING FEES	MAINTENANCE CONTRACT											
1632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	450	0	0																	
1669	10	0	8	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	23	0	0	2	62	17	19	127	34	0																	
1829	0	0	0	0	0	0	0	0	78	110	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	157	0	0				ATM/Debit Card Network expenses	PA Shares Tax												
1856	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	3	0	0	0	0	2	5	0	3	0																	
2040	31	0	20	19	4	14	83	3	63	21	0	0	0	0	0	0	0	500	0	0	0	false	13	0	0	3	12	4	7	67	8	0	Debit Card Fees	Sale of Bank Owned Real Estate	Commercial Internet Fees & Wires	Advisory / Auditing	ATM / Debit Card Expense					Downstreamed Money from Holding Co. to Bank Capital							
2161	0	0	0	0	0	19	0	0	22	27	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	24	0	0	63	19	0	VISA-MC FEE			Deferred Compensation Plan Expense	Stock Plan Expense												
2376	112	166	145	8	23	411	28	0	50	77	1000	0	0	0	0	0	0	59728	-15590	0	0	false	34	0	0	0	246	6	51	251	55	0	RE Jt Venture income	Debit card interchange		Insurance prem	Audit	Charitable contributions				Additional capital contribution	ESOP transactions						
2451	2	0	2	2	1	1	4	1	4	4	4	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	0	1	0	30	3	0	Debit Card - Income	Credit Life Premium	Misc Income	Audit/Accounting Fees	Education, Meetings	SBA Guarantee Loan Fees											
2554	0	0	3	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	0	1	0	3	1	0				Accounting	Examinations												
2732	23	0	71	35	24	30	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	false	48	0	0	0	0	19	15	198	40	0	Student Loan License fee			OCC semin ann assessment													
2750	12	0	0	10	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	18	0	0	23	0	0				LENDING EXPENSES													
2938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	371	0	0																	
3252	0	0	0	0	0	0	0	0	23	29	0	0	0	0	0	0	0	-880	0	0	0	false	0	0	0	0	0	0	0	0	0	0				Computer Expense- In House	Repo Exp					Redemption of Stock							
3458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	-17	0	0	0	0	0	6	0	0															Year-End Tax Adjustment		
3720	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	76	0	0																	
3953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
4138	0	0	36	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	35	0	30	0				AUDIT													
4156	29	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	false	7	0	0	5	29	24	9	74	18	0												Reverse Entry Error					
4231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	46	0	0																	
4437	0	0	0	69	0	56	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	152	0	0	Origination fees - secondary market loans	Interchange fees from debit card program															
4839	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	125	0	0				Exam Audit													
5005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	73	0	0	111	0	0																	
5069	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
5135	12	3	13	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	21	0	0	1	25	14	39	252	29	0																	
5210	255	0	0	0	0	191	0	0	182	174	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	217	0	0	0	0	0	visa dr card fee income			pa shares tax	professional services												
5331	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	147	0	0				EXAM AND AUDIT FEES													
5461	0	0	0	0	0	0	0	0	81	89	113	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	97	82	0				INSURANCE EXPENSE	TRANSPORTATION	COURIER & COMMUNICATION											
5751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	23	0	0	33	0	0																	
6039	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	57	0	0																	
6057	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	0	2	0	0	1	12	3	0																	
6141	3	0	11	0	10	3	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	false	9	0	0	2	0	6	0	26	12	0	fees and commissions			other fees and commissions													
6329	78	0	12	88	18	100	93	72	132	38	0	0	0	0	0	0	0	0	0	0	0	false	64	0	0	0	31	9	45	0	116	0	EXCHANGE	YIELD SPREAD PREMIUM	LOANS SERVICE CHARGE - ORIGINATION FEE	TELEPHONE	SERVICE FEE ANAYLSIS												
6972	0	0	0	0	0	340	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	Broker Loan Fee Income			Deposit Servicing													
