"IDRSSD"	RCONF066	RCONF067	RCONF068	RCONF069	RCONF070	RCONF071	RCONF072	RCONF073	RIADF184	
	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	NONINT INC FOR QTR FROM SALE 1-4 MTG	
37										
242										
279										
354										
457										
505										
1155										
1351										
1454										
1557										
1632										
1669										
1829										
1856										
2040										
2161										
2376	0	0	0	0	0	0	0	0	0	
2451										
2554										
2732										
2750										
2938										
3252										
3458										
3720										
3953										
4138										
4156										
4231										
4437										
4839										
5005										
5069										
5135										
5210										
5331										
5461										
5751										
6039										
6057										
6141										
6329										
6972	0	0	13858	250	12257	334	2919	0	123	
7009										
7045										
7157										
7456										
7634										
8033										
8462										
8631										
9357										
9553										
9807	0	0	0	0	0	0	0	0	86	
9955										
10157	0	0	0	0	0	0	0	0	0	
10250										
10849										
10858										
11145										
11640										
11837										
12030										
12058										
12142										
12245										
12311	449047	0	285162	0	731296	0	379365	0	5309	
12647										
12656										
12937										
12946										
12955										
13037										
13103	5135	0	0	0	3968	0	1167	0	14	
13251										
13457										
14052										
14155										
14258	0	0	28976	122	36362	459	3068	0	237	
14454										
14650										
14753										
14865										
15536	18349	96	0	0	21912	38	3959	96	34	
16337										
16458										
16551										
16748										
16944										
16953										
17110										
17147	16915	99	0	0	17040	99	1339	0	305	
17259										
17464	33303	121	0	0	34853	121	1748	0	0	
17839										
17950										
18050										
18135										
18377										
18827	0	0	0	0	0	0	0	0	0	
18836										
18854										
18957										
19356										
19730	0	0	7993	317	7895	317	158	0	49	
19936										
19972										
20053										
20147	0	0	0	0	0	0	0	0	0	
20259	0	0	0	0	0	0	0	0	0	
20370										
20512										
20633										
20839										
20857										
20866										
21256										
21359										
21630										
21658										
22048										
22235										
22356										
22459										
22543										
22552										
22730										
22936										
22954										
23036										
23045										
23241	25546	0	0	0	24271	0	6711	0	157	
23456										
23504										
23540										
23643										
23755										
23812										
24006										
24453										
24659										
24668										
24855										
24949										
25357										
25647										
25852	16195	432	0	0	20699	432	1353	0	342	
26149										
26242										
26457										
26765										
26859										
26916										
27548	12583	0	0	0	13999	0	1088	0	97	
27614										
27838										
27847										
28013	1560	0	0	0	1559	0	470	0	0	
28152										
28255										
28349										
28406										
28572										
28732										
29104	0	42	0	0	306	42	0	0	0	
29252										
29636										
29850										
29944										
29953										
30052										
30155										
30258	15000	0	0	0	18603	0	2893	0	234	
30418										
30502										
30650										
30810	0	0	10027	6032	10027	6429	0	745	45	
30856										
31134										
31255										
31657										
31826										
31835										
32159										
32234										
32766										
33147										
33259	0	0	0	0	0	0	0	0	0	
33268										
33549										
33727										
33754										
33839										
33857										
34153										
34359										
34425	0	0	0	0	0	0	0	0	0	
34434										
34452										
34537	9426	0	0	0	10990	0	1163	0	190	
34555										
34742	0	0	8575	0	9293	0	2071	0	0	
34836										
34863										
35057										
35244	0	0	0	0	0	0	0	0	0	
35301	0	0	0	0	0	0	0	0	0	
35570	16168	45	0	0	10961	0	8617	45	81	
35646										
35842										
35936										
36054	7752	58	7478	231	14237	446	3727	47	205	
36344										
36456										
36858	28513	12536	0	0	30283	16394	6247	1278	757	
36933										
37051										
37341										
37350										
37378										
37435										
37640	19690	0	0	0	17624	0	4562	0	212	
37659										
37743										
37949										
38526										
38535	0	0	0	0	0	0	0	0	0	
38740										
39327										
39420	0	0	0	0	0	0	0	0	0	
39475	47177	144	0	0	49335	413	9909	715	940	
39756										
40033										
40305	43079	0	320	0	53131	73	6598	0	1417	
40350										
40707										
40855										
41245										
41553										
41629										
41647	14368	0	0	0	13877	0	1222	0	237	
41759										
41825										
41937										
41955										
42037										
42055										
42354										
42420	0	0	0	0	0	0	0	0	13	
42448										
42457										
43052										
43155										
43173	265	12	0	0	9	0	377	12	0	
43351										
43454										
43511	12709	291	0	0	13557	406	531	0	315	
43641										
43744										
43856										
43959										
44040										
44134	312549	275	3300	0	340417	106	163531	600	2341	
44433										
44602	205	0	0	0	678	0	0	0	505	
44741										
44750										
44929										
45038										
45047										
45056										
45430										
45458										
45551										
45560										
45627	99684	0	0	0	63282	0	10362	0	1035	
45775										
46053										
46941										
47153										
47247										
47256										
47452										
47500										
48057										
48150										
48374	22602	555	0	0	26341	585	2872	47	474	
48440										
48552										
48730										
49054										
49148										
49241										
49344										
49643										
49652										
49821										
49858										
49951										
50144										
50461										
50546										
50854										
50957										
51253										
51356										
51459										
51730										
51842										
52410										
52456										
52719	0	0	0	0	0	0	0	0	0	
52951										
53015										
53033	0	0	0	0	0	0	0	0	0	
53051										
53239										
53453										
53752										
54049										
54058										
54357										
54375										
54441										
54656										
55176										
55251										
55336										
55635										
55653										
56230										
56258										
56351	0	0	0	0	0	0	0	0	0	
56427										
56548										
56557	0	0	0	0	0	0	0	0	0	
56717										
57040										
57228										
57255										
57451										
57572										
57956										
58074										
58207										
58225										
58243	121616	0	0	0	128689	0	20274	0	1600	
58355										
58551										
58636										
58757										
58971	18630	0	0	0	18100	0	2039	0	179	
59316										
59352										
59679										
59754										
60143	23436	0	0	0	25318	0	1769	0	428	
60330										
60433										
60545										
60554										
60648										
61122	95	0	0	0	455	0	217	0	0	
61355	14400	0	0	0	13542	0	3067	0	347	
61476										
61533										
61757										
61832										
61953										
62044										
62147										
63050										
63069	0	0	0	0	0	0	0	0	0	
63078										
63201										
63359										
63573										
63733										
63742										
63751										
64150										
64543										
64552										
64619	120441	2829	0	0	135901	3002	28624	2100	0	
64730										
65205										
65241										
65513										
65559										
65746	8390	118	0	0	7441	118	1736	0	115	
65858	0	0	3737	0	3400	0	336	0	68	
66015										
66154										
66172										
66275										
66837										
66846										
67142										
67151										
67209										
67254										
67311	60565	0	0	0	66019	0	14632	0	1359	
68345										
68448										
68756										
68831										
68840	0	0	0	0	0	0	0	0	0	
68859										
68943										
69333	13078	0	0	0	14555	0	3217	0	0	
69678										
69847										
70049										
70058										
70076										
70151										
70218										
70254										
70414										
70638										
70955										
71318										
71457										
71859										
72258										
72351										
72454										
72678										
73031										
73116										
73152										
73554										
73956										
74056										
74140										
74159										
74337										
74403										
74449										
74458										
75053										
75259										
75446										
75455										
75558										
75633	117465	0	2687	0	123169	0	50279	0	2009	
75651										
76050										
76135										
76153										
76443										
76854										
77150										
77253										
77347										
77422										
77758										
77851										
78036										
78157										
78241										
78559										
78643										
78858										
79042										
79127										
79145										
79257										
79855										
80020										
80150										
80431										
80552										
80936										
81429										
82033										
82257										
82350										
82659										
83151										
83236	0	0	0	0	0	0	0	0	0	
83311	0	0	0	0	0	0	264	0	0	
83357										
83450	2127	1151	0	0	0	0	2127	1151	0	
83638	169	0	0	0	439	0	0	0	0	
83834										
83852										
83955										
84046										
84055										
84251										
84345										
84541										
84804										
85043										
85052										
85258										
85454										
85856										
85931										
86349										
86358										
86527	16382	0	0	0	16382	0	0	0	0	
86554										
87047										
87159										
87234										
87476										
87533										
88240										
88259										
88352										
88455										
88530	0	0	0	0	0	0	0	0	0	
88950										
89032										
89135										
89162										
89452										
89751										
89854										
89957										
90047										
90328										
90337										
90467										
90645										
90739										
91147										
91156										
91259										
91615										
91651										
91754										
91950										
91969										
92050										
92144										
92630	0	0	0	0	0	0	0	0	0	
92706										
92854										
92902										
93244										
93413										
93543										
93619										
93721	86077	603	0	0	98133	829	22839	36	525	
93758										
94139										
94456										
94522										
94755										
94858										
95051										
95659										
96254										
96357										
96553										
97055										
97279										
97457										
97804										
97943										
98351										
98454										
98463										
98548										
98557										
98641										
98717										
99004										
99059										
99143										
99255										
99442										
99536										
99853										
99974										
100236										
100357										
100553										
100562	12950	0	0	0	12950	0	0	0	315	
100843										
101019	0	0	0	0	0	0	0	0	0	
101037										
101233	13992	0	0	0	12715	0	2939	0	263	
101345										
101439										
101671										
101738										
101952										
102155										
102333										
102342										
102539										
102557										
103134										
103255	0	0	0	0	0	0	0	0	0	
103536										
103554										
103563										
103602										
