"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	RIADF465	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	NET CHANGE FAIR VAL UNDR FAIR VAL OP	RESTATMENTS DUE TO CORRECTIONS 1ST	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	7	0	40	21	6	11	10	7	60	17	19	0	0	0	0	0	0	0	0	0	0	false	24	0	6	0	10	0	105	53	0	0	exchange	network fees	cd penalty on early w/d	auditors fees	clearing house fees	telephone										
242	0	0	46	0	0	0	0	0	12	15	11	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	6	4	0	0	0	0				ACCOUNTING AND AUDITING	CORRESPONDENT BANK CHARGES	OBRE ASSESSMENTS										
279	35	2	78	80	7	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	false	41	0	20	0	4	72	180	56	0	0				AUDITING EXPENSES												
354	6	0	8	0	1	0	0	0	29	11	7	0	0	0	0	0	0	0	0	0	0	false	3	0	0	0	1	0	37	3	0	0				Misc	Insurance	Debit Card Exp										
457	22	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	15	0	0	0	17	0	0																
505	183	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	498	0	0	0	Debit card interchange income															
1155	279	0	109	16	12	39	0	0	66	0	0	0	0	0	0	0	0	1000	0	0	0	false	63	0	17	112	13	116	220	62	0	0	Exchange			Macha & Bank Service Charges						Capital Injection From Parent Holding Company to Paid-In-Surplus						
1351	16	0	27	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	33	0	0	0	8	38	0	19	0	0																
1454	528	0	0	0	0	484	0	0	345	0	0	0	0	0	0	0	0	0	0	0	0	false	231	0	0	0	0	0	212	316	0	0	VISA DEBIT CARD INCOME			VISA DEBIT CARD EXPENSE												
