"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37																																					0	1669	0	0	23975	0	582	0	1206	80268	63839	374	64213	0	1154	0	0	0	16055	1200	80268	0	0	11165	0	3500	0	14004	49835	1	0	45413	44259	190	8577	0	0	0	
242																																					200	960	0	0	8559	0	253	0	464	33802	26013	75	29698	0	171	0	3500	0	4104	120	33802	0	0	3723	0	120	0	5074	20939	4	0	19920	19749	141	3617	0	0	110	
279																																					384	3217	77	38151	33851	257	4082	507	2238	141386	90472	446	120128	0	344	0	29210	0	21258	1	141386	0	0	21073	0	0	0	5978	84495	1	0	58291	57947	184	675	0	0	0	
354																																					0	34	0	0	3438	0	82	0	135	8244	7205	37	7242	0	213	0	0	0	1003	25	8245	0	0	448	0	500	0	1705	5500	4	0	4311	4098	30	457	0	0	0	
457																																					22	996	0	330	1172	0	79	123	1078	30175	25624	223	27136	0	269	0	0	0	3039	60	30175	0	0	536	0	2440	0	3186	22438	4	0	26644	26375	3	0	0	1289	0	
505																																					526	5150	28	0	67331	0	4172	157	7019	343335	263420	2583	316503	53	3007	1595	50500	0	26779	6480	343335	0	0	9272	0	10653	0	41396	222024	2	0	259064	256057	374	1300	0	0	0	
1155																																					10119	4502	0	2248	36171	0	4892	0	6136	187490	138040	1768	171424	0	1743	0	3000	0	16066	1600	187490	0	0	9225	0	4400	46	14175	123865	5	0	125119	123376	841	0	0	0	28616	
1351																																					0	2033	0	48639	3089	0	1008	180	1574	124920	107258	861	108119	0	1130	0	0	0	16801	240	124920	0	0	15942	0	530	0	10297	96961	9	0	62344	61214	89	7183	0	0	0	
1454																																					519	31255	32	0	142486	0	4245	0	8665	418277	379690	901	380591	0	2084	0	0	0	37686	1000	418277	0	0	34307	0	1214	289	112934	266756	2	0	207570	205486	1165	25300	0	0	0	
