"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIREMT DEP ACCTS $250,000 OR L	NMBR RETIREMT DEP ACCTS $250,000 OR 	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIREMT DEP ACCTS MOR THAN $250	AMT OF DEPOSIT ACCOUNTS $100,000 OR 	NBR OF OTH DEP ACCTS OF $100,000 OR 	AMT OF OTH DEP ACCTS MORE THAN $100,	NBR OF DEP ACCTS OF MOR THN $100,000	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	PB/PSA FDIC CERTIFICATE NUMBER	
37								0	3840		0	0	47592		12649	82	64081	0				
242								0	1279		0	0	19545		5264	33	26088	0				
279								0	10421		415	1	62730		17096	124	90662	0				
354								0	0		0	0	5767		1475	9	7242	0				
457								0	837		0	0	17610		7257	40	25704	0				
505								0	6990		297	1	140280		116719	400	264286	0				
1155								0	10790		338	1	85839		41559	158	138526	0	132969	0		
1351								0	6384		585	1	37358		63601	265	107928	0				
1454								0	17876		0	0	203027		159192	526	380095	0				
1557								0	1892		0	0	19720		9918	47	31530	0				
1632								0	23746		5763	13	301437		214003	857	544949	0	538580	0		
1669								0	11220		0	0	115178		78572	204	204970	0				
1829								0	19000		4006	7	179684		82936	362	285626	0				
1856								0	15		0	0	85527		28944	63	114486	0				
2040								0	8956		0	0	99564		50236	153	158756	0	137236	1		
2161								0	6565		323	1	46911		41599	194	95398	0				
2376							65000	0	48443		0	0	493054		171141	1062	712638	0	700602	0		
2451								0	536		0	0	12237		11061	37	23834	0				
2554								0	0		0	0	5136		1643	9	6779	0				
2732								0	9573		547	1	136330		293315	635	439765	0				
2750								0	1900		0	0	23556		13396	67	38852	0				
2938								0	6750		917	3	153258		148779	416	309704	0	312807	0		
3252								0	5327		0	0	36508		69278	138	111114	0				
3458								0	470		0	0	13782		9229	43	23481	0				
3720								0	4755		594	2	96103		43016	229	144468	0				
3953								0	318		0	0	53196		43963	225	97477	0				
4138								0	9889		798	3	104385		56688	327	171760	0				
4156								0	5665		252	1	71005		58430	159	135352	0				
4231								0	11055		4509	12	52637		42202	168	110403	0				
4437								0	8467		270	1	117827		60010	332	186574	0				
4839								0	11737		2694	3	108249		89733	361	212472	59				
5005								0	17352		295	1	190649		106843	586	315139	0				
5069								0	521		0	0	119591		136421	415	256533	0				
5135								0	10764		608	2	98370		124174	316	233916	0				
5210								0	52469		1148	4	500694		142620	725	696931	0				
5331								0	7889		0	0	128512		85238	388	221639	0				
5461								0	5041		0	0	111510		229991	691	346542	0				
5751								0	4980		0	0	32087		49213	129	86280	0				
6039								0	7629		929	3	44109		22424	75	75091	0				
6141								0	941		0	0	19925		16872	53	37738	0				
6329								0	10922		1860	5	182462		165742	730	360986	0				
6972								0	27395		257	1	311993		333424	912	673069	0				
7009								0	1003		1932	4	48001		490407	771	541343	0				
7045								0	4342		638	2	52474		46297	122	103751	0				
7157								0	2420		0	0	21649		10181	39	34250	0				
7456								0	2135		0	0	28302		13958	58	44395	0				
7634								0	2586		412	1	32898		30074	78	65970	0				
8033								0	2283		0	0	54213		31057	106	87555	0				
8462								0	2702		0	0	31292		61483	178	95477	0				
8631								0	2779		0	0	28670		19354	85	50803	0				
9357								0	1146		340	1	39634		207178	428	248298	0				
9553								0	7168		329	1	36538		18795	91	62830	0				
9807							507390	0	76174		6107	16	913615		926791	3192	1922687	0	1880154	0		
9955								0	1944		0	0	44735		23608	78	70287	0				
10157								0	1821		0	0	31813		17635	69	51269	0				
10250								0	39471		4864	12	199291		151226	450	394852	0				
10849								0	7897		0	0	133267		122653	543	263817	0				
10858								0	9672		373	1	207146		128282	536	345473	0				
11145								0	5230		1394	3	74562		54703	171	135889	0				
11640								0	9624		1405	4	90303		130539	318	231871	0				
11837								0	4310		0	0	42973		41468	120	88751	0				
12030								0	21298		1609	5	181735		102182	471	306824	0				
12058								0	4784		638	1	55622		23637	95	84681	0				
12142								0	7224		0	0	65820		74355	239	147399	0				
12245								0	4859		409	1	52951		30755	144	88974	0				
12311	39766847	2602451	42772396	5755901	2602451	5755901	11639202	0	1230102		35807	96	20235760		15662727	38841						
