"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2344	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON2604	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA242	RCONA243	RCONA244	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	BROKERED DEPS/PARTICIPATNS LE 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	TIME DEPOSITS GE 100000	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	TIME DEPS GE 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	BROKERED DEPS GE 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	
37	5551	3	1565	6611	0	12800	0	0	0	0	0	0	50270	0	833	13475		29033	2211	4023	15065	10217	0	0	3693	11372	8171	5797	3814	6403	2348	909	11232	49437	0	0	259	
242	3136	0	90	5339	0	10005	0	0	0	0	0	0	16689	0	2294	2554		7611	3388	1404	5714	1684	0	0	2132	3582	1502	395	1001	683	524	346	9915	14395	0	0	0	
279	12200	0	0	6653	0	16962	0	0	0	0	0	0	75114	0	0	22885		38638	1389	11099	28724	16137	0	0	10534	18190	8372	1542	5599	10538	5477	1271	16962	75114	0	0	3332	
354	1021	0	74	1755	0	1755	0	0	0	0	0	0	5308	0	1309	300		3012	975	0	3012	300	0	0	984	2028	0	0	100	200	0	0	1681	3999	0	0	0	
457	3049	0	292	3382	0	5504	0	0	99	0	99	0	19979	0	1562	2210		9640	5080	875	8397	2110	99	0	2331	6066	1145	98	1039	1071	100	0	5212	18318	0	99	0	
505	103992	10	3400	14693	0	22004	0	0	0	0	0	0	223398	0	37707	29195		46428	43783	6995	39502	26610	0	0	7881	31621	5661	1265	9253	17357	1885	700	18594	185691	0	0	1115	
1155	343	4	1484	13109	0	48566	0	0	0	0	0	0	88181	0	6343	27953		49626	10259	10939	29460	17242	0	0	21781	15393	9531	2921	13480	8189	4466	1818	47027	81838	51	0	3831	
1351	3912	10	6105	11731	0	22686	0	0	0	0	0	0	87122	0	2780	21827		41782	19603	7323	28566	11447	0	0	8469	20097	13216	0	4135	7312	10380	0	16571	84342	0	0	2614	
1454	1360	154	7493	113542	0	185717	0	0	0	0	0	0	204523	12	14017	45233		57526	100404	18252	41738	16504	0	0	24201	20142	10800	2383	28080	9561	5625	1967	178070	190494	0	0	3392	
1557	2589	0	961	6409	0	10013	0	0	0	0	0	0	21720	0	3258	6031		11406	1694	1919	8995	5728	0	0	3908	5087	2072	339	3936	1792	303	0	9052	18412	0	50	132	
1632	7826	22	342	19778	0	35281	0	0	44936	0	44936	0	516981	0	16137	129128		160994	219033	30117	152460	118302	44936	0	48972	103488	7853	681	29500	88802	9962	864	34917	500844	0	0	14983	
1669	80640	11	2288	13833	0	13833	0	0	0	0	0	0	187539	0	15889	38120		55958	12820	11166	45984	32867	0	0	19899	27321	5489	3249	7776	25204	3583	1557	11316	171650	218	0	0	
1829	39525	19	592	55248	0	73977	0	0	0	0	0	0	212991	0	15577	45251		90298	37917	22407	54635	31657	0	0	23856	30779	30078	5585	18533	13124	11675	1919	73366	197414	0	0	7431	
1856	903	0	594	2578	0	4257	0	0	116284	0	116284	0	163407	0	24050	26635		134210	1659	3	48435	26072	45377	0	37662	10773	29572	56203	22606	3466	563	0	3663	125357	0	14000	0	
