"IDRSSD"	RCFDF240	RCFDF241	RCFDF242	RCFDF243	RCFDF244	RCFDF245	RCFDF246	RCFDF247	RCFDF248	RCFDF249	RCFDF250	RCFDF251	RCFDF252	RCFDF253	RCFDF254	RCFDF255	RCFDF256	RCFDF257	RCFDF258	RCFDF259	RCFDF260	RCFDF261	RCFDF262	RCFDF263	RCFDF682	RCFDF683	RCFDF684	RCFDF685	RCFDF686	RCFDF687	RCFDF688	RCFDF689	RCFDF690	RCFDF691	RCFDF692	RCFDF693	RCFDF694	RCFDF695	RCFDF696	RCFDF697	RCONF240	RCONF241	RCONF242	RCONF243	RCONF244	RCONF245	RCONF246	RCONF247	RCONF248	RCONF249	RCONF250	RCONF251	RCONF252	RCONF253	RCONF254	RCONF255	RCONF256	RCONF257	RCONF258	RCONF259	RCONF260	RCONF261	RCONF262	RCONF263	RCONF682	RCONF683	RCONF684	RCONF685	RCONF686	RCONF687	RCONF688	RCONF689	RCONF690	RCONF691	RCONF692	RCONF693	RCONF694	RCONF695	RCONF696	RCONF697	
	TOTAL FAIR VAL NONTRADING SECURITIES	LEVEL 2 FV NONTRADING SECURITIES	LEVEL 3 FAIR VALUE NONTRADING SECURI	TOTAL FAIR VAL LOANS & LEASES	LEVEL 2 FAIR VALUE LOANS & LEASES	LEVEL 3 FAIR VALUE LOANS & LEASES	TOTAL FAIR VALUE TRADING ASSETS	LEVEL 2 FAIR VALUE TRADING ASSETS	LEVEL 3 FAIR VALUE TRADING ASSETS	TOTAL FAIR VAL ALL OTHER ASSETS	LEVEL 2 FAIR VALUE ALL OTHER ASSETS	LEVEL 3 FAIR VALUE ALL OTHER ASSETS	TOTAL FAIR VALUE DEPOSITS	LEVEL 2 FAIR VALUE DEPOSITS	LEVEL 3 FAIR VALUE DEPOSITS	TOTAL FAIR VALUE TRADING LIABILITIES	LEVEL 2 FAIR VALUE TRADING LIABILITI	LEVEL 3 FAIR VALUE TRADING LIABILITI	TOTAL FAIR VALUE ALL OTHER LIABILITI	LEVEL 2 FAIR VALUE ALL OTHER LIABILI	LEVEL 3 FAIR VALUE ALL OTHER LIABILI	TOTAL FAIR VALUE LN COMMITMENTS	LEVEL 2 FAIR VALUE LOAN COMMITMENTS	LEVEL 3 FAIR VALUE LOAN COMMITMENTS	AMT DTRM TOT FV RC LN LEASE	AMT DTRM TOT FV RC TRDG ASTS	AMT DTRM TOT FV RC NONTRDG SCTY	AMT DTRM TOT FV RC ALL OTHR	AMT DTRM TOT FV RC FOR DEP	AMT DTRM TOT FV RC TRDG LBLTY	AMT DTRM TOT FV RC ALL OTHR	AMT DTRM TOT FV RC LN CMTMT	LVL 1 FV MSMT LN LEASE	LVL 1 FV MSMT TRDG ASTS	LVL 1 FV MSMT NONTRDG SCTY FV CRNT E	LVL 1 FV MSMT ALL OTHR FNC ASTS	LVL 1 FV MSMT FOR DEP	LVL 1 FV MSMT TRDG LBLTY	LVL 1 FV MSMT ALL OTHR FNC LBLTY	LVL 1 FV MSMT FOR LN CMTMT NT DRVT	TOTAL FAIR VAL NONTRADING SECURITIES	LEVEL 2 FV NONTRADING SECURITIES	LEVEL 3 FAIR VALUE NONTRADING SECURI	TOTAL FAIR VAL LOANS & LEASES	LEVEL 2 FAIR VALUE LOANS & LEASES	LEVEL 3 FAIR VALUE LOANS & LEASES	TOTAL FAIR VALUE TRADING ASSETS	LEVEL 2 FAIR VALUE TRADING ASSETS	LEVEL 3 FAIR VALUE TRADING ASSETS	TOTAL FAIR VAL ALL OTHER ASSETS	LEVEL 2 FAIR VALUE ALL OTHER ASSETS	LEVEL 3 FAIR VALUE ALL OTHER ASSETS	TOTAL FAIR VALUE DEPOSITS	LEVEL 2 FAIR VALUE DEPOSITS	LEVEL 3 FAIR VALUE DEPOSITS	TOTAL FAIR VALUE TRADING LIABILITIES	LEVEL 2 FAIR VALUE TRADING LIABILITI	LEVEL 3 FAIR VALUE TRADING LIABILITI	TOTAL FAIR VALUE ALL OTHER LIABILITI	LEVEL 2 FAIR VALUE ALL OTHER LIABILI	LEVEL 3 FAIR VALUE ALL OTHER LIABILI	TOTAL FAIR VALUE LN COMMITMENTS	LEVEL 2 FAIR VALUE LOAN COMMITMENTS	LEVEL 3 FAIR VALUE LOAN COMMITMENTS	AMT DTRM TOT FV RC LN LEASE	AMT DTRM TOT FV RC TRDG ASTS	AMT DTRM TOT FV RC NONTRDG SCTY	AMT DTRM TOT FV RC ALL OTHR	AMT DTRM TOT FV RC FOR DEP	AMT DTRM TOT FV RC TRDG LBLTY	AMT DTRM TOT FV RC ALL OTHR	AMT DTRM TOT FV RC LN CMTMT	LVL 1 FV MSMT LN LEASE	LVL 1 FV MSMT TRDG ASTS	LVL 1 FV MSMT NONTRDG SCTY FV CRNT E	LVL 1 FV MSMT ALL OTHR FNC ASTS	LVL 1 FV MSMT FOR DEP	LVL 1 FV MSMT TRDG LBLTY	LVL 1 FV MSMT ALL OTHR FNC LBLTY	LVL 1 FV MSMT FOR LN CMTMT NT DRVT	
37																																																																																	
242																																																																																	
279																																																																																	
354																																																																																	
457																																																																																	
505																																																																																	
1155																																																																																	
1351																																																																																	
1454																																																																																	
1557																																																																																	
1632																																																																																	
1669																																																																																	
1829																																																																																	
1856																																																																																	
2040																																																																																	
2161																																																																																	
2376																																																																																	
2451																																																																																	
2554																																																																																	
2732																																																																																	
2750																																																																																	
2938																																																																																	
3252																																																																																	
3458																																																																																	
3720																																																																																	
3953																																																																																	
4138																																																																																	
4156																																																																																	
4231																																																																																	
4437																																																																																	
4839																																																																																	
5005																																																																																	
5069																																																																																	
5135																																																																																	
5210																																																																																	
5331																																																																																	
5461																																																																																	
5751																																																																																	
6039																																																																																	
6141																																																																																	
6329																																																																																	
6972																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7009																																																																																	
7045																																																																																	
7157																																																																																	
7456																																																																																	
7634																																																																																	
8033																																																																																	
8462																																																																																	
8631																																																																																	
9357																																																																																	
9553																																																																																	
9807																																																																																	
9955																																																																																	
10157																																																																																	
10250																																																																																	
10849																																																																																	
10858																																																																																	
11145																																																																																	
11640																																																																																	
11837																																																																																	
12030																																																																																	
12142																																																																																	
12245																																																																																	
12311	0	0	0	378437	378437	0	465319	465319	0	167438	0	167438	0	0	0	71729	377248	0	0	0	0	0	0	0	0	0	0	0	0	305519	0	0	0	0	0	0	0	0	0	0																																									
12647																																																																																	
12656																																																																																	
12937																																																																																	
12946																																																																																	
12955																																																																																	
13037																																																																																	
13103																																																																																	
13251																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13457																																																																																	
14052																																																																																	
14155																																																																																	
14454																																																																																	
14650																																																																																	
14753																																																																																	
14865																																																																																	
14977																																																																																	
15536																																																																																	
16337																																																																																	
16458																																																																																	
16551																																																																																	
16748																																																																																	
16944																																																																																	
16953																																																																																	
17110																																																																																	
17147																																																																																	
17259																																																																																	
17464																																																																																	
17839																																																																																	
17950																																																																																	
18050																																																																																	
18135																																																																																	
18377																																																																																	
18827																																																																																	
18836																																																																																	
18854																																																																																	
18957																																																																																	
19356																																																																																	
19730																																																																																	
19936																																																																																	
19972																																																																																	
20053																																																																																	
20147																																																																																	
20370																																																																																	
20512																																																																																	
20633																																																																																	
20857																																																																																	
20866																																																																																	
21256																																																																																	
21359																																																																																	
21630																																																																																	
21658																																																																																	
22048																																																																																	
22356																																																																																	
22459																																																																																	
22543																																																																																	
22552																																																																																	
22730																																																																																	
22936																																																																																	
22954																																																																																	
23036																																																																																	
23045																																																																																	
23241																																																																																	
23456																																																																																	
23504																																																																																	
23540																																																																																	
23643																																																																																	
23755																																																																																	
23812																																																																																	
24006																																																																																	
24453																																																																																	
24659																																																																																	
24668																																																																																	
24855																																																																																	
24949																																																																																	
25357																																																																																	
25647																																																																																	
26149																																																																																	
26242																																																																																	
26457																																																																																	
26765																																																																																	
26859																																																																																	
26916																																									0	0	0	2293	2293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27548																																									0	0	0	0	0	0	19603	6433	13170	0	0	0	5610	5610	0	0	0	0	15535	15535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27614																																																																																	
27847																																																																																	
28152																																																																																	
28255																																																																																	
28349																																																																																	
28406																																																																																	
28572																																																																																	
28732																																																																																	
29104																																																																																	
29252																																																																																	
29636																																																																																	
29850																																																																																	
29944																																																																																	
29953																																																																																	
30052																																																																																	
30155																																																																																	
30258																																																																																	
30418																																																																																	
30502																																																																																	
30650																																																																																	
30810																																																																																	
31134																																																																																	
31255																																																																																	
31657																																																																																	
31826																																																																																	
31835																																																																																	
32234																																																																																	
32766																																																																																	
33147																																																																																	
33259																																																																																	
33268																																																																																	
33549																																																																																	
33727																																																																																	
33754																																																																																	
33839																																																																																	
33857																																																																																	
34153																																																																																	
34359																																																																																	
34425																																																																																	
34434																																																																																	
34452																																																																																	
34537																																									0	0	0	2165	2165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34555																																																																																	
34742																																																																																	
34836																																																																																	
34863																																																																																	
35057																																																																																	
35244																																																																																	
35301	0	0	0	0	0	0	12442425	17963399	1065262	99347	99347	0	0	0	0	11839826	17619392	806670	515317	465247	50070	0	0	0	0	6586236	0	0	0	6586236	0	0	0	0	0	0	0	0	0	0																																									
35570																																																																																	
35646																																																																																	
35842																																																																																	
36054																																																																																	
36344																																																																																	
36456																																																																																	
36858																																																																																	
36933																																																																																	
37051																																																																																	
37341																																																																																	
37350																																																																																	
