"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
37	20090331	BANK OF HANCOCK COUNTY	10057	SPARTA	GA	31087	
242	20090331	First Community  Bank, Xenia-Flora	3850	Xenia	IL	62899	
279	20090331	MINEOLA COMMUNITY BANK S. S. B.	28868	MINEOLA	TX	75773	
354	20090331	Bison State Bank	14083	Bison	KS	675200328	
457	20090331	LOWRY STATE BANK	10202	LOWRY	MN	563490123	
505	20090331	BALLSTON SPA NATIONAL BANK	6959	BALLSTON SPA	NY	12020	
1155	20090331	FIRST STATE BANK & TRUST COMPANY	17639	FREMONT	NE	680260549	
1351	20090331	Bank of Grandin	09392	Grandin	MO	63943	
1454	20090331	Hilltop National Bank	19184	Casper	WY	82602	
1557	20090331	THE FIRST STATE BANK	15328	KIOWA	KS	67070	
1632	20090331	Sea Island Bank	5707	Statesboro	GA	30458	
1669	20090331	The Liberty National Bank in Paris	3384	Paris	TX	754610919	
1829	20090331	Allegheny Valley Bank of Pittsburgh	6058	Pittsburgh	PA	15201	
1856	20090331	Washita State Bank	22430	Burns Flat	OK	73624	
2040	20090331	Farmers and Merchants Bank	13046	Tomah	WI	54660	
2161	20090331	LAMAR NATIONAL BANK	23597	PARIS	TX	75460	
2376	20090331	Oritani Bank	28866	Twp of Washington	NJ	76761329	
2451	20090331	Thunder Bank	10506	Sylvan Grove	KS	67481	
2554	20090331	STATE BANK OF MARIETTA	18525	MARIETTA	MN	56257	
2732	20090331	Albany Bank & Trust Co., N.A.	17230	Chicago	IL	60625	
2750	20090331	GENOA NATIONAL BANK	5408	GENOA	NE	68640	
2938	20090331	SB&T Bank	20246	Albany	GA	31701	
3252	20090331	FIRST NATIONAL BANK OF GORDON	5410	GORDON	NE	69343	
3458	20090331	FARMERS BANK OF GREEN CITY	16103	GREEN CITY	MO	63545	
3720	20090331	Bank of Clarendon	15671	Manning	SC	29102	
3953	20090331	First Capital Bank	416	Guthrie	OK	730440520	
4138	20090331	First National Bank of LaFollette	4944	LaFollette	TN	37766	
4156	20090331	KANZA Bank	13157	Kingman	KS	67068	
4231	20090331	FARMERS AND MERCHANTS BANK	16440	SYLVANIA	GA	30467	
4437	20090331	First National Bank	6795	Ronceverte	WV	24970	
4839	20090331	Austin Bank of Chicago	11694	Chicago	IL	606441997	
5005	20090331	STONEHAM SAVINGS BANK	90286	STONEHAM	MA	02180	
