"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	
37																																						0	5575	0	0	31101	0	579	79	1070	81597	64669	361	65030	0	1109	0	0	0	16568	1200	81598	0	0	11601	0	3500	0	6491	58178	1	1231	0	44302	43193	267	0	0	0	0	16568	
242																																						921	986	0	0	8293	0	240	0	413	33450	25990	51	29341	0	166	0	3300	0	4109	120	33450	0	0	3772	0	120	0	3733	22257	4	1231	0	21065	20899	97	1698	0	0	0	4109	
279																																						1036	2279	66	38734	29315	261	6499	242	2455	150765	97065	458	128502	0	420	0	30979	0	22263	1	150765	0	0	21789	0	0	0	5722	91343	1	1231	0	67058	66638	473	3240	0	0	0	22263	
354																																						99	123	0	0	3656	0	61	0	138	8831	7747	23	7770	0	199	0	0	0	1061	25	8831	0	0	495	0	500	0	1875	5873	5	1231	0	4231	4032	41	722	0	0	0	1061	
457																																						595	982	0	257	617	0	159	742	1080	31832	25614	189	28640	0	262	0	2000	0	3192	60	31832	0	0	676	0	2440	0	2565	23049	4	1231	0	27662	27400	16	0	0	837	0	3192	
505																																						631	4171	32	0	68533	0	4066	157	7730	345468	267643	4777	320120	60	4035	1595	47700	0	25288	6480	345468	0	0	10788	0	10653	70	37194	230449	2	1231	0	262518	258483	-2633	0	0	0	0	25348	
1155																																						1103	10574	0	1514	33984	0	4722	405	7054	196305	166904	1642	180284	0	1878	0	0	0	16021	1600	196305	0	0	9206	0	4400	0	27349	139555	5	1231	0	138827	136949	815	0	0	0	11738	16021	
1351																																						0	2437	0	51929	4061	0	1074	98	1597	133526	114382	716	115098	0	1091	0	0	0	18428	240	133526	0	0	17603	0	530	0	11845	102537	4	1231	0	68898	67807	55	4523	0	0	0	18428	
1454																																						54687	14429	12	0	168290	0	4849	643	9283	462444	419632	944	420576	0	2565	0	0	0	41868	1000	462444	0	0	38389	0	1214	1632	104786	314846	2	1231	0	211184	208619	1265	0	0	0	0	41868	
