"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG167	RCONG168	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	AMT NONINT ACTS GE 250K	NBR NONINT ACT GE 250K	PB/PSA FDIC CERTIFICATE NUMBER	
37								0	4273		0	0	46726		13887	89	64884	0						
242								0	1442		0	0	17220		7379	37	26041	0			0	0		
279								0	10899		414	1	64429		21478	150	97220	0			734	2		
354								0	0		0	0	5834		1936	9	7770	0			0	0		
457								0	1181		0	0	18189		6298	41	25668	0			0	0		
505								0	7553		260	1	143750		116630	368	268193	0			14519	28		
1155								0	11577		338	1	94106		61313	170	167334	0	154557	0	15269	11		
1351								0	7137		609	1	39464		67773	296	114983	0						
1454								0	19369		1095	4	207360		192029	627	419853	0			61468	71		
1557								0	1894		0	0	20692		11206	53	33792	0						
1632								0	33477		5002	15	312813		276611	1085	627903	0	633266	0	25459	40		
1669								0	12408		0	0	111422		81646	244	205476	0			9950	20		
1829								0	19468		4432	8	199340		89676	406	312916	0			0	0		
1856								0	20		0	0	117527		29114	27	146662	0			0	0		
2040								0	9063		0	0	107840		45527	147	162431	0	168443	0	5993	9		
2161								0	7178		339	1	46896		43178	188	97591	0						
2376							132300	0	64697		587	2	625606		328571	1964	1019462	0	956594	0	9720	12		
2451								0	632		0	0	28950		4719	32	34301	0			275	1		
2554								0	86		0	0	4047		4905	21	9099	61			0	0		
2732								0	10709		556	2	154072		288090	633	453427	0			18646	39		
2750								0	1934		0	0	23199		16461	77	41594	0						
2938								0	19455		1686	5	251541		287983	946	560665	0	406614	0	19746	35		
3252								0	5459		0	0	36204		78220	148	119883	0			2719	6		
3458								0	505		0	0	12916		9547	43	22968	0			0	0		
3720								0	6257		613	2	96364		43891	90	147125	0			471	1		
3953								0	337		0	0	54961		49494	267	104792	0			4782	10		
4138								0	10987		795	3	96642		73160	349	181584	0			4670	10		
4156								0	6328		260	1	87231		57796	199	151846	231						
4231								0	12276		5124	14	47439		42171	225	107010	0			0	0		
4437								0	9792		632	2	118305		70534	358	199263	0			5551	11		
4839								0	12268		2827	3	123063		106838	435	245022	27			5626	10		
5005								0	24221		294	1	198456		125357	674	348328	0			4731	7		
5069								0	835		0	0	128386		258454	830	387675	0						
5135								0	11342		1089	4	81820		160344	439	254595	0			28594	34		
5210								0	58509		1175	4	511870		143287	735	714840	0			14266	36		
5331								0	7983		0	0	140159		76350	367	224492	0			3899	5		
5461								0	5263		1002	1	114173		228395	685	348833	0			41304	85		
5751								0	4974		0	0	31044		57084	158	93102	0			4057	10		
6039								0	7850		301	1	43937		22456	86	74544	0			1002	2		
6141								0	972		0	0	19392		22076	64	42441	0						
6329								0	12314		2114	5	235061		165111	867	414600	0						
6972								0	32217		754	3	385317		349813	1248	768101	0			76262	106		
7009								0	1019		5206	5	60361		535557	742	602143	0			51791	4		
7045								0	4545		869	2	55637		49911	138	110962	0						
7157								0	3009		0	0	21596		12044	35	36802	153			2188	2		
7456								0	2429		0	0	28122		14024	52	44575	0			2097	7		
7634								0	3629		666	1	33163		35352	94	72810	0			0	0		
8033								0	2719		0	0	46214		35777	135	84710	0						
8462								0	3914		0	0	31429		77792	202	113135	0			14392	13		
8631								0	3151		254	1	28547		15986	91	47938	0			1850	4	no	
9357								0	1174		318	1	40066		241887	396	283445	0			47477	65		
9553								0	7588		370	1	34709		25810	119	68477	0			3011	4		
9807							473802	0	77846		4547	14	1186199		862695	2909	2131287	0	2027555	0	107215	112		
9955								0	2167		0	0	44469		29567	106	76203	0			1226	2		
10157								0	1775		0	0	30964		16704	66	49443	0			2655	6		
10250								0	47025		3202	10	210872		138143	569	399242	0			4250	9		
10849								0	9255		501	2	135482		129648	575	274886	0			13487	18		
10858								0	9427		0	0	182092		163912	619	355431	0			9675	21		
11145								0	6838		1477	3	75279		54976	194	138570	0			1381	3		
11640								0	11242		1017	3	91347		124006	328	227611	0			17381	21		
11837								0	3745		0	0	38719		39929	90	82393	0			0	0		
12030								0	23015		1156	4	182727		98424	446	305322	0			4910	11		
12142								0	7660		378	1	63414		58399	233	129851	0			6852	12		
12245								0	6135		427	1	56053		33061	125	95676	0			288	1		
12311	41295333	2591283	41644280	4107775	2591283	4107775	12984324	0	1569860		23620	74	20926721		16183849	39395					3023801	2903		
12647								0	4505		392	1	27096		37286	93	69279	0			2041	3		
12656								0	510		0	0	9613		3102	20	13225	0			0	0		
12937								0	4116		2152	3	54188		102828	227	163284	0			0	0		
12946								0	28464		2873	7	236958		267779	771	536074	0			25093	43		
12955								0	5628		0	0	46657		51591	177	103876	0			0	0		
13037								0	8909		298	1	98391		31406	214	139004	0			1150	4		
13103							221567	0	54676		4267	13	401408		383454	1366	843805	0	807348	0	60776	98		
13251								0	2184		575	1	14740		14433	71	31932	0						
13457								0	1056		0	0	9803		3294	22	14153	0						
14052								0	2900		804	2	35957		19824	109	59485	0			289	1		
14155								0	4573		0	0	60901		26834	105	92309	0			2501	5		
14454								0	1144		0	0	14058		8484	26	23686	0			872	3		
14650								0	1267		0	0	15895		6960	23	24122	0						
14753								0	3637		0	0	20145		6245	31	30027	0			264	1		
14865								0	7530		298	1	104740		69329	301	181896	0			5184	14		
14977								0	3003		291	1	27373		7893	77	38560	0	39108	0				
15536							746886	0	216538		9158	29	1618735		1193408	6089	3037840	0	3007071	0	118876	155		
16337								0	29961		1828	6	260522		140219	528	432530	0			10780	20		
16458								0	8347		1770	5	110248		92231	301	212596	0			17403	16		
16551								0	13115		1458	5	66501		37544	139	118618	0			3022	8		
16748								0	4070		0	0	33145		10830	50	48045	0			0	0		
16944								0	811		0	0	20032		7643	46	28577	92			0	0		
16953								0	594		0	0	19824		5082	28	25500	0			480	1		
17110								0	2907		0	0	14383		72694	245	89984	0						
17147							449130	0	73824		3867	12	432280		1089929	1872	1600345	443	1585599	458	18813	25		
