"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	NET CHANGE FAIR VAL UNDR FAIR VAL OP	BK CARD CR CARD INTERCHANGE FEE	ACCOUNTING AND AUDITING EXPENSES	CONSULTING AND ADVISORY EXPENSE	ATM AND INTERCHANGE EXP	TELECOMMUNICATIONS EXP	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	1	0	14	4	7	1	7	1	4	10	0	0	0	0	0	0	0	0	0	0	0	false	6	0	0	3	0	4	0	37	15	0	10	20	0	8	6	CD EARLY W/D PENALTY	EXCHANGE	OTHER S/C	STATE ASSESSMENT	BANK SEC & IT PROT												
242	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
279	15	1	33	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	17	0	0	7	0	2	38	74	19	0	0	11	0	0	0																	
354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
505	104	0	44	29	253	0	0	0	41	33	0	0	0	0	0	0	0	0	0	0	0	false	30	0	0	0	0	0	0	189	0	0	64	37	0	0	0				DEBIT CARD PROCESSING	ONLINE BANKING EXPENSE												
1155	91	2	33	4	22	11	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	false	23	0	0	5	41	5	17	96	24	0	45	18	15	21	15	Exchange			Macha & Bank Service Charges													
1351	8	0	9	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	14	0	0	0	0	5	18	0	11	0	0	1	0	10	0																	
1454	134	0	56	0	70	31	26	0	60	46	0	0	0	0	0	0	0	0	0	0	0	false	81	0	0	0	47	40	0	93	92	0	247	0	0	152	0	HUMAN RESOURCE FEE INCOME	MERCHANT DISCOUNT INCOME		OCC ASSESSMENT AND EXAM FEES	LOAN EXPENSES												
1557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
1632	0	0	0	0	251	54	0	0	102	1188	473	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	34	636	0	0	112	0	0	0	0	Income Letters of Credit			Other Real Estate Expenses	Open Commitment Reserve Expense	Loan Expenses and Letter of Credit Write downs											
1669	12	0	7	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	22	0	0	9	62	18	36	123	22	0	40	17	0	13	12																	
1829	39	0	0	0	0	41	14	0	113	0	0	0	0	0	0	0	0	0	0	0	0	false	38	0	0	18	0	8	15	170	0	0	81	56	0	92	0	Fee Income - Brokerage	Misc Income		PA Shares Tax													
1856	3	0	11	11	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	3	0	0	0	0	0	6	0	6	0	0	0	0	0	0																	
2040	32	0	19	7	73	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	false	17	0	0	5	26	4	0	111	17	0	33	0	20	27	8				Brokered Cd Fee Expense													
2161	0	0	0	0	0	0	0	0	26	40	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	26	0	0	65	0	0	41	0	0	0	0				Debit Card Expense	Deferred Compensation Plan Expense												
2376	135	254	172	43	45	279	47	0	44	40	208	0	0	0	0	0	0	0	0	0	0	false	42	0	0	0	294	0	44	197	152	0	32	346	1	46	33	Joint Venture	Miscellaneous Fees		Insurance	Bank Service Charges	Miscellaneous Expense											
2451	1	0	4	5	10	2	3	0	7	6	5	0	0	0	0	0	0	200	0	0	0	false	3	0	0	0	0	1	0	15	3	0	2	7	0	4	6	Penalty for early withdrawal	Credit Life Premium		Bond and D&O expense	Software/computer/networking expense	Education				Capital Infusion							
2554	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	0	1	0	1	1	0	0	4	0	0	1																	
2732	17	0	76	135	201	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	false	56	0	0	0	0	18	0	185	29	0	0	15	0	0	16				OCC Examinations fee													
2750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0																	
2938	0	0	52	63	157	39	0	0	52	0	0	0	0	0	0	0	0	1434	0	2486	0	false	50	0	0	19	0	22	49	683	0	0	144	0	0	0	0	Other Service Charges			Other State Taxes						Capital infusion		Adjustment due to merger					
3252	0	0	0	0	42	0	0	0	55	28	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Computer Exp- In House	Office Supplies												
3458	0	0	3	7	3	0	0	0	15	4	6	0	0	0	0	0	0	651	0	0	0	false	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0				PROVISION FOR RESERVE BAD DEBT - SECURITIES	DIRECTORS EXAM	DUES AND CORRESPONDENT BANK CHARGES				ADDITIONAL PAID IN CAPITAL FROM HOLDING COMPANY							
3720	50	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	60	0	0	0	0	47	28	0	Officer Insurance Income																
3953	66	0	19	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	12	0	0	1	24	13	4	11	31	0	31	12	8	23	14																	
4138	21	3	46	0	55	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	23	0	0	6	0	8	60	56	45	0	0	62	0	30	21	Mortgage Orig Fees																
4156	62	0	16	10	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	9	0	0	3	30	24	17	90	33	0	0	15	3	9	32																	
4231	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	25	36	0	0	0	0	0	0	0																	
4437	31	0	34	0	64	101	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	false	38	0	0	0	34	0	0	128	34	0	68	38	56	59	27	Origination fees - Secondary Market Loans			Business Franchise Taxes													
4839	0	0	0	53	46	0	0	0	45	49	34	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	126	29	0	0	50	0	30	0				Appraisal expense	NonPerforming assets	Other outside services											
5005	45	0	41	349	131	0	0	0	89	56	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	65	0	0	170	37	0	0	42	0	0	41				OREO EXPENSES	SUBSCRIPTIONS & SERVICES												
5069	39	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0																	
5135	12	5	18	2	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	19	0	0	2	37	14	46	302	29	0	1	12	0	2	0																	
5210	110	0	62	67	73	0	0	0	191	53	0	0	0	0	0	0	0	0	0	0	0	false	84	0	0	0	244	0	227	98	87	0	0	95	61	41	91				PA Shares Tax	Regulatory Assessments												
5331	0	0	0	0	82	40	0	0	447	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	11	0	17	21	189	0	0	18	84	54	0	0	RESALE MORTGAGE FEES			OREO OPERATING AND VALUATION EXP													
5461	99	0	0	26	52	0	0	0	126	49	80	0	0	0	0	0	0	0	0	0	0	false	30	0	0	34	0	0	0	51	74	0	67	39	9	39	55				CUSTOMER SUPPORT & CONTINGENCIES	INSURANCE EXPENSE	TRANSPORTATION EXPENSE											
5751	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	34	0	0	49	0	0	0	0	0	0	0																	
6039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0																	
6141	0	0	9	0	0	1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	false	8	0	0	2	0	6	0	43	6	0	0	0	0	0	4	Fees and commissions			Other fees and commissions													
6329	48	0	12	65	153	43	61	85	26	24	33	0	0	0	0	0	0	0	0	0	0	false	75	0	0	0	31	9	53	0	142	0	66	21	40	16	121	Yield Spread Premium	Exchange / Serv. Charge	Loans Serv. Ch. / Origination Fees	Education & Training	Service Fee Analysis	Donations											
6972	316	0	0	0	423	277	75	20	114	110	0	0	0	0	0	0	0	0	0	0	0	false	89	0	0	25	57	54	54	229	89	0	165	0	240	127	107	Loan servicing, accounting, and management fees	Amortization of gain from termination of derivative contract (swap)	Collection of utility, tax, and other payments on behalf of third parties	Tax expense	Correspondent and Federal Reserve Bank service charges												
7009	0	0	0	0	0	0	0	0	8460	424	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				INVESTMENT ADVISORY AND OTHER SVC FEES	CUSTODY FEES												
7045	14	0	19	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	18	0	0	3	0	5	11	0	15	0	40	13	0	17	14																	
7157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0																	
7456	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Computer Maintenance													
7634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										CAPITAL INJECTION							
8033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0																	
8462	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Comptroller of the Currency Assessment													
8631	9	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	7	0	0	0	17	2	19	60	8	0	0	9	0	0	0																	
9357	37	0	0	30	196	105	118	0	32	37	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	25	0	33	0	0	0	0	Special Services	Wire Fees		Correspondent Bank Charges	Outside Vendor Services												
9553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
9807	61	14	34	321	465	53	57	125	992	110	0	0	0	0	0	0	0	0	0	0	0	false	126	0	0	20	151	31	160	281	62	0	0	160	231	0	148	LOAN INSPECTION FEES	LATE CHARGES	MORTGAGE MODIFICATION FEES	OREO EXPENSES	OREO REAL ESTATE TAXES												
9955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0																	
10157	0	0	0	28	0	59	32	0	0	0	0	0	0	0	0	0	0	4	0	0	0	false	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	MISCELLANEOUS INCOME	INCOME OTHER REAL ESTATE								STOCK BOND AGREEMENT DEFERRED COST							
10250	57	18	14	23	78	20	19	0	59	45	10	0	0	0	0	0	0	1000	0	0	0	false	51	0	0	10	2	9	10	16	81	0	217	0	11	68	19	Mortgage Origination Fees	Other Service Charges		Insurance Bond, D&O, Property, VSI, SBA	Donations	Education				Downstream from Holding Company							
10849	24	0	25	0	88	133	33	0	19	25	0	0	0	0	0	0	0	0	0	0	0	false	24	0	0	0	13	0	23	101	30	0	0	32	0	0	53	Data Processing Income	Miscellanous Income		State Bank Department Assessment	Insurance and Bonds												
10858	87	0	0	0	236	130	0	0	129	75	58	0	0	0	0	0	0	0	0	0	0	false	50	0	0	15	0	11	151	248	40	0	0	0	0	50	37	Other Income			Administration services - affiliate	Professional services	Membership and donation expense											
11145	10	5	17	2	49	0	0	0	21	49	0	0	0	0	0	0	0	0	0	0	0	false	21	0	0	15	0	11	50	82	21	0	68	27	2	12	21				21	21	49											
11640	17	0	49	0	76	0	0	0	34	28	47	0	0	0	0	0	0	0	0	0	0	false	22	0	0	0	34	0	0	0	25	0	30	0	21	28	22				Loan and Collection Fees	Internet Banking Expense	Sales and State Income Tax											
11837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	32	0	0	0	0	31	0	0																	
12030	0	12	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	48	0	0	0	0	0	0	144	33	0	0	0	0	0	0																	
12142	14	0	18	1	5	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	false	20	0	0	4	0	36	19	0	21	0	14	36	7	1	21				contracted services													
12245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0																	
12311	8314	0	0	9063	14575	15805	0	0	13154	5926	0	0	0	0	0	0	0	20258	2132	-9187	0	true	4562	0	0	0	12655	0	3463	25923	0	0	18974	0	0	0	5593	Operating lease income			Operating lease expense	Insurance expense					Loan contribution from parent	Stock option expense	Write down of auto loans sold to trust		The schedule RI Income Statement for the three months ended March 31, 2009 included the following significant income and expense items: (1) a loss of $2,573.8 million (pre-tax) related to the impairment of goodwill and (2) a net aftertax gain of $159.9 million related to the Franklin restructuring.	Adoption of FAS 160 Minority Interest		
12647	0	0	7	31	17	3	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	false	6	0	0	0	0	3	0	44	10	0	0	8	0	0	22	Rent Premises			Delivery													
12656	1	0	9	1	2	1	0	0	3	3	4	0	0	0	0	0	0	0	0	0	0	false	3	0	0	1	0	2	2	2	5	0	1	3	0	2	2	MISC FEES			CORRESPONDENT SERVICE CHARGES	BANKERS BOND PREMIUM	TRAVEL EXPENSE											
12937	0	0	0	36	80	0	0	0	24	24	24	0	0	0	0	0	0	0	0	0	0	false	9	0	0	0	0	0	7	36	0	0	0	24	0	34	13				Bank Insurance	IT Service/Maintenance	Director's Fees											
12946	57	0	0	31	91	0	0	0	40	32	57	0	0	0	0	0	0	0	0	0	0	false	56	0	0	0	91	0	41	0	49	0	84	0	73	28	170				Correspondent bank service charges	State bank assessment	Business development (40) and travel (17)											
12955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	27	37	0	0	0	0	0	0																	
13037	0	0	0	0	0	0	0	0	26	56	34	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	38	171	0	0	0	47	0	45	34				Management Fee	Fraud Losses	Taxes not on income											
