"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	
37																																							0	2373	0	0	30612	0	582	103	1077	83366	66050	429	66479	0	1073	0	0	0	16887	1200	83366	0	0	11761	0	0	3500	0	6645	59405			0	46292	45219	426	3400	0	0	0	16887	
242																																							1126	827	0	0	8928	0	233	0	441	33467	25572	42	29189	0	167	0	3575	0	4278	120	33467	0	0	3801	0	0	120	0	4030	21542			0	21062	20895	237	1017	0	0	0	4278	
279																																							490	2194	63	45969	22766	262	6547	22	2713	153163	99415	655	130408	0	445	0	30338	0	22755	1	153163	0	0	22206	0	0	0	0	5808	93607			0	71222	70777	548	1360	0	0	0	22755	
354																																							99	542	0	0	3458	0	54	0	158	8674	7611	25	7636	0	205	0	0	0	1038	25	8674	0	0	475	0	0	500	0	1787	5824			0	4381	4176	38	187	0	0	0	1038	
457																																							944	511	0	254	515	0	140	793	1278	35099	26270	191	31861	0	374	0	5400	0	3238	60	35099	0	0	723	0	0	2440	0	2487	23784			0	31038	30664	15	0	0	0	0	3238	
505																																							24987	2524	34	0	67826	0	4152	343	6734	358131	280242	5114	330856	61	4202	1595	45500	0	27214	6480	358131	0	0	11496	0	0	10653	0	44159	236083			0	251138	246936	-1415	3000	0	0	0	27275	
1155																																							10807	12332	0	387	33286	0	4630	290	6678	213612	182120	1864	196908	0	2392	0	0	0	16704	1600	213612	0	0	9833	0	0	4400	847	31053	151067			0	146747	144355	871	0	0	0	12924	16704	
1351																																							0	978	0	53508	5765	0	1124	0	1551	134249	114380	738	115118	0	1096	0	0	0	19131	240	134249	0	0	18350	0	0	530	0	11452	102928			0	70169	69073	11	2250	0	0	0	19131	
1454																																							27455	14640	2	0	186155	0	4694	643	9503	450380	403941	1134	405075	0	2808	0	0	0	45305	1000	450380	0	0	40217	0	0	1214	988	95001	308940			0	209108	206300	2874	0	0	0	0	45305	
