"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF588	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF600	RCFDF601	RCFDF608	RCFDF609	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCON1288	RCON1420	RCON1460	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF588	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF600	RCONF601	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RIADG377	
	REAL ESTATE LOANS, TOTAL	OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	LN LEASE RSTRCTD OTHR	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	CMRCL IND LN MEAS AT FV	LN TO INDV FOR HH FAM PERS EXPND	LN TO INDV FOR HH EXPND OTHR CRDT PL	LN TO INDV FOR HH EXPND OTHR CNSMR L	OTH LN MSRD AT FV	UNPD PRIN BAL OF CMRL IND LN	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF LN TO IND HH AND OT	UNPD PRIN BAL OF OTHR LN	LN SEC BY REAL ESTATE	UNPD PRIN BAL OF LN SEC BY REAL EST	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	PLDG LN AND LEASE	LOANS TO DI'S & ACCEPT OTHR	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	LOANS FOR PURCHASING SECURITIES	OTHER LOANS	ALL OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	LN LEASE RSTRCTD OTHR	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	C&I LOANS	REVOLVING, OPEN-END LNS SECD BY 1-4F	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINANCING RECEIVABLES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	ADJTBL RATE CLOSED-END LNS SECD BY 1	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	CLSD-END LNS SECD 1ST LIENS 3 MOS LE	CLSD-END LNS SECD 1ST LIENS OV3-12 M	CLSD-END LNS SECD 1ST LIENS OV 1-3 Y	CLSD-END LNS SECD 1ST LIENS OV 3-5 Y	CLSD-END LNS SECD 1ST LIENS OVR 15 Y	LOANS SECD BY RE MAT OVER 15 YEARS	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LOANS TO COM BANKS IN THE U.S.-DERV	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LOANS TO BNKS IN FGN COUN - DERIVED	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	LN SECURED BY 1-4 FAM RES CONSTRUCTI	LN SECURED BY OTHR CNSTRCTN LN & LA 	LN SECURED BY OWNER OCCPD NONFARM NO	LN SECURED BY OTHR NONFARM NONRES PR	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	TOTAL CARRY AMT OF CLS-END LN NEG AM	TOTAL MAX REMAINING NEG AMRTZ PERMIT	TOTAL AMT NEG AMRTZ ON CLS-END LN IN	LN SEC 1-4 RES PROP IN DMST OFC	LN SEC 1-4 RES PROP IN PROC OF FCLS	LN SEC CNST LAND DEV AND OTHR LAND L	LN SEC FARMLAND	RVLVG OE LN SEC 1-4 FAM RES PROP	RVLVG CLS LN SEC 1-4 FAM RES PROP	RVLVG CLS LN SEC JR 1-4 FAM RES PROP	LN SEC MLTI FMLY RES PROP	LN SEC NONFARM NON RES PROP	CMRCL IND LN MEAS AT FV	LN TO INDV FOR HH FAM PERS EXPND	LN TO INDV FOR HH EXPND OTHR CRDT PL	LN TO INDV FOR HH EXPND OTHR CNSMR L	OTH LN MSRD AT FV	UNPD PRIN BAL OF CONS LND DEV AND OT	UNPD PRIN BAL OF LN SEC BY FRM LAND	UNPD PRIN BAL OF LN SEC RVLV CRDT	UNPD PRIN BAL OF LN SEC RVLV RES PRO	UNPD PRIN BAL OF LN SEC RVLV RES PRO	UNPD PRIN BAL OF LN SEC BY MFAM RES 	UNPD PRIN BAL OF LN SEC BY NONFRM RE	UNPD PRIN BAL OF CMRL IND LN	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF LN TO IND HH AND OT	UNPD PRIN BAL OF OTHR LN	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	CNSTRCTN DEV & OTHR AMT LN INT RSRV	PLDG LN AND LEASE	CNSTRCTN DEV & OTHR AMT INT CAP	
37																																																										0	1548	0		50		105	0			3161	0	8066	0	2764	46292	0	0	0	21267	84	0	17178	769	3432	8342	6128	2003	141	5778	7199	6981	3720	958	0								0	0			0	0	912	461	7070	804			0			325	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
242																																																										0	3088	0		11		2435	0			1457	0	2623	0	0	21062	0	0	0	7671	44	0	11090	83	1142	4379	1365	704	0	6526	3606	1847	1226	179	0								0	0			0	0	0	0	0	3733			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
279																																																										0	407	77		0		365	0			5183	249	7288	0	0	71222	56	284	95	40299	663	1411	9617	153	1230	1793	1385	11561	24177	2895	6086	5536	4389	8891	3182								0	0			0	0	1353	4041	3317	7752			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
354																																																										0	1161	0		0		608	0			392	0	706	0	0	4381	0	0	0	1492	18	749	822	24	798	35	52	412	170	254	1325	339	278	474	165								0	0			0	0	0	0	0	4			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
457																																																										0	3166	0		37		6743	0			4787	0	3088	0	458	31038	0	0	0	6334	686	5700	14625	1246	712	4003	293	80	0	4596	8108	6445	4675	97	458								0	0			0	0	1346	490	2906	997			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		12395		
505																																																										0	0	5688	0	19	19	0	0	13372	0	13372	15500	35707	0	8118	251138	7661	0	0	132008	4834	32072	18980	2780	11111	12551	6951	32390	64603	24563	9681	17532	27354	31425	15501	0	0	0	0	0	0	0	0	475	0		0	0	2683	1533	20415	18447	0	0	0			0	2045																									0	0	0	0	0	0	0	0	0	0	0	0		136157		
1155																																																										0	5055	492		575		6995	1793			42020	1036	6910	0	1704	147594	0	0	0	18690	4032	639	49708	2635	2603	3430	8426	627	814	41848	12443	21481	40400	7428	3150								544	195			0	0	2690	4308	22867	29481			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
1351																																																										0	10474	0		231		4544	0			18683	0	10629	0	0	70169	0	0	0	11908	0	11754	54963	2483	8090	448	187	538	0	12967	31423	7898	4311	583	0								0	0		0	0	0	0	0	0	13700			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
1454																																																										0	4978	1630	0	55	55	2953	0	27507	0	27507	4387	28704	0	0	210096	692	0	0	73588	6556	4091	35589	3252	1444	3499	6785	36163	22445	28036	10417	18934	44157	29918	3251	0	0	0	0	0	0	0	0	1172	0		0	0	1451	6329	28166	23312	0	0	0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
