"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2344	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON2604	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA242	RCONA243	RCONA244	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	BROKERED DEPS/PARTICIPATNS LE 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	TIME DEPOSITS GE 100000	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	TIME DEPS GE 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	BROKERED DEPS GE 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	
37	5807	0	1227	6645	0	11966	0	0	0	0	0	0	54084	0	702	14270		29136	4871	4269	14877	8662	0	0	2625	12252	7806	6453	1270	7392	2199	3409	10739	53382	0	0	486	
242	3106	0	533	3940	0	9650	0	0	0	0	0	0	15922	0	1389	2202		7095	3519	1482	4922	1549	0	0	1143	3779	1644	529	1019	530	653	0	9117	14533	0	0	0	
279	13364	0	0	5808	0	17571	0	0	0	0	0	0	81844	0	0	29049		37585	1846	12456	24120	19830	0	0	7526	16594	12051	1414	5599	14231	8424	795	17571	81844	0	0	4220	
354	1177	0	41	1787	0	1787	0	0	0	0	0	0	5824	0	1579	701		2917	1029	0	2917	701	0	0	840	2077	0	0	701	0	0	0	1746	4245	0	0	0	
457	2968	0	184	2487	0	4434	0	0	0	0	0	0	21836	0	1378	2204		10171	6493	1270	8668	1797	0	0	2602	6066	1312	191	529	1268	407	0	4250	20458	0	0	107	
505	106918	7	5352	12896	0	21870	0	0	713	0	1499	0	258372	0	61798	28459		52438	70557	8803	45406	24727	713	786	14624	30782	6559	473	9827	14900	3583	149	16511	196457	0	117	2290	
1155	361	7	941	31053	0	77252	0	0	0	0	0	0	104868	0	13324	36915		53067	14525	13769	28267	21294	0	0	24221	14385	12167	2294	13523	14687	6850	1855	76300	91044	4	500	5385	
1351	3931	28	4861	11452	0	20538	0	0	0	0	0	0	93842	0	5281	28027		42560	19324	7913	34011	25366	0	0	10708	23303	8549	0	4435	20931	2661	0	15649	88561	0	0	2569	
1454	1769	55	6252	95001	0	175564	0	0	0	0	0	0	228377	5	17339	56980		54642	114985	21006	40487	28890	0	0	20015	22767	7864	3996	31981	18674	3595	2730	169257	211033	0	0	4530	
