"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	RIADG894	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	NET CHANGE FAIR VAL UNDR FAIR VAL OP	BK CARD CR CARD INTERCHANGE FEE	ACCOUNTING AND AUDITING EXPENSES	CONSULTING AND ADVISORY EXPENSE	ATM AND INTERCHANGE EXP	TELECOMMUNICATIONS EXP	FSP FAS 115-2 ON OTT IMPAIRMENT	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	5	0	41	11	CONF	3	9	3	31	17	0	0	0	0	0	0	0	0	0	0	0	false	21	0	8	0	10	0	113	49	0	32	61	0	18	18	0	int penalty on cd early wd	exchange	other serv charges	bank it & secure works	clearing house fees											
242	0	0	45	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
279	47	2	102	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	57	0	22	0	7	123	237	53	0	0	36	0	0	0	0																
354	0	0	0	0	CONF	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0				Insurance												
457	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
505	197	0	132	0	CONF	44	0	0	111	108	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	30	46	560	0	0	215	111	0	0	0	0	OTHER MISC INCOME			DEBIT CARD PROCESSING	ONLINE BANKING EXPENSE											
1155	294	16	88	19	CONF	42	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	false	67	0	16	123	12	53	273	77	0	128	55	37	69	47	0	Exchange			Macha & Bank Service Charges												
1351	16	0	26	3	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	39	0	0	0	9	78	0	29	0	0	10	0	30	0	0																
1454	394	0	151	0	CONF	136	88	83	129	118	0	0	0	0	0	0	0	0	0	0	0	false	226	0	59	143	61	50	280	315	0	783	0	0	465	0	0	LETTER OF CREDIT FEE INCOME	HUMAN RESOURCE FEE INCOME	MERCHANT DISCOUNT INCOME	LOAN EXPENSE	OCC EXPENSE											
1557	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
1632	247	0	0	244	CONF	184	0	0	573	232	0	0	0	0	0	0	0	6544	0	0	0	false	0	0	0	0	32	99	2013	0	0	334	0	0	0	0	0	Income Letters of Credit			Loan Recording Expenses	Other Real Estate Expenses					Capital Infusions						
1669	39	0	21	2	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	63	0	24	197	33	114	377	72	0	125	50	0	42	37	0																
1829	152	0	118	0	CONF	40	19	0	331	0	0	0	0	0	0	0	0	0	0	0	0	false	106	0	48	0	23	43	519	0	0	262	169	0	312	0	0	Misc Other Income	Investor Income		PA Shares Tax												
1856	13	0	29	32	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	9	0	0	0	0	17	0	17	0	0	0	0	0	0	0																
2040	105	0	57	11	CONF	10	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	false	41	0	11	78	12	0	331	50	0	119	2	83	82	23	0	Wire Fees			Brokered CD Expense												
