"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFN5513	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	TEXT4087	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FORECLOSED PROPERTIES FROM	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	SECURED LIBLTIES:AMT OF	BK ACT AS TR CUST IRA, HSA, & OTHR?	BK CUST OTHR SRVC SL PRCH SCTY?	URL	
37																										0	50	0	0	0	true	0	0	0	50	0	0	258	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	http://www.bankofhancock.com	
242																										0	0	0	0	3500	true	0	0	0	0	0	0	243	0	0	0	true	0	0	0	1300	400	0	1800	0	0	0	0	0	200	0	true	false	http://www.fcbxeniaflora.com	
279																										56	59	9900	56	33669	true	0	0	0	59	0	0	663	0	56	0	true	0	0	0	9900	19990	296	3483	0	0	0	0	0	0	0	false	false	http://www.mineolacb.com	
354																										0	0	0	0	0	true	0	0	0	0	0	0	287	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	http://www.bisonstatebank.com	
457																										0	835	0	0	3500	true	0	0	0	48	0	787	1096	2	0	0	false	0	0	0	0	2000	1000	500	0	0	0	0	0	0	0	true	false	http://www.lowrystate.com	
505																										35	0	0	22	45500	true	13	0	0	0	0	0	2560	2	22	0	true	0	0	0	0	31500	14000	0	21500	0	0	0	0	0	0	true	true	www.bsnb.com	
1155																										0	1395	0	0	0	true	0	0	1155	0	0	240	6832	3	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	www.firststatebankandtrust.com	
1351																										0	238	0	0	0	true	0	0	0	238	0	0	1537	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	bankofgrandin.net	
1454																										0	546	0	0	0	true	0	518	0	28	0	0	44633	3	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	www.hilltopnationalbank.com	
1557																										0	0	0	0	1985	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	1949	0	0	36	0	0	0	0	36	true	false	www.fstbanc.com	
1632																										0	9703	60000	0	60000	true	0	7538	0	2075	0	90	28394	9	0	0	true	0	0	0	60000	0	0	0	0	0	0	0	0	0	0	false	false	www.seaislandbank.com	
1669																										1041	84	0	0	339	true	1041	0	0	80	0	4	2949	2	0	0	false	0	339	0	0	0	0	0	0	339	0	0	0	0	0	false	false	www.lnbparis.com	
1829																										623	100	3000	0	31492	true	623	0	0	100	0	0	2347	2	0	0	false	0	0	0	3000	14572	8000	5920	0	0	0	0	0	0	0	false	false	http://avbpgh.com	
1856																										0	0	0	0	54000	false	0	0	0	0	0	0	83	0	0	0	false	0	0	0	0	0	0	54000	0	0	0	0	0	0	0	false	false		
2040																										0	420	3300	0	23300	true	0	0	0	0	0	420	595	1	0	0	false	0	0	0	3300	15000	5000	0	15000	0	0	0	0	0	0	false	false	http://www.fmnetbank.com	
2161																										0	0	0	0	0	true	0	0	0	0	0	0	1220	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	http://www.lamarnational.com	
2376																										0	1822	10000	0	521550	true	0	600	0	0	1222	0	38324	2	0	0	false	0	0	0	10000	56413	130685	310000	410000	14452	0	0	0	0	0	true	false	http://oritani.com	
2451																										421	553	0	421	1021	true	0	0	0	188	0	365	1107	4	421	0	false	0	0	0	0	66	271	684	0	0	0	0	0	0	0	false	false	http://thunderbank.com	
2554																										0	0	0	0	0	false	0	0	0	0	0	0	101	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false		
2732																										1112	0	0	0	352	true	1112	0	0	0	0	0	31709	7	0	0	true	0	0	0	0	0	0	0	0	352	0	0	0	0	352	true	true	www.albanybank.com	
2750																										0	255	0	0	5200	true	0	0	0	80	0	175	2819	2	0	0	false	0	0	0	4500	0	700	0	0	0	0	0	0	0	0	true	false	www.genoanationalbank.com	
2938																										0	1256	29000	0	29000	true	0	0	0	1110	0	146	52784	14	0	0	true	0	0	0	29000	0	0	0	0	0	0	0	0	0	0	false	false	www.sbandtbank.com	
3252																										0	0	0	0	3511	true	0	0	0	0	0	0	1136	1	0	0	false	0	0	0	1000	0	1000	1500	0	11	0	0	0	0	0	false	false	http://www.fnbgordon.com	
3458																										0	324	0	0	0	true	0	324	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	www.fbgconline.com	
3720																										0	46	0	0	5156	true	0	0	0	0	0	46	1677	1	0	0	true	0	156	0	0	5000	0	0	0	156	0	0	0	0	156	false	false	wwwbankofclarendon.com	
3953																										0	305	10800	0	11122	true	0	0	0	55	0	250	3993	4	0	0	false	0	0	0	10800	0	0	322	0	0	0	0	0	0	0	false	false	www.fcbanker.com	
4138																										0	4918	233	0	1521	true	0	1633	0	1435	0	1850	2793	1	0	0	true	0	0	0	233	381	228	679	0	0	0	0	0	0	0	false	false	www,fnblafollette.com	
4156																										0	618	0	0	25600	true	0	16	0	269	0	333	147	0	0	0	true	0	0	0	9600	8000	8000	0	0	0	0	0	0	0	0	false	false	http://www.kanzabank.com	
4231																										0	600	0	0	0	false	0	0	0	0	0	600	1904	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	http://www.fmbanksylvania.com	
4437																										0	1457	2921	0	10863	true	0	0	0	1397	0	60	7164	4	0	0	false	0	0	0	2921	4682	816	2444	0	0	0	0	0	0	0	true	false	www.fnbwvva.com	
4839																										0	6311	11000	0	27000	true	0	955	0	444	0	4912	17278	5	0	0	false	0	0	0	11000	14000	1000	1000	0	0	0	0	0	0	0	true	true	http://abcbank.net	
5005																										840	13458	14042	0	65375	true	840	9534	0	776	0	3148	1038	1	0	0	true	0	0	0	14042	18078	14872	18383	34500	0	0	0	0	0	0	true	false	WWW.STONESAV.COM	
5069																										0	7261	0	0	0	false	0	0	0	0	2425	4836	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false		
5135																										0	280	0	0	21857	true	0	0	25	255	0	0	6354	5	0	0	false	0	0	0	18000	2000	0	1857	0	0	0	0	0	0	0	false	false	http://www.fsbanks.com	
5210																										0	6046	25150	0	82787	true	0	0	0	764	0	5282	3428	2	0	0	false	0	637	0	35150	20000	8000	19000	10000	637	0	0	0	0	637	false	false	http://www.acnb.com	
5331																										0	5015	0	0	23	true	0	4270	0	82	663	0	797	0	0	0	false	0	23	0	0	0	0	0	0	23	0	0	0	3000	23	true	false	www.hydeparkbank.net	
5461																										375	959	15000	0	15619	true	375	402	0	146	0	411	55	0	0	0	true	0	619	0	15000	0	0	0	0	619	0	0	0	0	0	false	false	www.bankbac.com	
5751																										0	0	0	0	0	true	0	0	0	0	0	0	1176	1	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	http://www.kearnycountybank.com	
6039																										0	1555	0	0	0	true	0	1255	0	30	0	270	671	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	www.aebalma.com	
6141																										0	10	0	0	0	false	0	0	0	0	0	10	104	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false		
6329																										0	6177	0	0	0	true	0	3440	0	2045	0	692	593	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	www.abbank.com	
6972																										234	0	0	0	41500	true	234	0	0	0	0	0	904	1	0	0	true	0	0	0	0	0	40000	1500	0	0	0	0	0	0	0	true	true	http://www.firstindy.com	
7009																										0	0	0	0	0	true	0	0	0	0	0	0	1300	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	true	http://www.bessemer.com	
7045																										0	0	0	0	0	true	0	0	0	0	0	0	2518	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	http://www.tpbbancorp.com	
7157																										0	39	0	0	0	true	0	0	0	39	0	0	103	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	statebankbr.com	
7456																										0	30	0	0	1500	true	0	0	0	0	0	30	359	0	0	0	false	0	0	0	0	300	600	600	0	0	0	0	0	0	0	true	false	www.bankofhartington.com	
7634																										0	668	4000	0	4000	false	0	513	0	0	0	155	331	0	0	0	false	0	0	0	4000	0	0	0	0	0	0	0	0	0	0	true	false	THEFOURCOUNTYBANK.COM	
8033																										0	127	0	0	20743	true	0	0	0	127	0	0	3538	1	0	0	true	0	0	0	8517	8624	3600	0	0	2	0	0	0	0	0	false	false	WWW.THEFRIENDLYBANK.COM	
8462																										0	0	0	0	0	true	0	0	0	0	0	0	990	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	http://www.perrytonbank.com	
8631																										0	421	0	0	0	true	0	0	0	132	0	289	533	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	pcbsm.com	
9357																										3071	0	91300	0	91300	true	3071	0	0	0	0	0	34	0	0	0	true	0	0	0	91300	0	0	0	0	0	0	0	0	0	0	true	false	www.fidelitybankmn.com	
9553																										0	0	2107	0	6064	true	0	0	0	0	0	0	2338	1	0	0	false	0	0	0	2107	536	839	2582	0	0	0	0	0	0	0	true	false	http://adamscountybankonline.com	
9807																										0	121329	0	0	305995	true	0	92478	0	7867	18030	2954	43988	2	0	0	true	0	0	0	0	20000	0	240000	0	0	45995	0	0	0	0	true	true	www.amboybank.com	
9955																										673	0	0	0	8700	true	673	0	0	0	0	0	6375	2	0	0	true	0	5000	0	1660	0	40	2000	0	5000	0	0	0	0	0	true	false	http://www.bankkansas.com	
10157																										0	600	0	0	450	true	0	600	0	0	0	0	257	0	0	0	false	0	0	0	0	0	0	0	0	450	0	0	0	0	450	false	false	www.fnblarned.com	
10250																										0	10857	16500	0	33500	true	0	3057	0	1989	0	5811	282	0	0	0	true	0	0	0	16500	11000	5000	1000	0	0	0	0	0	0	0	true	false	http://www.thebankofelkriver.com	
10849																										0	7326	3000	0	22140	true	0	35	0	2871	3945	475	8700	3	0	0	true	0	0	0	3338	18802	0	0	0	0	0	0	0	0	0	false	false	http://www.firststatebk.com	
10858																										0	864	5000	0	24965	true	0	864	0	0	0	0	5287	3	0	0	true	0	14683	0	10000	282	0	0	0	14683	0	0	0	0	0	true	true	www.pvsb.com	
11145																										0	1341	2974	0	9916	false	0	0	0	566	0	775	2310	1	0	0	false	0	0	0	2974	775	462	5705	0	0	0	0	0	0	0	false	false		
11640																										0	658	0	0	27500	true	0	499	159	0	0	0	5459	2	0	0	false	0	0	0	7500	0	0	20000	0	0	0	0	0	0	0	true	false	http://fnbclarksdale.com	
11837																										0	1760	0	0	7000	true	0	640	330	500	0	290	0	0	0	0	false	0	0	0	0	0	7000	0	0	0	0	0	0	0	0	false	false	http://www.farmbk.com	
12030																										144	3060	0	0	0	true	144	3060	0	0	0	0	1335	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	http://WWW.fnbalma.com	
12142																										0	0	2000	0	2000	true	0	0	0	0	0	0	604	0	0	0	false	0	0	0	2000	0	0	0	0	0	0	0	0	0	0	true	false	www.clevelandstatebank.com	
12245																										0	210	0	0	7900	true	0	0	0	0	0	210	3617	2	0	0	false	0	0	0	0	3000	2000	2900	4900	0	0	0	0	0	0	true	false	www.banknorthwis.com	
12311	486108	138974	142000	214592	2443673	true	258604	175436	7	220195	12912	true	3165934	488937	142000	3969	14284	8724	0	488937	1348882	366790	70087	1392290	0					2443673			22357	3344	64449	3008	26946								18870										0		true	true	www.huntington.com	
12647																										0	239	0	0	6200	true	0	239	0	0	0	0	1138	2	0	0	false	0	0	0	0	3550	2650	0	0	0	0	0	0	0	0	false	false	http://PORTAGECOUNTYBANK.COM	
12656																										0	0	0	0	0	true	0	0	0	0	0	0	236	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	http://www.mybankathome.com	
12937																										0	0	0	0	0	true	0	0	0	0	0	0	6234	3	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	www.oakbank.com	
12946																										2120	2670	7019	0	19338	true	2120	1036	0	368	0	1266	4341	2	0	0	true	0	211	0	7019	10373	275	1460	0	211	0	0	0	0	211	true	false	www.fbtarkansas.com	
12955																										0	357	4000	0	6800	true	0	357	0	0	0	0	1502	1	0	0	false	0	0	0	4000	0	0	2800	0	0	0	0	0	0	0	true	false	http://www.bankofnebraska.com	
13037																										1163	105	0	0	0	true	1163	100	0	0	0	5	1753	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	http://www.tradersbanking.com	
13103																										4345	229	113600	0	136360	true	4345	0	0	229	0	0	1215	0	0	0	false	0	0	0	113600	0	22000	760	0	0	0	0	0	0	0	false	false	www.bristolcountysavingsbank.com	
