"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCFDC436	RCFDJ448	RCFDJ449	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	RCONC436	RCONJ448	RCONJ449	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																	CONF	0	148	0	1165	45	329	47	0	0	0	0	688	0	0	0	0	CONF	FEDERAL INC TAX PAYABLE			
242																	CONF	0	201	0	534	14	126	0	0	0	0	0	207	0	0	0	0	CONF				
279																	CONF	28	1828	31	3149	42	404	0	0	0	0	0	816	70	0	0	0	CONF				
354																	CONF	0	5	65	183	0	37	0	0	0	0	0	76	0	0	0	0	CONF				
457																	CONF	0	288	0	1317	0	158	0	0	0	0	0	347	524	0	0	0	CONF				
505																	CONF	0	3257	47	8181	0	3453	1113	0	0	0	0	1424	0	0	0	0	CONF	Prepaid pension			
1155																	CONF	78	1138	0	7213	128	1056	0	0	0	0	0	1245	3774	0	0	0	CONF				
1351																	CONF	122	0	0	2043	62	587	16	0	0	0	0	1456	0	0	0	0	CONF	computer software			
1454																	CONF	0	1092	0	10536	810	2492	0	0	0	0	0	2520	4432	0	0	0	CONF				
1557																	CONF	0	146	0	1272	0	178	138	0	0	0	0	948	0	0	0	0	CONF	FDIC ASSESSMENT			
1669																	CONF	5	1179	83	10263	63	772	0	0	0	0	0	1866	6363	0	0	0	CONF				
1829																	CONF	0	2879	1366	8882	0	3180	0	0	0	0	0	1457	0	0	0	0	CONF				
1856																	CONF	0	2725	0	4395	631	631	0	0	0	0	0	1039	0	0	0	0	CONF				
2040																	CONF	0	1546	92	7054	540	1980	84	555	0	0	0	1028	2408	0	0	0	CONF	Computer Software	Accrued Taxes		
2161																	CONF	0	786	0	4704	634	3153	2519	0	0	0	319	446	0	0	0	0	CONF	Cash Surrender Value-Life Ins			
2376																	CONF	0	25080	25622	98631	288	8139	270	0	0	0	0	9261	30529	0	0	0	CONF	Suspense and Clearing			
2451																	CONF	0	579	0	1142	82	212	0	0	0	31	0	320	0	0	0	0	CONF				
2554																	CONF	0	0	0	193	21	99	42	1	0	0	0	94	0	0	0	0	CONF	Software	Late Fee		
2732																	CONF	0	174	527	5773	42	2661	453	0	0	0	0	2073	338	0	0	0	CONF	Current Fed Inc Taxes Rec			
2750																	CONF	0	537	0	2737	121	342	0	0	0	0	0	1033	825	0	0	0	CONF				
3252																	CONF	0	321	0	4686	195	2088	1412	0	0	0	0	2277	0	0	0	0	CONF	Non Post DDA Debits			
3458																	CONF	0	182	0	574	18	140	0	0	0	0	0	252	0	0	0	0	CONF				
3720																	CONF	0	615	223	6427	395	962	0	0	0	0	0	1100	3527	0	0	0	CONF				
