"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37													323	0	88	12	0	0	0	0	171	52	0	88	0				
242													37	0	0	0	0	0	0	0	37	0	0	0	0				
279													502	0	175	0	85	0	0	0	110	217	0	0	0				
354													14	0	0	0	0	0	0	0	14	0	0	0	0				
457													164	0	0	0	0	0	0	0	47	117	0	0	0				
505													3254	0	1077	0	0	746	0	0	292	1792	93	0	0	Deferred service fee-FCC			
1155													1813	0	1210	0	0	0	0	0	321	282	0	1154	0				
1351													620	0	25	0	0	25	0	0	455	140	0	0	0	atm cardholder in process			
1454													977	592	683	0	0	0	0	0	141	153	0	0	0				
1557													563	0	11	466	0	0	0	0	86	0	0	0	0				
1669													721	0	163	0	0	0	0	0	333	225	0	86	0				
1829													1748	0	289	0	191	0	0	0	1023	436	0	0	0				
1856													207	0	0	0	0	0	0	0	195	12	0	0	0				
2040													1146	0	113	0	0	56	0	0	590	443	0	0	0	Debit Card Settlements			
2161													1745	0	969	311	0	0	0	0	79	386	0	969	0				
2376													32271	0	9847	0	2786	447	0	0	1191	21233	0	5888	0	Second Step Stock Expenses			
2451													52	0	9	0	0	0	0	0	39	4	0	0	0				
2554													36	0	0	0	0	0	0	0	36	0	0	0	0				
2732													2719	232	558	0	0	255	0	0	664	1497	0	40	0	Accrued vacation/salary			
2750													370	74	182	0	0	0	0	0	83	105	0	108	0				
3252													335	0	0	0	0	0	0	0	193	142	0	0	0				
3458													232	0	1	141	0	0	0	0	28	62	0	0	0				
3720													1281	0	0	0	0	0	0	0	156	1125	0	0	0				
3953													1042	0	907	0	0	0	0	0	48	87	0	907	0				
4138													319	0	117	0	0	60	0	0	145	47	10	0	0	Reserve for Audit Fees			
4156													568	0	245	34	245	0	0	0	289	0	0	0	0				
4231													939	0	0	0	0	0	0	0	672	267	0	0	0				
4437													1315	0	513	0	0	350	0	0	165	637	0	0	0	Accrued postretirement obligation			
4839													1203	0	4	0	0	0	0	0	453	746	0	0	0				
5005													4583	0	1463	0	840	0	0	0	1	3119	0	396	0				
5069													5956	0	775	0	703	0	0	0	1703	3278	200	0	0				
5135													1036	0	282	0	239	43	0	0	255	499	0	0	0	FHLB Int Payable			
5210													7910	0	5284	0	0	1572	0	0	1898	673	55	0	0	Minimum pension liability			
5331													3094	0	128	0	0	128	0	0	157	2809	0	0	0	rental security deposits payable to subsidiary			
5461													2868	0	1710	0	0	0	0	0	34	1021	103	1659	0				
5751													656	0	432	57	0	352	0	0	68	99	0	74	0	Post Retirement Benefit Costs			
6039													339	0	0	0	0	0	0	0	242	97	0	0	0				
6141													167	0	0	0	0	0	0	0	119	48	0	0	0				
6329													2862	0	1419	0	74	0	0	0	1068	375	0	1308	0				
6972													10937	0	8102	0	0	0	0	0	379	1956	500	7105	0				
7009													9192	0	1105	0	0	0	0	0	68	8019	0	0	1105				
7045													458	0	0	126	0	0	0	0	125	207	0	0	0				
7157													419	0	0	60	0	0	0	0	151	208	0	0	0				
7456													97	0	0	0	0	0	0	0	59	38	0	0	0				
7634													240	0	79	0	0	66	0	0	121	40	0	0	0	NET EFT SETTLEMENT			
8033													1644	0	1050	146	47	13	0	0	370	78	0	990	0	OTHER LIABILITIES			
8462													227	0	0	0	0	0	0	0	178	49	0	0	0				
8631													340	0	210	0	0	0	0	0	48	82	0	210	0				
9357													1562	0	350	0	0	180	100	0	2	1210	0	0	0	Landlord Allowance	Reserve for Letters of Credit		
9553													974	0	0	456	0	0	0	0	68	450	0	0	0				
9807													7735	0	912	0	0	703	0	0	3159	2164	1500	0	0	REVERSE MORTGAGE INSURANCE			
9955													200	0	0	30	0	0	0	0	63	107	0	0	0				
10157													63	0	16	0	0	6	10	0	39	8	0	0	0	Unearned Box Rent	KRD Settlement		
10250													1160	0	352	0	0	0	0	0	796	12	0	196	0				
10849													1151	0	628	0	43	0	0	0	202	321	0	0	416				
10858													3274	0	584	1110	519	0	0	0	266	1274	40	0	0				
11145													1071	0	0	0	0	0	0	0	120	951	0	0	0				
11640													2403	0	687	0	0	0	0	0	963	753	0	687	0				
11837													596	0	32	0	0	31	0	0	63	501	0	0	0	Due to Mastercard			
12030													2748	0	1561	0	581	0	0	0	653	534	0	885	0				
12142													2351	0	1984	27	0	0	0	0	301	39	0	1458	0				
12245													650	0	5	72	0	0	0	0	190	383	0	0	0				
12311	557460	0	310416	0	96703	0	0	0	165739	39688	0	0									41617								
12647													240	0	0	0	0	0	0	0	96	144	0	0	0				
12656													42	0	0	0	0	0	0	0	40	2	0	0	0				
12937													1321	0	50	812	30	0	0	0	325	134	0	0	0				
12946													6047	0	4547	0	0	0	0	0	530	970	0	4400	0				
12955													293	0	24	0	0	0	0	0	98	171	0	0	0				
13037													426	0	78	0	78	0	0	0	145	203	0	0	0				
13103													16865	0	13668	0	0	13552	0	0	764	2415	18	0	0	DEFINED BENEFIT RETIREMENT PLAN LIABILITY			
13251													122	0	46	0	0	46	0	0	76	0	0	0	0	Deffered gains on ORE			
13457													96	0	0	82	0	0	0	0	14	0	0	0	0				
14052													216	0	32	23	0	0	0	0	98	63	0	30	0				
14155													576	0	175	0	7	0	0	0	132	269	0	165	0				
14454													72	0	0	0	0	0	0	0	58	14	0	0	0				
14650													333	0	165	0	0	0	0	0	7	161	0	165	0				
14753													522	0	0	371	0	0	0	0	149	2	0	0	0				
14865													1249	0	794	0	0	0	0	0	182	248	25	657	0				
14977													117	0	1	0	0	0	0	0	66	50	0	0	0				
16337													1044	0	13	0	0	0	0	0	636	395	0	0	0				
16458													980	0	9	23	0	0	0	0	551	397	0	0	0				
16551													453	0	2	0	0	0	0	0	252	199	0	0	0				
16748													474	0	231	60	0	0	0	0	59	109	15	210	0				
16944													209	0	0	71	0	0	0	0	64	74	0	0	0				
16953													118	0	0	0	0	0	0	0	92	26	0	0	0				
17110													2147	0	481	0	162	278	0	0	72	1594	0	0	0	DEFERRED TENANT IMPROVEMENT LIABILTY			
17147													18977	0	4318	0	0	0	0	0	3260	11399	0	0	4161				
17259													1309	0	785	0	0	0	0	0	60	464	0	785	0				
17464													23377	0	1070	1086	1	0	0	0	1049	19231	941	0	0				
17950													2702	0	1204	0	152	0	0	0	271	1157	70	1007	0				
18050													1176	0	239	0	0	131	92	0	195	742	0	0	0	Drafts in Process	ATM/Debit Cards		
18135													719	0	12	0	0	0	0	0	263	444	0	0	0				
18377													79	0	5	48	0	0	0	0	26	0	0	0	0				
18827													1503	0	129	975	0	0	0	0	278	121	0	0	0				
18836													1409	0	786	0	0	0	0	0	176	447	0	755	0				
18854													425	0	25	0	0	25	0	0	224	176	0	0	0	CDAR Incoming Rate Bridge			
18957													51	0	0	19	0	0	0	0	32	0	0	0	0				
19356													1252	0	1115	0	0	0	0	0	62	75	0	1115	0				
19730													13540	0	63	0	42	0	0	0	1376	12101	0	0	0				
19936													741	0	469	0	0	0	0	0	261	11	0	464	0				
19972													695	0	647	0	0	647	0	0	1	47	0	0	0	accrued life insurance			
20053													243	0	94	0	94	0	0	0	90	59	0	0	0				
20370													1912	0	155	0	0	0	0	0	715	1042	0	155	0				
20512													3893	0	3348	0	0	0	0	0	52	493	0	0	0				
20633													2011	0	0	0	0	0	0	0	412	1599	0	0	0				
20857													406	0	42	0	0	0	0	0	184	180	0	42	0				
20866													1287	0	69	0	0	0	0	0	107	1081	30	0	0				
21256													6	0	0	0	0	0	0	0	6	0	0	0	0				
21359													42	0	0	0	0	0	0	0	24	18	0	0	0				
21630													834	0	623	0	524	0	0	0	65	146	0	0	0				
21658													953	0	586	0	0	0	0	0	227	140	0	586	0				
22048													1525	0	785	0	0	0	0	0	442	298	0	680	0				
22356													1947	0	0	955	0	0	0	0	250	742	0	0	0				
22459													394	0	224	0	0	0	0	0	99	71	0	117	0				
22543													570	0	1	0	0	0	0	0	55	514	0	0	0				
22552													329	0	185	0	0	185	0	0	102	42	0	0	0	AG-BMP			
22730													368	0	74	159	0	0	0	0	49	86	0	0	0				
22936													946	0	440	0	0	102	0	0	484	22	0	189	0	ATM Suspense			
22954													233	0	21	0	0	0	0	0	212	0	0	0	0				
23045													102	0	24	0	24	0	0	0	18	60	0	0	0				
23241													29845	0	8126	0	0	8099	0	0	5807	15710	202	0	0	Customer derivative contracts			
23456													359	0	0	0	0	0	0	0	220	139	0	0	0				
23504													11852	0	6268	1611	0	4227	0	0	510	3463	0	1710	0	Funds Due to Securities Broker			
23540													2803	0	4	1847	4	0	0	0	127	825	0	0	0				
