"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG167	RCONG168	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	AMT NONINT ACTS GE 250K	NBR NONINT ACT GE 250K	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	
37																0	4485	365	0	0	57096	5225	4064	8	65646	0					0	0	0	0	0	0	0	0	0		
242																0	3676	164	0	0	19491	2801	1439	3	24606	0			0	0	0	0	0	0	0	0	0	0	0		
279																0	12160	372	415	1	87602	7050	3054	10	103231	0			261	1	0	0	0	0	0	0	0	0	0		
354																0	0	0	0	0	7465	792	873	2	8338	0			320	1	0	0	0	0	0	0	0	0	0		
457																0	1630	117	0	0	24624	2626	2712	7	28966	0			0	0	0	0	0	0	0	0	0	0	0		
505																0	8703	479	273	1	198319	19746	71217	98	278512	0					0	0	0	0	0	0	0	0	1338		
1155																0	13051	633	869	3	130058	12573	29480	41	173458	0	179108	0	7721	10	0	0	0	0	0	0	0	0	0		
1351																0	7703	257	908	2	71669	5065	45235	93	125515	0					0	0	0	0	0	0	0	0	0		
1454																0	21407	1560	1459	5	276998	31991	121644	168	421508	0					0	0	0	0	0	0	0	0	0		
1557																0	2063	341	0	0	33935	2587	9463	21	45461	0					0	0	0	0	0	0	0	0	0		
1669																0	12710	541	0	0	137448	12595	56245	44	206403	0			9885	16	0	0	0	0	0	0	0	0	0		
1829																0	20888	1788	3931	7	245907	25649	64511	99	335237	0			13914	26	0	0	0	0	0	0	0	0	3331		
1856																0	0	0	0	0	101496	880	4050	5	105546	0			0	0	0	0	0	0	0	0	0	0	0		
2040																0	8478	494	0	0	124532	8882	32004	45	165013	0	166638	0			0	0	0	0	0	0	0	0	9237		
2161																0	7151	352	353	1	71158	7212	28540	37	107202	0					0	0	0	0	0	0	0	0	0		
2376															84300	0	74872	3894	2630	9	1043308	59660	186866	412	1307676	0	1325401	0	9382	18	0	0	0	0	0	0	0	0	0		
2451																0	509	73	0	0	26578	1394	0	0	27087	0			0	0	0	0	0	0	0	0	0	0	0		
2554																0	89	1	0	0	7254	506	1250	2	8631	38			0	0	0	0	0	0	0	0	0	0	0		
2732																0	13710	559	567	2	227050	10421	204600	218	445927	0			25444	41	0	0	0	0	0	0	0	0	0		
2750																0	1872	114	0	0	33149	2313	10828	21	45849	0					0	0	0	0	0	0	0	0	0		
3252																0	5465	262	0	0	57747	6665	65237	55	128449	0			41920	32	0	0	0	0	0	0	0	0	0		
3458																0	710	26	0	0	19524	1779	4560	6	24794	0			0	0	0	0	0	0	0	0	0	0	0		
