"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
37								7382										
242								1334										
279								6449										
354								348										
457								2355										
505								64321	6	0	0	0	1368	967	0	967	61980	
1155								12368										
1351								2412										
1454								50607	7642	0	0	0	6243	431	0	431	36291	
1557								3710										
1669								25218										
1829								56592	2399	0	0	0	2070	5339	0	5339	46784	
1856								33790										
2040								2530										
2161								19246										
2376								119739	0	0	0	0	2508	86836	0	86836	30395	
2554								3800										
2732								62497	2981	0	0	0	3152	17148	0	17148	39216	
2750								2414										
3252								7051										
3458								5585										
3720								17675										
3953								2194										
4138								16477										
4156								5454										
4231								8244										
4437								11763										
4839								5062	1607	0	0	0	1847	792	0	792	816	
5005								27686	1557	0	0	0	1272	1551	0	1551	23306	
5069								57041	0	0	0	0	146	3282	0	3282	53613	
5135								38409	0	0	0	0	3457	5226	0	5226	29726	
5210								32864	7437	0	0	0	7529	6665	0	6665	11233	
5331								4928	550	0	0	0	1030	1424	0	1424	1924	
5461								34032	3944	0	0	0	7890	554	0	554	21644	
5751								1166										
6039								12451										
6141								4570										
6329								39271	73	0	0	0	6630	11686	0	11686	20882	
6972								50921	6775	0	0	0	5213	1194	0	1194	37739	
7009								3422	284	2000	2000	0	15	1098	0	1098	25	
7045								17268										
7157								671										
7456								693										
7634								8302										
8033								5283										
8462								16742										
8631								2961										
9357								8218	6775	0	0	0	734	691	0	691	18	
9553								6560										
9807								269327	11517	0	0	0	6133	14126	0	14126	237551	
9955								18506										
