"IDRSSD"	RCONF066	RCONF067	RCONF068	RCONF069	RCONF070	RCONF071	RCONF072	RCONF073	RCONF670	RCONF671	RCONF672	RCONF673	RCONF674	RCONF675	RCONF676	RCONF677	RCONF678	RCONF679	RCONF680	RCONF681	RIADF184	RIADF560	
	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	RTL ORGTN QTR 1-4 RES MTG LN TOT CMI	RTL ORGTN QTR 1-4 RES MTG LN PRNPL A	WHOL ORGTN QTR 1-4 RES MTG LN TOT CM	WHOL ORGTN QTR 1-4 RES MTG LN PRNPL 	1-4 RES MTG LN HLD SALE QTR TOT CMTM	1-4 RES MTG LN HLD SALE QTR PRNPL AM	1-4 RES MTG LN HLD SALE TOT CMTM CR	1-4 RES MTG LN HLD SALE QTR PRNPL CR	RPRH INDMN 1-4 RES MTG CL 1ST LIEN	RPRH INDMN 1-4 RES MTG CL JR LIEN	RPRH INDMN 1-4 RES MTG TOT CMTM OL	RPRH INDMN 1-4 RES MTG PRNPL AMT OL	NONINT INC FOR QTR FROM SALE 1-4 MTG	NONINT INC FROM SALE OE 1 TO 4 RES M	
37																							
242																							
279																							
354																							
457																							
505																							
1155																							
1351																							
1454																							
1557																							
1669																							
1829																							
1856																							
2040																							
2161																							
2376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2554																							
2732																							
2750																							
3252																							
3458																							
3720																							
3953																							
4138																							
4156																							
4231																							
4437																							
4839																							
5005																							
5069																							
5135																							
5210																							
5331																							
5461																							
5751																							
6039																							
6141																							
6329																							
6972																							
7009																							
7045																							
7157																							
7456																							
7634																							
8033																							
8462																							
8631																							
9357	0	0	1108620	0	1062155	0	233991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9553																							
9807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	
9955																							
10250																							
10849																							
10858	7976	0	0	0	5791	0	2297	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	
11145																							
11640																							
11837																							
12030																							
12142																							
12245																							
12311	1024822	0	188617	0	1043024	0	699001	0	0	0	0	0	0	0	0	0	39694	0	0	0	27883	0	
12647																							
12656																							
12937																							
12946																							
12955																							
13037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13103	8500	0	0	0	7413	0	1645	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	
13251																							
13457																							
14052																							
14155																							
14454																							
14650																							
14753																							
14865																							
14977																							
16337																							
16458																							
16551																							
16748																							
16944																							
16953																							
17110																							
17147	78890	0	0	0	71100	0	15390	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	
17259																							
17464	145	0	0	0	177	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	
17950																							
18050																							
18135																							
18377																							
18827																							
18836																							
18854																							
18957																							
19356																							
19730	26707	0	26204	0	48063	0	7035	0	0	0	0	0	0	0	0	0	0	0	0	0	986	0	
19936																							
19972																							
20053																							
20370																							
20512																							
20633																							
20857																							
21256																							
21359																							
21630																							
21658																							
22048																							
22356																							
22459																							
22543																							
22552																							
22730																							
22936																							
22954																							
23045																							
23241	17479	0	0	0	17496	0	4148	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	
23456																							
23504																							
23540																							
23643																							
23755	36129	0	0	0	36129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23812	355370	448	130004	0	496564	295	155628	153	0	0	0	0	0	0	0	0	0	0	0	0	11176	0	
24006																							
24453	2725	0	0	0	3061	0	869	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	
24659																							
24668																							
24855																							
24949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25357																							
25647																							
26149																							
26242																							
26457																							
26765																							
26859																							
26916	10293	0	0	0	8817	0	2681	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	
27548	56385	0	0	0	53397	0	4903	0	0	0	0	0	0	0	0	0	0	0	0	0	481	0	
27614																							
27847																							
28152																							
28255																							
28349																							
28406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28572																							
28732																							
29104	3493	0	0	0	3493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29636																							
29953																							
30052																							
30258	43751	0	0	0	48399	0	798	0	0	0	0	0	0	0	0	0	0	0	0	0	967	0	
30418																							
30502	41530	0	0	0	38664	0	4399	0	0	0	0	0	0	0	0	0	0	0	0	0	958	0	
30650																							
30810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31134																							
31255																							
31657																							
31826																							
31835																							
32234																							
32766																							
33147																							
33259																							
33268																							
33727																							
33754																							
33839																							
33857																							
34153																							
34359																							
34425																							
34434																							
34452																							
34537	29000	0	0	0	28315	0	6556	0	0	0	0	0	0	0	0	0	0	0	0	0	611	0	
34555																							
34742																							
34836																							
35057																							
35301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35570	213310	0	0	0	222631	0	23658	0	0	0	0	0	0	0	0	0	0	0	0	0	3630	0	
35646																							
35842																							
36054	1258	0	22165	0	21802	0	3793	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	
36344																							
36456																							
36858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36933																							
37051																							
37341																							
37378																							
37435	19578	0	0	0	18652	0	3171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37640	42407	0	0	0	39548	0	13627	0	0	0	0	0	0	0	0	0	0	0	0	0	802	0	
37659																							
37743																							
37949																							
38535																							
38740																							
39327																							
39420	9612	0	0	0	8667	0	2379	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	
39475	33742	0	0	0	32402	0	7884	0	0	0	0	0	0	0	0	0	0	0	0	0	729	0	
39756																							
40033																							
40350																							
40707																							
40855																							
41245																							
41553																							
41629																							
41647	7035	0	0	0	7929	0	703	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	
41759																							
41825																							
41937																							
41955																							
42037																							
42055																							
42354																							
42420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
42448																							
42457																							
43052																							
43351																							
43454																							
43511																							
43744																							
43856																							
43959																							
44040																							
44433																							
44741																							
44750																							
44929																							
45038																							
45047																							
45056																							
45430																							
45458																							
45551																							
45560																							
45775																							
46053																							
46941																							
47153																							
47247																							
47256																							
47452																							
47500																							
48057																							
48150																							
48374	45248	10	0	0	40418	14	11476	7	0	0	0	0	0	0	0	0	114	0	0	0	1272	0	
48440																							
48730																							
49054																							
49148																							
49241																							
49344																							
49643																							
49652																							
49821																							
49858																							
49951																							
50144																							
50461																							
50546																							
50854																							
50957																							
51253																							
51356																							
51459																							
51730																							
51842	16688	0	0	0	16548	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
52410																							
52719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
52951																							
53015																							
53033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	35	
53051																							
53239																							
53453																							
53752																							
54049																							
54058																							
54357																							
54375																							
54441																							
54656																							
55176																							
55336																							
55635																							
55653																							
56258																							
56351																							
56427																							
56548																							
56557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
56717																							
57040																							
57228																							
57255																							
57451																							
57572																							
57956																							
58074																							
58207																							
58225																							
58243	506085	0	0	0	375186	0	176734	0	0	0	0	0	0	0	0	0	155	0	0	0	261	0	
58355																							
58551																							
58636																							
58757																							
58971	43038	0	0	0	31689	0	16452	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	
59316																							
59352																							
59679																							
59754																							
60143	42443	0	0	0	44410	0	5599	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	
60330																							
60433																							
60545																							
60554																							
60648																							
61122	4152	0	0	0	4607	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	
61355	45681	0	0	0	48460	0	5847	0	0	0	0	0	0	0	0	0	0	0	0	0	841	0	
61476																							
61757																							
61832																							
61953																							
62044																							
62110																							
62147																							
63050																							
63069	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-22	0	
63078	42406	0	0	0	38916	0	7785	0	0	0	0	0	0	0	0	0	0	0	0	0	697	0	
63201																							
63359																							
63573																							
63733																							
63742																							
63751																							
64150	13790	0	0	0	13723	0	2607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
64543	14617	0	0	0	13280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	
64552																							
64619	113642	0	7128	0	127777	0	34046	0	0	0	0	0	0	0	0	0	173	0	0	0	2458	0	
64730																							
65205																							
65241																							
65513																							
65559																							
65746	24488	0	0	0	24634	0	5074	0	0	0	0	0	0	0	0	0	0	0	0	0	474	0	
65858	0	0	5848	0	6765	0	371	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	
66015																							
66154																							
66172																							
66275																							
66837																							
67142																							
67151																							
67209																							
67254																							
67311	175397	0	0	0	174621	0	24531	0	0	0	0	0	0	0	0	0	10	0	0	0	4006	0	
68345																							
68448																							
68756																							
68831																							
68840																							
68859																							
68943																							
69333	17100	0	0	0	12439	0	5772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
69678																							
69847																							
70049																							
70058																							
70218																							
70414																							
70638																							
70955																							
71318																							
71457																							
71859																							
72258																							
72351																							
72454																							
72678																							
73031																							
73116																							
73152																							
73554																							
73956																							
74056																							
74140	24629	0	0	0	21502	0	3591	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	
74159																							
74403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
74449																							
74458																							
75053																							
75259																							
75446																							
75455																							
75558																							
75633	228638	0	198	0	241504	0	8799	0	0	0	0	0	0	0	0	0	2202	0	0	0	6435	0	
75651																							
76135																							
76153																							
76443																							
76854																							
77150																							
77253																							
77422																							
77758																							
77851	18709	0	0	0	19886	0	3165	0	0	0	0	0	0	0	0	0	0	0	0	0	540	0	
78036																							
78157																							
78241																							
78559																							
78858	86349	0	0	0	89024	0	17112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
79042																							
79127																							
79145																							
79257																							
79855																							
80020																							
80150																							
80431																							
80552																							
80936																							
81429																							
82033																							
82257																							
82350																							
82659																							
83151																							
83236																							
83375	16171	0	292	0	14404	0	6675	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	
83638	130	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
83834																							
83852																							
83955																							
84046																							
84055																							
84251																							
84541																							
84804																							
85052																							
85258																							
85454																							
85931																							
86349																							
86358																							
86527	20775	0	0	0	17779	0	6681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
86554																							
87047																							
87159																							
87234																							
87476																							
88240																							
88259																							
88352																							
88455																							
88530																							
88950																							
89032																							
89135																							
89162																							
89751																							
89854																							
89957																							
90047																							
90328																							
90337																							
90645																							
90739																							
91156																							
91259																							
91615																							
91651																							
91754																							
91950																							
92050																							
92144																							
92706																							
92854																							
92902																							
93244																							
93413																							
93543																							
93619																							
93721	109417	0	0	0	86044	0	57328	190	0	0	0	0	0	0	0	0	0	0	0	0	1497	0	
93758																							
94139																							
94456																							
94522																							
94755																							
94858																							
95051																							
95659																							
96553																							
97055																							
97279																							
97457																							
97804																							
97943																							
98351																							
98454																							
98463																							
98548																							
98641																							
98717																							
99059																							
99143																							
99255																							
99442																							
99536																							
99853																							
99974																							
100236																							
100357																							
100553																							
100562	58845	0	0	0	53543	0	9455	0	0	0	0	0	0	0	0	0	0	0	0	0	812	0	
100843																							
101019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
101037																							
101345																							
101439																							
101671																							
101738																							
101952																							
102155																							
102333																							
102342																							
102539																							
102557																							
103134																							
103255	17942	0	0	0	16702	0	2829	0	0	0	0	0	0	0	0	0	0	0	0	0	716	0	
103554																							
103563																							
103602																							
104038	10468	0	0	0	9727	0	3573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
104056																							
104234																							
104430																							
104542																							
105026																							
105044																							
105053	0	0	259160	0	235512	0	67899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
105071																							
105222																							
105530																							
105633																							
106359	9015	0	0	0	9152	0	1549	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	
106377	9573	0	0	0	5450	0	4408	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	
106452																							
106519																							
106546																							
106658																							
107057																							
107226																							
107244	55452	0	0	0	47745	0	16998	0	0	0	0	0	0	0	0	0	0	0	0	0	660	0	
107431																							
107459																							
107758																							
108269																							
108652																							
108746																							
108951																							
109136																							
109154																							
109453																							
109574																							
109659																							
110413	13397	0	0	0	12865	0	912	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	
110655																							
110936																							
110945																							
111157																							
111205																							
111559																							
111661																							
111942																							
111979																							
112163	17715	0	0	0	18317	0	2754	0	0	0	0	0	0	0	0	0	177	0	0	0	319	0	
112332																							
112444																							
112510																							
112556																							
112837	401381	0	0	0	388960	0	153839	0	0	0	0	0	0	0	0	0	1087	0	0	0	28896	-261	
113003																							
113030																							
113441																							
113601																							
113740																							
113937																							
114149																							
114158																							
114251																							
114260	52802	156	0	0	53228	156	12715	0	0	0	0	0	0	0	0	0	0	0	0	0	718	0	
114457																							
114756																							
114774																							
114840																							
114859																							
115100																							
115146																							
115155																							
115221																							
115575																							
115641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
116077																							
116358																							
116554																							
