"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ651	RCONJ652	RCONJ944	RCONJ945	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	AVG DAILY AMT NONINT ACTS GT 250K	AVG DAILY NBR NONINT ACT GT 250K	AMT NONINT ACTS GT 250K DODD FRANK A	NBR NONINT ACT GT 250K DODD FRANK AC	PB/PSA FDIC CERTIFICATE NUMBER	
37																0	4484	360	0	0	58226	5172	3911	6	66622	0			0	0	0	0	0	0	0	0	0			338	1		
242																0	1719	136	0	0	21553	2769	326	1	23598	0			0	0	0	0	0	0	0	0	0	337	1.00	326	1		
279																0	11683	359	401	1	86270	7061	4492	14	102846	0			0	0	0	0	0	0	0	0	0	0	0.00	730	2		
354																0	0	0	0	0	7481	781	1366	3	8847	0			0	0	0	0	0	0	0	0	0	533	1.30	811	2		
457																0	1755	116	252	1	24228	2571	4487	10	30722	0			0	0	0	0	0	0	0	0	0			669	1		
505																0	8683	475	0	0	197966	19563	101373	92	308022	0			0	0	0	0	0	0	0	0	1518			9489	18		
1155																0	13629	628	886	3	133063	12606	24887	46	172465	0	176462	0	0	0	0	0	0	0	0	0	0	15220	13.52	5639	10		
1351																0	8166	267	640	1	71030	5030	52519	108	132355	0			0	0	0	0	0	0	0	0	0			0	0		
1454																0	21321	1557	1518	5	287130	31827	124537	182	434506	0			0	0	0	0	0	0	0	0	0			40989	63		
1557																0	1988	344	0	0	34914	2581	10633	26	47535	0			0	0	0	0	0	0	0	0	0			1269	2		
1669																0	12401	520	0	0	134596	12383	55105	46	202102	0			0	0	0	0	0	0	0	0	0	6878	15.14	6300	14		
1829																0	20315	1721	3749	6	244258	25059	68275	106	336597	0			0	0	0	0	0	0	0	0	2649	16454	24.00	18812	26		
1856																0	0	0	0	0	90165	902	3578	5	93743	0			0	0	0	0	0	0	0	0	0	0	0.00	0	0		
2040																0	8318	502	0	0	115564	8580	38395	51	162277	0	160802	0	0	0	0	0	0	0	0	0	715			14772	11		
2161																0	7501	316	354	1	73794	7120	31973	35	113624	0			0	0	0	0	0	0	0	0	0			8374	8		
2376															109000	0	78506	3900	2097	7	1011345	56901	208897	401	1300845	0	1287122	0	0	0	0	0	0	0	0	0	0	13908	19.51	11941	21		
2554																0	121	2	0	0	8079	525	1652	2	9892	40			0	0	0	0	0	0	0	0	0			902	1		
2732																0	14721	570	283	1	232003	10575	197602	212	444609	0			0	0	0	0	0	0	0	0	0	28611	46.73	23136	42		
2750																0	1950	114	0	0	32700	2205	9110	18	43760	0			0	0	0	0	0	0	0	0	0			0	0		
3252																0	5828	261	0	0	61926	6441	57061	53	124815	0			0	0	0	0	0	0	0	0	0	47010	37.98	37242	33		
3458																0	621	24	0	0	19501	1746	4956	8	25078	0			0	0	0	0	0	0	0	0	0			274	1		
3720																0	7464	301	635	2	105824	12217	37836	52	151758	0			0	0	0	0	0	0	0	0	0	8192	17.00	9232	19		
3953																0	343	18	0	0	90570	6676	16382	30	107296	0			0	0	0	0	0	0	0	0	0	5809	9.96	11707	22		
