"IDRSSD"	RCON8774	RCON8775	RCON8776	RCON8777	RCON8778	RCON8779	RCONA000	RCONA001	RCONA002	RCONA167	RCONA221	RCONA222	RCONA223	RCONA224	RCONA250	RCONB503	RCONB504	RCONB505	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB596	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC227	RCONC228	RCONC869	RCONF264	RCONG591	RCONG592	RCONG593	RCONG594	RCONG595	RCONG596	RCONG597	RCONG598	RCONG599	RCONG600	RCONG601	RCONG602	
	OTH PRECS METL-MAT ONE YEAR OR LESS	OTH PRECS METL-MAT OVER 1 THRU 5 YRS	OTH PRECS METL-MAT OVER 5 YEARS	OTHR COMMODITY-MAT ONE YEAR OR LESS	OTHR COMMODITY-MAT OVER 1 THRU 5 YRS	OTHR COMMODITY-MAT OVER 5 YEARS	EQUITY CONTRCT-MAT ONE YEAR OR LESS	EQUITY CONTRCT-MAT OVER 1 THRU 5 YRS	EQUITY CONTRCT-MAT OVER 5 YEARS	EQUIV AMT OF OFF-B/S DERIVATIVES	NET UNREAL LOSS ON AFS EQTY SEC	EXCESS ALLOWANCE FOR LN&LEASE LOSSES	RISK-WEIGHTED ASSETS	AVG TOT ASSET NET DEDUCTIONS	AMT OF RETAINED RECOURSE ON SBO'S	ADJSTMNT TO TOTL RSK-BASED CPTL	ADJUSTMENT TO RWA	ADJUSTMENT TO AVERAGE TOTAL ASSETS	FED FNDS SLD&SECS PRCHD UDR AGMT-100	LOANS & LEASES, NET UNEARNED INCOME	RECOURSE & DIRECT CRD SUBS-FACE VALU	RECOURSE&DIRCT CRDT SUBS-CRDT EQ AMT	RECOURSE&DIRECT CRDT SUBSTITS-100%	FINCL STANDBY LTTRS OF CRD-FACE VALU	FINCL STANDBY LETTRS OF CRD-EQVL AMT	FINANCIAL STANDBY LETTRS OF CRDIT-0%	FINANCIAL STANDBY LETTRS OF CRDT-20%	FIANCIAL STANDBY LETTRS OF CRDIT-50%	FINANCIAL STANDBY LETTRS OF CRD-100%	NONQUALIFYING PERPETUAL PREFER STOCK	QUALIFYING MINORITY INT CONSOL SUBS	DISALLOWD GOODWILL&OTH INTANG ASSETS	DISALLOWD SERVICING ASSETS & PCCR'S	OTHER ADDITIONS(DEDUCT) FROM TIER1	CUMULATIVE PERPETUAL PREFERRED STOCK	OTHER TIER 2 CAPITAL COMPONENTS	DEDUCTIONS FOR TOTL RISK-BASED CAPTL	OTHR DEDUCT FR ASSETS FOR LEVRGE CAP	CASH & BAL DUE FROM DI'S: 0% RSK-WGT	CASH & BAL DUE FROM DI'S: 20% RSK-WT	CASH & BAL DUE FROM DI'S:100% RSK-WT	H-T-M SECURITIES-NOT SUBJECT RSK-WT	HELD-TO-MATUR SECURITIES: 0% RSK-WGT	HELD-TO-MATUR SECURITIES: 20%RSK-WGT	HELD-TO-MATUR SECURITIES: 50%RSK-WGT	HELD-TO-MATUR SECURITIES:100%RSK-WGT	A-F-S SECURITES - NOT SUBJECT RSK-WT	AVAIL-FOR-SALE SECUR: 0% RISK-WGT	AVAIL-FOR-SALE SECUR: 20% RISK-WGT	AVAIL-FOR-SALE SECUR: 50% RISK-WGT	AVAIL-FOR-SALE SECUR: 100% RISK-WGT	LOANS&LEASES H-F-S: NOT SUBJ RSK-WGT	LOANS & LEASES H-F-S: 0% RISK-WEIGHT	LOANS & LEASES H-F-S: 20% RISK-WGT	LOANS & LEASES H-F-S:-50% RISK-WGT	LOANS & LEASES H-F-S: 100% RISK-WGT	LOANS & LEASES,NET: NOT SUBJ RSK-WGT	LOANS & LEASES, NET: 0% RISK-WEIGHT	LOANS & LEASES, NET: 20% RISK-WEIGHT	LOANS & LEASES, NET: 50% RISK-WEIGHT	LOANS & LEASES,NET: 100% RISK-WEIGHT	TRADING ASSETS: NOT SUBJ RISK-WGT	TRADING ASSETS: 0% RISK-WEIGHT	TRADING ASSETS: 20% RISK-WEIGHT	TRADING ASSETS: 50% RISK-WEIGHT	TRADING ASSETS: 100% RISK-WEIGHT	OTHER ASSETS - TOTALS	OTHER ASSETS - NOT SUBJ RISK-WGT	OTHER ASSETS: 0% RISK-WEIGHT	OTHER ASSETS: 20% RISK-WEIGHT	OTHER ASSETS: 50% RISK-WEIGHT	TOTAL ASSETS: NOT SUBJ RISK-WGT	PERFORM STANDBY LETRS OF CRDT-EQUIV	PERFORM STANDBY LETRS OF CRDT-0% R/W	PERFORM STANDBY LETRS OF CRDT-20%R/W	PERFORM STANDBY LETRS OF CRDT-50%R/W	PERFORM STANDBY LETRS OF CRDT-100%	CMMRCL&SIMILAR LETTRS OF CRDT-EQUIVL	COMMERCIAL &SIM LETRS OF CRDT-0%	COMMERCIAL &SIM LETRS OF CRDT-20%	COMMERCIAL &SIM LETRS OF CRDT-50%	COMMERCIAL &SIM LETRS OF CRDT-100%	RSK PARTICPTNS IN BKRS ACCPTNCS-EQVL	RISK PARTIC IN BKRS ACCEPT - 0%	RISK PARTIC IN BKRS ACCEPT - 20%	RISK PARTIC IN BKRS ACCEPT - 100%	SECURITIES LENT-CREDIT EQUIVALNT AMT	SECURITIES LENT - 0%	SECURITIES LENT - 20%	SECURITIES LENT - 50%	SECURITIES LENT - 100%	RECOURSE ON SMALL BUS OBLIG - EQUIV	RECOURSE ON SMALL BUS OBLIG - 0%	RECOURSE ON SMALL BUS OBLIG - 20%	RECOURSE ON SMALL BUS OBLIG - 50%	RECOURSE ON SMALL BUS OBLIG - 100%	OTHR FNCL ASSETS SOLD W/RECRS ($AMT)	OTHR FNCL ASSETS SOLD W/RECRS (EQUIV	OTHR FNCL ASSETS SOLD W/RECRS-0%	OTHR FNCL ASSETS SOLD W/RECRS-20%	OTHR FNCL ASSETS SOLD W/RECRS-50%	OTHR FNCL ASSETS SOLD W/RECRS-100%	ALL OTH OFF-BALNCE SHEET LIABILITIES	ALL OTH OFF-BAL SHEET LIABS-CDT EQVL	ALL OTH OFF-BAL SHEET LIABILITIES-0%	ALL OTH OFF-BAL SHEET LIABILTIES-20%	ALL OTH OFF-BAL SHEET LIABILTIES-50%	ALL OTH OFF-BAL SHEET LIABLTIES-100%	CMMTMNTS W/AN ORGNL MAT,ETC-CRD EQVL	CMMTMTS W/AN ORGNL MAT EXCDNG 1YR-0%	CMMTMNTS W/AN ORGNL MAT EXCD 1YR-20%	CMMTMTS W/AN ORGNL MAT EXCDG 1YR-50%	CMMTMTS W/AN ORGNL MAT EXCD 1YR-100%	DERIVATIVE CONTRACTS - 0%	DERIVATIVE CONTRACTS - 20%	DERIVATIVE CONTRACTS - 50%	TOT ASSTS,DERVTVS,&OFF-BAL SHT-0%	TOT ASSTS,DERVTVS,&OFF-BAL SHT - 20%	TOT ASTS,DERVTVS,&OFF-BAL SHT - 50%	TOT ASTS,DERVTVS,&OFF-BAL SHT - 100%	RSK-WGHTD ASTS BY RSK WGHT CTGRY-0%	RSK-WGHTD ASTS BY RSK WGHT CTRY-20%	RSK-WGHTD ASTS BY RSK WGHT CTGRY-50%	RSK-WGHTD ASTS BY RSK WGH CTGRY-100%	RSK-WGHTD ASTS BEFORE DEDCTNS - 100%	FED FNDS SLD&SECS PRCHD UDR AGRMT-0%	FED FNDS SLD&SECS PRCHD UDR AGRMT-20	FED FDS SLD&SECS PURC UDR AGRMTS,ETC	SUBTOTAL	ADJMNT TO TIER 1 CPTL	CSH&BALS DU FRM DEP INSTITS-ITMS NT 	CUMULATIVE CHANGE IN FAIR VALUE	UNSD MAT LT 1 YR CMRL FV NA	UNSD MAT LT 1 YR CMRL CR EA	UNSD MAT LT 1 YR CMRL 0% RW CTGRY	UNSD MAT LT 1 YR CMRL 20% RW CTGRY	UNSD MAT LT 1 YR CMRL 50% RW CTGRY	UNSD MAT LT 1 YR CMRL 100% RW CTGRY	PRCH CR PRTC INV GRD MAT LE 1 YR	PRCH CR PRTC INV GRD MAT 1T5 YR	PRCH CR PRTC INV GRD MAT GT 5 YR	PRCH CR PRTC SUBINV GRD MAT LE 1 YR	PRCH CR PRTC SUBINV GRD MAT 1T5 YR	PRCH CR PRTC SUBINV GRD MAT GT 5 YR	
37	0	0	0	0	0	0	0	0	0	0	0	363	48915	83108	0	0	0	0	0	45531	0	0	0	165	165	0	0	0	165	0	0	0	0	0	0	0	0	0	0	8867	0	0	0	0	0	0	-98	2211	10414	15350	0	0	0	0	0	0	0	0	0	20337	25194	0	0	0	0	0	2219	0	0	0	0	-1077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2211	19281	35687	27578	0	3856	17844	27578	49278	0	0	0	16892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
242	0	0	0	0	0	0	0	0	0	0	0	0	32928	33724	0	0	0	0	11	23226	0	0	0	10	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1294	0	0	0	0	0	5	0	0	0	7562	0	0	0	0	0	0	0	0	0	23226	0	0	0	0	0	825	0	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32928	0	0	0	32928	32928	0	0	11	4306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
279	0	0	0	0	0	0	0	0	0	0	0	0	79448	146790	0	0	0	0	0	75752	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6231	0	-670	1089	30758	10653	1340	684	103	12278	2729	6	0	0	0	0	0	0	0	0	47681	28071	0	0	0	0	0	10155	4	0	1316	0	-432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1192	53318	61063	38252	0	10664	30532	38252	79448	0	2735	2735	22701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
354	0	0	0	0	0	0	0	0	0	0	0	149	4968	9860	0	0	0	0	0	4533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	325	0	0	0	0	0	0	42	0	4267	396	0	0	0	0	0	0	0	0	164	1193	3175	0	0	0	0	0	240	80	0	0	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	4937	1589	3335	0	987	795	3335	5117	0	181	181	988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
457	0	0	0	0	0	0	0	0	0	0	0	16	31610	39293	0	0	0	0	0	31765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	2879	0	0	2	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	94	5826	25845	0	0	0	0	0	1342	0	115	204	2	-411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	968	0	0	0	968	0	0	0	301	3951	6003	27834	0	790	3002	27834	31626	0	774	774	3411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
505	0	0	0	0	0	0	0	0	0	0	0	1955	216692	394238	0	0	0	0	0	234349	299	3738	3738	20	20	0	0	0	20	0	0	1091	12	0	0	0	0	0	51287	758	0	0	0	0	0	0	424	1000	72241	1000	11151	0	0	0	195	0	0	0	10012	118612	105725	0	0	0	0	0	17538	1103	1657	3613	0	-3068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10196	0	0	1153	9043	0	0	0	53944	86624	120960	140842	0	17325	60480	140842	218647	0	0	0	29331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1155	0	0	0	0	0	0	0	0	0	0	0	190	154287	209043	0	0	0	0	0	138502	0	0	0	2824	2824	0	0	0	2824	0	0	0	0	0	0	0	0	0	1573	23086	0	0	64	178	0	0	523	1500	21926	2618	0	0	0	0	625	0	0	0	1026	18795	118681	0	0	0	0	0	14277	0	649	1148	0	-1598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3786	47364	22038	133985	0	9473	11019	133985	154477	0	0	0	17107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1351	0	0	0	0	0	0	0	0	0	0	0	0	96843	150526	0	0	0	0	0	71032	0	0	0	1010	1010	0	0	0	1010	0	0	0	0	0	0	0	0	0	1020	0	1625	0	0	45856	11372	7369	55	0	4750	0	0	0	0	0	0	0	0	0	0	12420	58612	0	0	0	0	0	3127	0	0	0	0	-1065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1499	0	0	0	1499	0	0	0	1020	58526	23792	73242	0	11705	11896	73242	96843	0	7920	7920	20488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1454	0	0	0	0	0	0	0	0	0	0	0	400	245307	507714	0	0	0	0	0	219308	0	0	0	48671	48671	0	48556	0	115	0	0	0	0	0	0	0	0	0	27066	3738	0	0	0	0	0	0	-723	11515	196635	11597	11	0	0	0	1543	0	0	0	115	86027	133166	0	0	0	0	0	15087	0	1382	854	0	-4194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39963	249898	99167	146143	0	49980	49584	146143	245707	0	0	0	47349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1557	0	0	0	0	0	0	0	0	0	0	0	3	38245	56048	0	0	0	0	0	33198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502	2728	0	0	0	10598	849	0	93	0	3568	0	0	0	0	0	0	0	0	0	0	2498	30700	0	0	0	0	0	1367	0	0	0	0	-388	34	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	553	0	0	0	553	0	0	0	502	19599	3347	32654	0	3920	1674	32654	38248	0	2705	2705	5234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1669	0	0	0	0	0	0	0	0	0	0	0	1126	113223	250665	0	0	0	0	0	83848	0	0	0	0	0	0	0	0	0	0	0	865	0	0	0	0	0	0	18118	4731	0	0	0	63744	0	18732	1194	2012	39261	0	0	0	0	0	0	0	0	0	0	43215	40633	0	0	0	0	0	12919	865	48	1131	0	-496	0	0	0	0	0	21	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20178	112398	43215	70261	0	22480	21608	70261	114349	0	3531	3531	40878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1829	0	0	0	0	0	0	0	0	0	0	293	779	240059	407252	0	0	0	0	0	256921	102	1275	1275	0	0	0	0	0	0	0	0	8627	0	0	0	0	0	0	56305	8590	0	0	0	0	0	0	992	807	61447	3298	2517	0	0	0	0	0	0	0	171	93216	163534	0	0	0	0	0	21653	8627	4	3110	203	5830	35	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	745	0	0	0	745	0	0	0	57116	73318	96717	177815	0	14664	48359	177815	240838	0	0	0	31898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1856	0	0	0	0	0	0	0	0	0	0	0	0	107143	172312	0	0	0	0	0	38754	1906	23825	23825	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	15654	15369	0	0	0	19500	0	0	1421	0	25685	23418	22840	0	0	0	0	0	0	0	3761	2032	32960	0	0	0	0	0	4697	98	0	3220	187	909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15654	67535	25637	80817	0	13507	12819	80817	107143	0	0	0	17282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2040	0	0	0	0	0	0	0	0	0	0	0	1158	157364	206537	0	0	0	0	0	148372	0	0	0	676	676	0	0	0	676	0	0	0	0	0	0	0	0	0	586	1254	0	0	0	0	0	0	-121	211	30180	7138	3735	0	0	0	498	0	0	0	1547	27667	119158	0	0	0	0	0	10694	0	0	1447	0	-3268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	797	40268	35303	132816	0	8054	17652	132816	158522	0	5840	5840	19736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2161	0	0	0	0	0	0	0	0	0	0	0	0	63707	127615	0	0	0	0	0	60351	0	0	0	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	1286	14625	0	0	1	0	0	0	591	0	37505	0	0	0	0	0	0	0	0	0	0	30105	30246	0	0	0	0	0	6342	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	0	0	0	0	0	0	1602	60330	30105	36588	0	12066	15053	36588	63707	0	8200	8200	12633	0	0	0	2896	290	290	0	0	0	0	0	0	0	0	0	
2376	0	0	0	0	0	0	0	0	0	0	0	1719	1795146	2467614	0	0	0	0	0	1624270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1474	2849	3433	0	0	2128	51356	0	0	-6716	0	732477	0	6554	0	0	0	0	9484	0	0	0	216464	1407807	0	0	0	0	0	130161	-1474	0	30756	0	-32370	305	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4977	818022	216464	1525029	0	163604	108232	1525029	1796865	0	0	0	401269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2554	0	0	0	0	0	0	0	0	0	0	0	0	6473	10173	0	0	0	0	0	5245	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	4340	0	0	0	0	395	0	0	0	0	0	12	0	0	0	0	0	0	0	0	476	4768	0	0	0	0	0	575	289	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4856	871	5066	0	971	436	5066	6473	0	516	516	830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2732	0	0	0	0	0	0	0	0	0	0	0	411	381322	531557	0	0	0	0	0	383163	0	0	0	2639	2639	0	0	0	2639	0	0	1112	0	0	0	0	0	0	44773	14792	0	0	0	0	0	0	1124	0	67686	0	550	0	0	0	0	0	0	0	210	61881	321072	0	0	0	0	0	12846	1112	1920	0	0	-2947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	179	0	0	0	46693	82688	61881	334254	0	16538	30941	334254	381733	0	0	0	72170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2750	0	0	0	0	0	0	0	0	0	0	0	120	42457	56022	0	0	0	0	0	36165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	579	224	0	0	0	0	0	0	-245	2812	8376	2086	2534	0	0	0	0	0	0	0	1227	2672	32266	0	0	0	0	0	3146	0	198	500	50	-888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	841	0	0	0	841	0	0	0	3589	10668	4808	38039	0	2134	2404	38039	42577	0	341	341	5399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
