"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	
37	0	0					148	0	27514					0			0	12844	0	0	0									
242	0	0					212	0	9965					4097			0	4896	2	0	0									
279	0	0					1831	43593	14726					22092			10643	2883	6	0	0									
354	0	0					5	0	5825					0			0	390	0	0	0									
457	0	0					244	177	0					2500			175	0	0	0	0									
505	0	0					3779	0	82843					45500			0	27593	0	0	0									
1155	0	1546					1149	127	26007					0			0	6646	0	0	12759									
1351	0	0					0	67706	4812					0			32228	0	0	0	0									
1454	0	6045					1092	0	217448					0			0	62235	16	0	0									
1557	0	0					146	12152	5145					1697			12152	44	0	0	0									
1669	0	7068					1180	73606	49523					248			19222	0	0	0	0									
1829	0	0					2603	0	78505					24255			0	19188	1576	0	2422									
1856	0	0					2725	14814	59079					54000			1908	4090	0	0	0									
2040	0	0					1546	0	44022					20000			0	21019	0	0	3139									
2161	0	0					796	1	26570					0			0	7910	0	0	0									
2376	0	0					26743	49307	690792					562859			0	0	0	0	0									
2554	0	0					0	673	510					0			673	0	12	0	0									
2732	0	0					174	0	76125					214			0	64830	0	0	0									
