RCON9224,RCON9999,RSSD9017,RSSD9130,RSSD9200,RSSD9220,IDRSSD
,2011-12-31,Bank of Hancock County,Sparta,GA,31087,37
,2011-12-31,"First Community  Bank, Xenia-Flora",Xenia,IL,62899,242
,2011-12-31,MINEOLA COMMUNITY BANK S. S. B.,MINEOLA,TX,75773,279
,2011-12-31,Bison State Bank,Bison,KS,675200328,354
,2011-12-31,LOWRY STATE BANK,LOWRY,MN,56349,457
,2011-12-31,BALLSTON SPA NATIONAL BANK,BALLSTON SPA,NY,12020,505
,2011-12-31,FIRST STATE BANK & TRUST COMPANY,FREMONT,NE,680260549,1155
,2011-12-31,Bank of Grandin,Grandin,MO,63935,1351
,2011-12-31,Hilltop National Bank,Casper,WY,82602,1454
,2011-12-31,The First State Bank,Kiowa,KS,67070,1557
,2011-12-31,Liberty National Bank,Paris,TX,754610919,1669
,2011-12-31,Allegheny Valley Bank of Pittsburgh,Pittsburgh,PA,15201,1829
,2011-12-31,Washita State Bank,Burns Flat,OK,73624,1856
,2011-12-31,Farmers and Merchants Bank,Tomah,WI,54660,2040
,2011-12-31,LAMAR NATIONAL BANK,PARIS,TX,75460,2161
,2011-12-31,Oritani Bank,Twp of Washington,NJ,76761329,2376
,2011-12-31,STATE BANK OF MARIETTA,MARIETTA,MN,56257,2554
,2011-12-31,"Albany Bank & Trust Co., N.A.",Chicago,IL,60625,2732
,2011-12-31,GENOA COMMUNITY BANK,GENOA,NE,68640,2750
,2011-12-31,FIRST NATIONAL BANK OF GORDON,GORDON,NE,69343,3252
,2011-12-31,FARMERS BANK OF GREEN CITY,GREEN CITY,MO,63545,3458
,2011-12-31,Bank of Clarendon,Manning,SC,29102,3720
,2011-12-31,First Capital Bank,Guthrie,OK,73044,3953
,2011-12-31,Kanza Bank,Kingman,KS,67068,4156
,2011-12-31,FARMERS AND MERCHANTS BANK,SYLVANIA,GA,30467,4231
,2011-12-31,First National Bank,Ronceverte,WV,24970,4437
,2011-12-31,Austin Bank of Chicago,Chicago,IL,606441997,4839
,2011-12-31,STONEHAM SAVINGS BANK,STONEHAM,MA,02180,5005
,2011-12-31,First Credit Bank,West Hollywood,CA,90069,5069
,2011-12-31,First State Bank of Blakely,Blakely,GA,39823,5135
,2011-12-31,ACNB Bank,Gettysburg,PA,173250000,5210
,2011-12-31,Hyde Park Bank and Trust Company,Chicago,IL,60615,5331
,2011-12-31,BANK OF AGRICULTURE AND COMMERCE,STOCKTON,CA,95207,5461
,2011-12-31,Kearny County Bank,Lakin,KS,67860,5751
,2011-12-31,ALMA EXCHANGE BANK & TRUST,ALMA,GA,31510,6039
,2011-12-31,TALLAHATCHIE COUNTY BANK,CHARLESTON,MS,38921,6141
,2011-12-31,ANDERSON BROTHERS BANK,MULLINS,SC,295740310,6329
,2011-12-31,FIRST INDEPENDENT BANK,VANCOUVER,WA,986688904,6972
,2011-12-31,Bessemer Trust Company,Woodbridge,NJ,70951191,7009
,2011-12-31,The Peoples Bank,Brownstown,IN,47220,7045
,2011-12-31,THE STATE BANK OF BLUE RAPIDS,BLUE RAPIDS,KS,664110157,7157
,2011-12-31,Bank of Hartington,Hartington,NE,68739-0077,7456
,2011-12-31,THE FOUR COUNTY BANK,ALLENTOWN,GA,31003,7634
,2011-12-31,Peoples Bank & Trust Company of Pointe Coupee Parish,New Roads,LA,70760,8033
,2011-12-31,Perryton National Bank,Perryton,TX,79070,8462
,2011-12-31,Pleasants County Bank,St. Marys,WV,261700240,8631
,2011-12-31,Fidelity Bank,Edina,MN,55435,9357
,2011-12-31,ADAMS COUNTY BANK,KENESAW,NE,689560149,9553
,2011-12-31,Amboy Bank,Old Bridge,NJ,08857,9807
,2011-12-31,"First State Bank And Trust Company Of Larned, The",Larned,KS,67550,9955
,2011-12-31,"Bank Of Elk River, The",Elk River,MN,55330,10250
,2011-12-31,FIRST STATE BANK,LONOKE,AR,72086,10849
,2011-12-31,Platte Valley State Bank and Trust Company,Kearney,NE,68847,10858
,2011-12-31,Lake-Osceola State Bank,Baldwin,MI,49304,11145
,2011-12-31,First National Bank of Clarksdale,Clarksdale,MS,38614,11640
,2011-12-31,The Farmers Bank,Greensboro,GA,30642,11837
,2011-12-31,First National Bank South,ALMA,GA,31510,12030
,2011-12-31,Cleveland State Bank,Cleveland,MS,387321000,12142
,2011-12-31,BANK NORTH,Crivitz,WI,54114,12245
,2011-12-31,The Huntington National Bank,Columbus,OH,43215,12311
,2011-12-31,The Portage County Bank,Almond,WI,54909,12647
,2011-12-31,EMERALD BANK,BURDEN,KS,67019,12656
,2011-12-31,Oak Bank,Chicago,IL,60611,12937
,2011-12-31,Farmers Bank and Trust Company,Magnolia,AR,71753,12946
,2011-12-31,Bank of Nebraska,La Vista,NE,68128,12955
,2011-12-31,Bristol County Savings Bank,Taunton,MA,02780,13103
,2011-12-31,ELYSIAN BANK,ELYSIAN,MN,56028,13251
,2011-12-31,BANK OF LEWELLEN,LEWELLEN,NE,691470248,13457
,2011-12-31,Lincoln Community Bank,Merrill,WI,54452,14052
,2011-12-31,F & C Bank,Holden,MO,64040,14155
,2011-12-31,BANK OF LOCUST GROVE,LOCUST GROVE,OK,743520219,14650
,2011-12-31,"Farmers State Bank Of Bucklin, Kansas, The",Bucklin,KS,67834,14753
,2011-12-31,Bank of Eastern Oregon,Heppner,OR,97836,14865
,2011-12-31,First Federal Bank Littlefield Texas ssb,Littlefield,TX,793391390,14977
,2011-12-31,Douglas County Bank,Lawrence,KS,66044,16458
,2011-12-31,Northview Bank,Sandstone,MN,55072,16551
,2011-12-31,The Elberfeld State Bank,Elberfeld,IN,47613,16748
,2011-12-31,THE WEST MICHIGAN SAVINGS BANK,BANGOR,MI,49013,16944
,2011-12-31,First State Bank of Fertile,Fertile,MN,56540,16953
,2011-12-31,The Haverford Trust Company,Radnor,PA,19087,17110
,2011-12-31,"First Merchants Bank, NA",Muncie,IN,47305,17147
,2011-12-31,THE FIRST NATIONAL BANK IN MARLOW,MARLOW,OK,730550033,17259
,2011-12-31,Bank of the Cascades,Bend,OR,977099906,17464
,2011-12-31,Bank of Bridger NA,Bridger,MT,59014,17950
,2011-12-31,First National Bank of Bastrop,Bastrop,TX,78602,18050
,2011-12-31,"South Central Bank, NA",Chicago,IL,60607,18135
,2011-12-31,Bally Savings Bank,Bally,PA,19503,18377
,2011-12-31,"Farmers & Merchants Bank of Western Pennsylvania, N.A.",Kittanning,PA,16201,18827
,2011-12-31,CAPON VALLEY BANK,WARDENSVILLE,WV,26851,18836
,2011-12-31,Bank 7,Oklahoma City,OK,73116,18854
,2011-12-31,THE FIRST STATE BANK OF BURLINGAME,BURLINGAME,KS,66413,18957
,2011-12-31,SECURITY BANK AND TRUST COMPANY,MIAMI,OK,74354,19356
,2011-12-31,Standard Bank and Trust Company,Hickory Hills,IL,604572298,19730
,2011-12-31,"Citizens Bank of Americus, Inc.",Americus,GA,31709,19936
,2011-12-31,FARMERS BUILDING AND SAVINGS BANK,ROCHESTER,PA,15074,19972
,2011-12-31,Security Bank,New Auburn,WI,54575,20053
,2011-12-31,First National Bank of Port Allegany,Port Allegany,PA,16743,20512
,2011-12-31,Mcnb Bank And Trust Co.,Welch,WV,24801,20633
,2011-12-31,Granite Falls Bank,Granite Falls,MN,56241,20857
,2011-12-31,State Bank of Burrton,Burrton,KS,670200219,21256
,2011-12-31,AMERICAN STATE BANK OF GRYGLA,GRYGLA,MN,56727,21359
,2011-12-31,Teche Bank & Trust Company,St. Martinville,LA,70582,21630
,2011-12-31,ALLIANCE BANK,MONDOVI,WI,54755,21658
,2011-12-31,UNION BANK & TRUST CO.,MONTICELLO,AR,716570270,22048
,2011-12-31,FIRST BANK OF WYOMING,POWELL,WY,82435,22356
,2011-12-31,State Savings Bank,Frankfort,MI,496351169,22543
,2011-12-31,FIRST SOUTHEAST BANK,HARMONY,MN,55939,22552
,2011-12-31,West Union Bank,West Union,WV,26456,22730
,2011-12-31,Farmers & Merchants Bank,Statesboro,GA,304592789,22936
,2011-12-31,First National Bank,Hawley,MN,56549,22954
,2011-12-31,West Michigan Bank & Trust,Frankfort,MI,496351009,23045
,2011-12-31,The First National Bank of Henning,Ottertail,MN,56571,23456
,2011-12-31,Bridgehampton National Bank,Bridgehampton,NY,11932,23504
,2011-12-31,Oswego Community Bank,Oswego,IL,60543,23540
,2011-12-31,Commercial Bank & Trust Company,Monticello,AR,71655,23643
,2011-12-31,First National Community Bank,New Richmond,WI,54017,23755
,2011-12-31,Putnam County Savings Bank,Brewster,NY,105090417,24006
,2011-12-31,ROCKY MOUNTAIN BANK,Jackson,WY,83001,24453
