RCFD3561,RCFD3562,RCFD7701,RCFD7702,IDRSSD,RCON9999
,,,,37,2003-12-31
,,,,242,2003-12-31
,,,,279,2003-12-31
,,,,354,2003-12-31
,,,,439,2003-12-31
,,,,457,2003-12-31
,,,,505,2003-12-31
,,,,1146,2003-12-31
,,,,1155,2003-12-31
,,,,1351,2003-12-31
,,,,1454,2003-12-31
,,,,1557,2003-12-31
,,,,1632,2003-12-31
,,,,1669,2003-12-31
,,,,1829,2003-12-31
,,,,1856,2003-12-31
,,,,2040,2003-12-31
,,,,2161,2003-12-31
,,,,2376,2003-12-31
,,,,2451,2003-12-31
,,,,2554,2003-12-31
,,,,2732,2003-12-31
,,,,2750,2003-12-31
,,,,2938,2003-12-31
,,,,2956,2003-12-31
,,,,3252,2003-12-31
,,,,3458,2003-12-31
,,,,3506,2003-12-31
,,,,3579,2003-12-31
,,,,3720,2003-12-31
,,,,3953,2003-12-31
,,,,4138,2003-12-31
,,,,4147,2003-12-31
,,,,4156,2003-12-31
,,,,4231,2003-12-31
,,,,4437,2003-12-31
,,,,4745,2003-12-31
,,,,4839,2003-12-31
,,,,5005,2003-12-31
,,,,5050,2003-12-31
,,,,5069,2003-12-31
,,,,5135,2003-12-31
,,,,5210,2003-12-31
,,,,5247,2003-12-31
,,,,5274,2003-12-31
,,,,5331,2003-12-31
,,,,5461,2003-12-31
,,,,5751,2003-12-31
,,,,5939,2003-12-31
,,,,6039,2003-12-31
,,,,6057,2003-12-31
,,,,6141,2003-12-31
,,,,6329,2003-12-31
,,,,6972,2003-12-31
,,,,7009,2003-12-31
,,,,7045,2003-12-31
,,,,7157,2003-12-31
,,,,7166,2003-12-31
,,,,7456,2003-12-31
,,,,7634,2003-12-31
,,,,8033,2003-12-31
,,,,8417,2003-12-31
,,,,8462,2003-12-31
,,,,8547,2003-12-31
,,,,8631,2003-12-31
,,,,9115,2003-12-31
,,,,9357,2003-12-31
,,,,9553,2003-12-31
,,,,9807,2003-12-31
,,,,9955,2003-12-31
,,,,10157,2003-12-31
,,,,10250,2003-12-31
,,,,10849,2003-12-31
,,,,10858,2003-12-31
,,,,11145,2003-12-31
,,,,11640,2003-12-31
,,,,11837,2003-12-31
,,,,12030,2003-12-31
,,,,12058,2003-12-31
,,,,12142,2003-12-31
,,,,12245,2003-12-31
0,0,0.0000,0.0000,12311,2003-12-31
,,,,12357,2003-12-31
,,,,12647,2003-12-31
,,,,12656,2003-12-31
,,,,12937,2003-12-31
,,,,12946,2003-12-31
,,,,12955,2003-12-31
,,,,13037,2003-12-31
,,,,13103,2003-12-31
,,,,13251,2003-12-31
,,,,13309,2003-12-31
,,,,13457,2003-12-31
,,,,14052,2003-12-31
,,,,14155,2003-12-31
,,,,14258,2003-12-31
0,0,0.0000,0.0000,14409,2003-12-31
,,,,14454,2003-12-31
,,,,14650,2003-12-31
,,,,14753,2003-12-31
,,,,14865,2003-12-31
,,,,14931,2003-12-31
,,,,14940,2003-12-31
,,,,15536,2003-12-31
,,,,16337,2003-12-31
,,,,16458,2003-12-31
,,,,16551,2003-12-31
,,,,16748,2003-12-31
,,,,16766,2003-12-31
,,,,16944,2003-12-31
,,,,16953,2003-12-31
,,,,17110,2003-12-31
,,,,17147,2003-12-31
,,,,17259,2003-12-31
,,,,17464,2003-12-31
,,,,17549,2003-12-31
,,,,17839,2003-12-31
,,,,17950,2003-12-31
,,,,18050,2003-12-31
,,,,18135,2003-12-31
,,,,18368,2003-12-31
,,,,18377,2003-12-31
,,,,18827,2003-12-31
,,,,18836,2003-12-31
,,,,18854,2003-12-31
,,,,18863,2003-12-31
,,,,18957,2003-12-31
,,,,19356,2003-12-31
,,,,19730,2003-12-31
,,,,19936,2003-12-31
,,,,19972,2003-12-31
,,,,20053,2003-12-31
,,,,20147,2003-12-31
,,,,20259,2003-12-31
,,,,20370,2003-12-31
,,,,20512,2003-12-31
,,,,20633,2003-12-31
,,,,20754,2003-12-31
,,,,20839,2003-12-31
,,,,20857,2003-12-31
,,,,20866,2003-12-31
,,,,21256,2003-12-31
,,,,21359,2003-12-31
,,,,21630,2003-12-31
,,,,21658,2003-12-31
,,,,22048,2003-12-31
,,,,22235,2003-12-31
,,,,22356,2003-12-31
,,,,22459,2003-12-31
,,,,22543,2003-12-31
,,,,22552,2003-12-31
,,,,22730,2003-12-31
,,,,22936,2003-12-31
,,,,22954,2003-12-31
,,,,23036,2003-12-31
,,,,23045,2003-12-31
,,,,23241,2003-12-31
,,,,23456,2003-12-31
,,,,23504,2003-12-31
,,,,23540,2003-12-31
,,,,23643,2003-12-31
,,,,23755,2003-12-31
,,,,23812,2003-12-31
,,,,24006,2003-12-31
,,,,24266,2003-12-31
,,,,24453,2003-12-31
,,,,24659,2003-12-31
,,,,24668,2003-12-31
,,,,24855,2003-12-31
,,,,24949,2003-12-31
,,,,25357,2003-12-31
,,,,25647,2003-12-31
,,,,25852,2003-12-31
,,,,26149,2003-12-31
,,,,26233,2003-12-31
,,,,26242,2003-12-31
,,,,26457,2003-12-31
,,,,26756,2003-12-31
,,,,26765,2003-12-31
,,,,26859,2003-12-31
,,,,26916,2003-12-31
,,,,27548,2003-12-31
,,,,27614,2003-12-31
,,,,27838,2003-12-31
,,,,27847,2003-12-31
,,,,28013,2003-12-31
,,,,28152,2003-12-31
,,,,28255,2003-12-31
,,,,28349,2003-12-31
,,,,28406,2003-12-31
,,,,28572,2003-12-31
,,,,28732,2003-12-31
,,,,29104,2003-12-31
,,,,29159,2003-12-31
,,,,29252,2003-12-31
,,,,29636,2003-12-31
,,,,29850,2003-12-31
,,,,29944,2003-12-31
,,,,29953,2003-12-31
,,,,30025,2003-12-31
,,,,30052,2003-12-31
,,,,30146,2003-12-31
,,,,30155,2003-12-31
,,,,30258,2003-12-31
,,,,30418,2003-12-31
,,,,30502,2003-12-31
,,,,30650,2003-12-31
,,,,30810,2003-12-31
,,,,30856,2003-12-31
,,,,31134,2003-12-31
,,,,31152,2003-12-31
,,,,31255,2003-12-31
,,,,31303,2003-12-31
,,,,31657,2003-12-31
,,,,31826,2003-12-31
,,,,31835,2003-12-31
,,,,32159,2003-12-31
,,,,32234,2003-12-31
,,,,32766,2003-12-31
,,,,33147,2003-12-31
,,,,33259,2003-12-31
,,,,33268,2003-12-31
,,,,33549,2003-12-31
,,,,33727,2003-12-31
,,,,33754,2003-12-31
,,,,33772,2003-12-31
,,,,33839,2003-12-31
,,,,33857,2003-12-31
,,,,34153,2003-12-31
,,,,34359,2003-12-31
,,,,34425,2003-12-31
,,,,34434,2003-12-31
,,,,34452,2003-12-31
,,,,34537,2003-12-31
,,,,34555,2003-12-31
,,,,34742,2003-12-31
,,,,34836,2003-12-31
,,,,34863,2003-12-31
,,,,35057,2003-12-31
,,,,35244,2003-12-31
0,0,0.0000,0.0000,35301,2003-12-31
,,,,35570,2003-12-31
,,,,35646,2003-12-31
,,,,35842,2003-12-31
,,,,35936,2003-12-31
,,,,36054,2003-12-31
,,,,36344,2003-12-31
,,,,36456,2003-12-31
,,,,36858,2003-12-31
,,,,36933,2003-12-31
,,,,37051,2003-12-31
,,,,37341,2003-12-31
,,,,37350,2003-12-31
,,,,37378,2003-12-31
,,,,37435,2003-12-31
,,,,37640,2003-12-31
,,,,37659,2003-12-31
,,,,37743,2003-12-31
,,,,37949,2003-12-31
,,,,38478,2003-12-31
,,,,38526,2003-12-31
,,,,38535,2003-12-31
,,,,38740,2003-12-31
,,,,39327,2003-12-31
,,,,39420,2003-12-31
,,,,39475,2003-12-31
,,,,39756,2003-12-31
,,,,39934,2003-12-31
,,,,40033,2003-12-31
,,,,40305,2003-12-31
,,,,40350,2003-12-31
,,,,40707,2003-12-31
,,,,40855,2003-12-31
,,,,41245,2003-12-31
,,,,41553,2003-12-31
,,,,41629,2003-12-31
,,,,41647,2003-12-31
,,,,41759,2003-12-31
,,,,41825,2003-12-31
,,,,41937,2003-12-31
,,,,41955,2003-12-31
,,,,42037,2003-12-31
,,,,42055,2003-12-31
,,,,42354,2003-12-31
,,,,42420,2003-12-31
