RCON6979,IDRSSD,RCON9999
false,37,2008-06-30
false,242,2008-06-30
false,279,2008-06-30
false,354,2008-06-30
false,457,2008-06-30
false,505,2008-06-30
false,1155,2008-06-30
false,1351,2008-06-30
false,1454,2008-06-30
false,1557,2008-06-30
false,1632,2008-06-30
false,1669,2008-06-30
false,1829,2008-06-30
false,1856,2008-06-30
false,2040,2008-06-30
false,2161,2008-06-30
false,2376,2008-06-30
false,2451,2008-06-30
false,2554,2008-06-30
false,2732,2008-06-30
false,2750,2008-06-30
false,2938,2008-06-30
false,3252,2008-06-30
false,3458,2008-06-30
false,3720,2008-06-30
false,3953,2008-06-30
false,4138,2008-06-30
false,4156,2008-06-30
false,4231,2008-06-30
false,4437,2008-06-30
false,4839,2008-06-30
false,5005,2008-06-30
false,5069,2008-06-30
false,5135,2008-06-30
false,5210,2008-06-30
false,5331,2008-06-30
false,5461,2008-06-30
false,5751,2008-06-30
false,6039,2008-06-30
false,6141,2008-06-30
false,6329,2008-06-30
true,6972,2008-06-30
false,7009,2008-06-30
false,7045,2008-06-30
false,7157,2008-06-30
false,7456,2008-06-30
false,7634,2008-06-30
false,8033,2008-06-30
false,8462,2008-06-30
false,8631,2008-06-30
false,9357,2008-06-30
false,9553,2008-06-30
false,9807,2008-06-30
false,9955,2008-06-30
false,10157,2008-06-30
false,10250,2008-06-30
false,10849,2008-06-30
false,10858,2008-06-30
false,11145,2008-06-30
false,11640,2008-06-30
false,11837,2008-06-30
false,12030,2008-06-30
false,12058,2008-06-30
false,12142,2008-06-30
false,12245,2008-06-30
false,12311,2008-06-30
false,12647,2008-06-30
false,12656,2008-06-30
false,12937,2008-06-30
false,12946,2008-06-30
false,12955,2008-06-30
false,13037,2008-06-30
false,13103,2008-06-30
false,13251,2008-06-30
false,13457,2008-06-30
false,14052,2008-06-30
false,14155,2008-06-30
false,14258,2008-06-30
false,14454,2008-06-30
false,14650,2008-06-30
false,14753,2008-06-30
false,14865,2008-06-30
false,14977,2008-06-30
false,15536,2008-06-30
false,16337,2008-06-30
false,16458,2008-06-30
false,16551,2008-06-30
false,16748,2008-06-30
false,16944,2008-06-30
false,16953,2008-06-30
false,17110,2008-06-30
false,17147,2008-06-30
false,17259,2008-06-30
false,17464,2008-06-30
false,17839,2008-06-30
false,17950,2008-06-30
false,18050,2008-06-30
false,18135,2008-06-30
