RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1406,0,560,53284,53789,0,0,11786,1200,65575,0,0,8086,,0,2500,0,5937,47347,,,0,44359,43289,0,,,,,,,,37,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855,228,0,292,19648,21043,0,0,3710,120,24753,0,0,3331,,0,120,0,2482,17166,,,0,15580,15457,139,,,,,,,,242,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1487,1240,226,528,76654,84426,0,0,15822,0,100248,0,0,15542,,0,0,0,1621,75034,,,0,24890,24611,280,,,,,,,,279,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,443,0,30,7169,7426,0,0,1147,25,8573,0,0,558,,0,500,0,1255,5914,,,0,3797,3666,64,,,,,,,,354,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5315,0,2529,130318,132071,0,0,16014,596,148085,0,0,8639,,0,6503,0,28105,102213,,,0,106670,105797,276,,,,,,,,439,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,589,0,89,17297,17615,0,0,1840,60,19455,0,0,840,,0,940,0,2019,15278,,,0,12400,12244,0,,,,,,,,457,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,9135,20,5423,226584,233776,52,0,18959,6480,252787,0,0,4729,,0,6480,0,41690,184894,,,0,159190,157184,1270,,,,,,,,505,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2207,11935,0,9623,267224,287654,0,6000,22715,18,310369,0,0,13759,,0,8629,0,54418,212806,,,0,245669,243118,309,,,,,,,,1146,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4991,0,4338,105460,115455,0,0,9504,1600,124959,0,0,4222,,0,3400,0,12203,93257,,,0,83880,82669,282,,,,,,,,1155,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1903,0,1208,70644,72318,0,0,11949,240,84267,0,0,11089,,0,530,0,7829,62815,,,0,47001,46643,90,,,,,,,,1351,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7620,16670,0,2677,253992,254755,0,0,28820,1000,283575,0,0,23952,,0,1214,1503,71148,182844,,,0,134022,133181,2654,,,,,,,,1454,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1026,0,147,28379,28956,0,0,5749,200,34705,0,0,4560,,0,800,0,2730,25649,,,0,16481,16124,189,,,,,,,,1557,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8911,0,3487,157251,181227,0,0,15915,1900,197142,0,0,6113,,0,7135,0,29885,127366,,,0,149062,147026,767,,,,,,,,1632,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6603,6719,0,936,204425,206632,0,0,38692,800,245324,0,0,36299,,0,800,0,27441,176984,,,0,65262,64544,793,,,,,,,,1669,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408,5721,0,4077,207138,209738,0,0,34038,390,243776,0,0,27969,,0,3100,0,51727,155411,,,0,124748,123065,2579,,,,,,,,1829,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646,745,0,191,8420,8472,0,0,746,100,9218,0,0,457,,0,150,0,1144,7276,,,0,3796,3659,39,,,,,,,,1856,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,844,0,4,14955,15239,0,0,2122,75,17361,0,0,1526,,0,400,0,3562,11393,,,0,6597,6270,121,,,,,,,,1959,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,2902,0,2356,103325,119675,0,0,12461,480,132136,0,0,7255,,0,4270,243,8185,95140,,,0,98019,96828,456,,,,,,,,2040,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6697,3681,0,1758,84531,84976,0,0,8742,1000,93718,0,0,6403,,0,1000,0,13662,70869,,,0,52889,52391,339,,,,,,,,2161,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4927,19034,2875,4149,578645,608561,67,0,90286,500,698914,0,0,88186,,0,0,0,17464,561181,,,0,370299,365253,1600,,,,,,,,2376,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,260,0,34,9226,11295,0,0,939,50,12234,0,0,379,,0,499,0,805,8421,,,0,10404,10303,11,,,,,,,,2451,2001-09-30
