RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5575,0,579,64669,65030,0,0,16568,1200,81598,0,0,11601,,0,3500,0,6491,58178,1,1231,0,44302,43193,267,0,0,0,0,16568,,,37,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921,986,0,240,25990,29341,0,0,4109,120,33450,0,0,3772,,0,120,0,3733,22257,4,1231,0,21065,20899,97,1698,0,0,0,4109,,,242,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036,2279,261,6499,97065,128502,0,0,22263,1,150765,0,0,21789,,0,0,0,5722,91343,1,1231,0,67058,66638,473,3240,0,0,0,22263,,,279,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,123,0,61,7747,7770,0,0,1061,25,8831,0,0,495,,0,500,0,1875,5873,5,1231,0,4231,4032,41,722,0,0,0,1061,,,354,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595,982,0,159,25614,28640,0,0,3192,60,31832,0,0,676,,0,2440,0,2565,23049,4,1231,0,27662,27400,16,0,0,837,0,3192,,,457,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631,4171,0,4066,267643,320120,60,0,25288,6480,345468,0,0,10788,,0,10653,70,37194,230449,2,1231,0,262518,258483,-2633,0,0,0,0,25348,,,505,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103,10574,0,4722,166904,180284,0,0,16021,1600,196305,0,0,9206,,0,4400,0,27349,139555,5,1231,0,138827,136949,815,0,0,0,11738,16021,,,1155,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2437,0,1074,114382,115098,0,0,18428,240,133526,0,0,17603,,0,530,0,11845,102537,4,1231,0,68898,67807,55,4523,0,0,0,18428,,,1351,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54687,14429,0,4849,419632,420576,0,0,41868,1000,462444,0,0,38389,,0,1214,1632,104786,314846,2,1231,0,211184,208619,1265,0,0,0,0,41868,,,1454,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,522,0,191,33740,36032,0,0,4907,200,40939,0,0,3765,,0,800,0,5548,28192,4,1231,0,23843,23463,142,510,0,0,0,4907,,,1557,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,12684,0,14306,623307,687400,0,0,65407,1900,752807,0,0,25054,,0,37199,3944,76304,547003,2,1231,0,659766,650744,1254,0,0,25980,0,65407,,,1632,2009-03-31
