RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999,RCON8678
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11644,0,489,66362,66859,0,0,17998,1200,84857,0,0,12544,0,0,3500,0,6762,59600,,0,42045,40958,754,0,0,0,0,17998,,,37,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,810,0,288,25891,30019,0,0,4626,120,34645,0,0,4058,0,0,120,0,5844,20047,,0,22058,21889,328,1402,0,0,0,4626,,,242,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3725,2408,264,6258,106500,122936,0,0,24088,1,147024,0,0,23503,0,0,0,0,7397,99103,,0,74508,74031,584,1085,0,0,0,24088,,,279,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,356,0,32,8894,8905,0,0,1062,25,9967,0,0,470,0,0,500,0,2276,6618,,0,4043,3849,67,72,0,0,0,1062,,,354,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192,739,0,83,31336,33964,0,0,3611,60,37575,0,0,1111,0,0,2440,0,3820,27516,,0,31498,31034,0,2820,0,0,0,3611,,,457,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71876,3294,0,9664,326079,374993,54,0,30797,6480,405844,0,0,14425,0,0,10653,0,51417,274662,,0,239683,235290,-761,0,0,0,0,30851,,,505,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35763,5854,0,4203,177165,190857,0,0,19575,1600,210432,0,0,12306,0,0,4900,757,15964,161201,,0,131789,129042,769,0,0,0,11803,19575,,,1155,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5648,0,1039,137660,138326,0,0,21523,240,159849,0,0,20633,0,0,530,0,13433,124227,,0,71229,69794,120,4913,0,0,0,21523,,,1351,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87086,17965,0,4422,503423,504827,0,0,56356,1000,561183,0,0,48834,0,0,1214,1329,130194,373229,,0,222092,218531,5308,0,0,0,0,56356,,,1454,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1745,1066,0,255,49741,52660,0,0,5644,200,58304,0,0,4386,0,0,1000,0,13122,36619,,0,31890,31359,58,6135,0,0,0,5644,,,1557,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19580,7931,0,2178,199148,200098,0,0,45500,800,245598,0,0,42138,0,0,800,0,41978,157170,,0,83613,80479,1762,0,0,0,0,45500,,,1669,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43245,4586,0,3756,334756,362745,0,0,43029,390,405774,0,0,38013,0,0,3100,0,72345,262411,,0,265139,261156,1526,0,0,0,2563,43029,,,1829,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69664,3995,0,446,73132,127400,0,0,23182,500,150582,0,0,4123,0,0,17782,0,2059,71074,,0,42011,41335,777,0,0,0,0,23182,,,1856,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4673,3722,0,3207,149338,174932,0,0,20933,480,195865,0,0,15717,0,0,4270,250,16933,132405,,0,132929,129619,466,3561,0,0,4436,20933,,,2040,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7749,8005,0,2372,109969,112143,0,0,14392,1000,126535,0,0,11206,0,0,1356,0,19423,90546,,0,59397,58802,830,4625,0,0,0,14392,,,2161,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1889,6521,0,15228,1404307,2154890,65,0,429277,500,2584232,0,0,433332,1499,0,18273,0,86202,1318105,,-28501,1730184,1702644,5673,0,0,31217,0,429342,,,2376,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3374,222,0,100,10390,10422,0,0,1141,50,11563,0,0,120,0,0,975,0,2947,7443,,0,5331,5237,-4,484,0,0,0,1141,,,2554,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47484,19721,0,4867,447144,449945,0,0,75946,0,525891,0,0,68800,0,0,5789,0,90960,356184,,0,366171,360116,1357,0,0,0,0,75946,,,2732,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348,1242,0,303,46735,55013,0,0,5566,121,60579,0,0,5135,0,0,150,0,4520,42215,,0,38447,37884,160,0,0,449,0,5566,,,2750,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079,4165,0,789,128889,133225,0,0,19990,200,153215,0,0,18468,0,0,300,0,14430,114459,,0,77594,76009,1022,0,0,500,0,19990,,,3252,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2393,2122,0,320,24133,29251,0,0,3350,100,32601,0,0,2068,0,0,1101,0,2751,21382,,0,16602,16244,81,44,0,0,4265,3350,,,3458,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20915,4067,0,4580,156396,166787,0,0,29094,2400,195881,0,0,14790,0,0,10800,267,18961,137435,,0,114033,112512,1104,0,0,0,3592,29094,,,3720,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3167,759,0,2264,51983,52986,0,0,1597,500,54583,0,0,-2583,0,0,3680,1630,13139,38844,,0,35892,34491,0,6230,0,0,0,1597,,,3953,2011-09-30,
