RCFD0010,RCFD0022,RCFD0070,RCFD0073,RCFD0074,RCFD0082,RCFD0083,RCFD0085,RCFD0090,RCON0010,RCON0020,RCON0070,RCON0080,RCON0082,RCON0090,IDRSSD,RCON9999
,,,,,,,,,,,,,,,37,2015-03-31
,,,,,,,,,,,,,,,242,2015-03-31
,,,,,,,,,,,,,,,279,2015-03-31
,,,,,,,,,,,,,,,354,2015-03-31
,,,,,,,,,,,,,,,457,2015-03-31
,,,,,,,,,64284,0,,1087,,62974,505,2015-03-31
,,,,,,,,,,,,,,,1155,2015-03-31
,,,,,,,,,,,,,,,1351,2015-03-31
,,,,,,,,,122579,6957,,5610,,107503,1454,2015-03-31
,,,,,,,,,,,,,,,1557,2015-03-31
,,,,,,,,,,,,,,,1669,2015-03-31
,,,,,,,,,11359,3069,,1663,,4998,1829,2015-03-31
,,,,,,,,,,,,,,,1856,2015-03-31
,,,,,,,,,,,,,,,2040,2015-03-31
,,,,,,,,,,,,,,,2161,2015-03-31
,,,,,,,,,12690,0,,3094,,364,2376,2015-03-31
,,,,,,,,,,,,,,,2554,2015-03-31
,,,,,,,,,154340,3438,,3057,,135013,2732,2015-03-31
,,,,,,,,,,,,,,,2750,2015-03-31
,,,,,,,,,86463,114,,6564,,78714,3177,2015-03-31
,,,,,,,,,,,,,,,3252,2015-03-31
,,,,,,,,,,,,,,,3458,2015-03-31
,,,,,,,,,,,,,,,3720,2015-03-31
,,,,,,,,,45816,935,,4289,,29535,3971,2015-03-31
,,,,,,,,,,,,,,,4156,2015-03-31
,,,,,,,,,,,,,,,4231,2015-03-31
,,,,,,,,,,,,,,,4437,2015-03-31
,,,,,,,,,12490,896,,1735,,2056,4839,2015-03-31
,,,,,,,,,67318,783,,213,,65076,5069,2015-03-31
,,,,,,,,,68533,4604,,4787,,58696,5135,2015-03-31
,,,,,,,,,27445,6795,,5501,,12017,5210,2015-03-31
,,,,,,,,,54862,5269,,8054,,36689,5461,2015-03-31
,,,,,,,,,,,,,,,5751,2015-03-31
,,,,,,,,,,,,,,,6039,2015-03-31
,,,,,,,,,,,,,,,6141,2015-03-31
,,,,,,,,,61137,59,,7588,,46103,6329,2015-03-31
,,,,,,,,,8050,281,,11,,25,7009,2015-03-31
,,,,,,,,,,,,,,,7045,2015-03-31
,,,,,,,,,,,,,,,7072,2015-03-31
,,,,,,,,,,,,,,,7157,2015-03-31
,,,,,,,,,,,,,,,7456,2015-03-31
,,,,,,,,,,,,,,,7634,2015-03-31
,,,,,,,,,,,,,,,8033,2015-03-31
,,,,,,,,,,,,,,,8462,2015-03-31
,,,,,,,,,,,,,,,8631,2015-03-31
,,,,,,,,,6953,4988,,293,,448,9357,2015-03-31
,,,,,,,,,,,,,,,9553,2015-03-31
,,,,,,,,,116022,6587,,4867,,95701,9807,2015-03-31
,,,,,,,,,,,,,,,9955,2015-03-31
,,,,,,,,,25691,3328,,1320,,10000,10250,2015-03-31
,,,,,,,,,25917,103,,1487,,15918,10849,2015-03-31
,,,,,,,,,,,,,,,11145,2015-03-31
,,,,,,,,,32867,8582,,5067,,17565,11275,2015-03-31
,,,,,,,,,15462,20,,3168,,7098,11640,2015-03-31
,,,,,,,,,,,,,,,11837,2015-03-31
,,,,,,,,,45135,0,,5299,,15591,12030,2015-03-31
,,,,,,,,,,,,,,,12142,2015-03-31
,,,,,,,,,,,,,,,12179,2015-03-31
899100,579486,,0,2231,,0,104133,213250,899100,261297,2231,318189,104133,213250,12311,2015-03-31
,,,,,,,,,,,,,,,12647,2015-03-31
,,,,,,,,,671,129,,325,,6,12656,2015-03-31
,,,,,,,,,,,,,,,12937,2015-03-31
,,,,,,,,,20636,10536,,7812,,582,12946,2015-03-31
,,,,,,,,,,,,,,,12955,2015-03-31
,,,,,,,,,19789,0,,2813,,988,13103,2015-03-31
,,,,,,,,,,,,,,,13251,2015-03-31
,,,,,,,,,,,,,,,13457,2015-03-31
,,,,,,,,,,,,,,,14052,2015-03-31
,,,,,,,,,,,,,,,14155,2015-03-31
,,,,,,,,,,,,,,,14650,2015-03-31
,,,,,,,,,,,,,,,14753,2015-03-31
,,,,,,,,,27524,2315,,2798,,13137,14865,2015-03-31
,,,,,,,,,,,,,,,14977,2015-03-31
,,,,,,,,,,,,,,,16551,2015-03-31
,,,,,,,,,,,,,,,16748,2015-03-31
,,,,,,,,,,,,,,,16944,2015-03-31
,,,,,,,,,,,,,,,16953,2015-03-31
,,,,,,,,,,,,,,,17110,2015-03-31
,,,,,,,,,167175,0,,38426,,35320,17147,2015-03-31
,,,,,,,,,5817,0,,698,,0,17259,2015-03-31
,,,,,,,,,59535,23472,,18500,,16084,17464,2015-03-31
,,,,,,,,,12579,0,,2221,,4035,17950,2015-03-31
,,,,,,,,,8063,803,,2356,,0,17978,2015-03-31
,,,,,,,,,24860,3996,,4361,,13506,18050,2015-03-31
,,,,,,,,,,,,,,,18135,2015-03-31
,,,,,,,,,,,,,,,18377,2015-03-31
,,,,,,,,,118124,8470,,10124,,60326,18827,2015-03-31
,,,,,,,,,,,,,,,18836,2015-03-31
,,,,,,,,,94969,1466,,2338,,66886,18854,2015-03-31
,,,,,,,,,,,,,,,19356,2015-03-31
,,,,,,,,,381770,20311,,16278,,333503,19730,2015-03-31
,,,,,,,,,,,,,,,19936,2015-03-31
,,,,,,,,,,,,,,,19972,2015-03-31
,,,,,,,,,,,,,,,20053,2015-03-31
,,,,,,,,,,,,,,,20512,2015-03-31
,,,,,,,,,6863,686,,3500,,47,20633,2015-03-31
,,,,,,,,,,,,,,,20857,2015-03-31
,,,,,,,,,,,,,,,21256,2015-03-31
,,,,,,,,,,,,,,,21359,2015-03-31
,,,,,,,,,,,,,,,21630,2015-03-31
,,,,,,,,,,,,,,,21658,2015-03-31
,,,,,,,,,,,,,,,22048,2015-03-31
,,,,,,,,,,,,,,,22543,2015-03-31
,,,,,,,,,,,,,,,22552,2015-03-31
,,,,,,,,,,,,,,,22730,2015-03-31
,,,,,,,,,37209,0,,1952,,34906,22936,2015-03-31
,,,,,,,,,,,,,,,23045,2015-03-31
,,,,,,,,,,,,,,,23456,2015-03-31
