RCFD1410,RCFD1420,RCFD1460,RCFD1563,RCFD1590,RCFD1616,RCFD1763,RCFD1764,RCFD1797,RCFD2011,RCFD2081,RCFD2107,RCFD2122,RCFD2123,RCFD2182,RCFD2183,RCFD2746,RCFD5367,RCFD5368,RCFDA247,RCFDA570,RCFDA571,RCFDA572,RCFDA573,RCFDA574,RCFDA575,RCFDB532,RCFDB533,RCFDB534,RCFDB536,RCFDB537,RCFDB538,RCFDB539,RCFDB837,RCFDC391,RCFDC779,RCFDC780,RCFDF158,RCFDF159,RCFDF160,RCFDF161,RCFDF162,RCFDF163,RCFDG091,RCFDG092,RCFDG093,RCFDG094,RCFDG095,RCFDG096,RCFDG097,RCFDG098,RCFDG099,RCFDG100,RCFDG101,RCFDG102,RCFDG378,RCFDHK25,RCFDK098,RCFDK137,RCFDK163,RCFDK164,RCFDK165,RCFDK168,RCFDK203,RCFDK204,RCFDK207,RCON1288,RCON1415,RCON1420,RCON1460,RCON1480,RCON1545,RCON1564,RCON1590,RCON1763,RCON1764,RCON1766,RCON1797,RCON2011,RCON2081,RCON2107,RCON2122,RCON2123,RCON2165,RCON2746,RCON5367,RCON5368,RCON5370,RCONA247,RCONA564,RCONA565,RCONA566,RCONA567,RCONA568,RCONA569,RCONA570,RCONA571,RCONA572,RCONA573,RCONA574,RCONA575,RCONB531,RCONB534,RCONB535,RCONB538,RCONB539,RCONC779,RCONC780,RCONF158,RCONF159,RCONF160,RCONF161,RCONF230,RCONF231,RCONF232,RCONF576,RCONF577,RCONG376,RCONG378,RCONGW45,RCONGW46,RCONGW47,RCONHK25,RCONJ451,RCONJ454,RCONJ464,RCONK098,RCONK137,RCONK158,RCONK159,RCONK160,RCONK161,RCONK162,RCONK165,RCONK166,RCONK168,RCONK203,RCONK204,RCONK207,RCONK256,RCONLE75,RCONLG24,RCONLG25,RIADG377,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1672,25,7503,,,134,,,1236,0,9212,0,4025,45938,0,0,0,21997,49,0,12128,762,2063,8020,6496,4355,118,5361,4027,7210,4089,2654,472,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2414,0,3369,,,2463,,,1242,72,2776,0,0,19712,0,5,0,7275,88,0,5151,220,1023,3788,1831,413,0,3295,5360,2084,1475,223,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1050,82,107,3762,,,157,,,496,9,2179,0,0,30632,16,364,6,21863,528,549,2076,32,111,631,1283,7620,12186,665,1447,1040,1446,3324,754,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,980,0,82,,,813,,,321,0,1114,0,0,5006,0,0,0,1696,0,1530,1076,86,1455,0,0,0,0,300,1731,602,500,53,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3689,18161,80,38232,,,1380,,,16626,0,7658,0,4001,114273,0,0,0,23379,1067,1436,46368,2632,4548,8557,5644,1744,27,26148,23217,25697,10554,3793,1365,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1102,2379,0,1729,,,4199,,,3065,0,3476,0,236,19207,0,0,0,2994,0,2695,9121,208,256,2290,220,20,0,4020,4637,4504,2628,307,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3307,0,5486,23902,,,0,,,13181,9469,32359,0,2030,151019,6618,0,0,66545,785,7847,15160,131,5080,1454,2450,30978,26423,23907,5595,13693,21040,15254,10151,,,,0,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33085,391,6147,62159,9,999,41,30133,0,30133,5499,11528,0,0,263423,7,0,0,69867,7503,0,127578,33953,6468,13305,9593,859,5657,31379,30183,81795,47082,2200,0,0,0,0,35886,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8827,468,1133,21356,,,3700,,,33083,1177,7013,0,0,96042,0,0,0,15120,3465,422,34663,1344,2142,3445,6594,929,666,30687,13082,12772,20306,4053,0,,,,424,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8065,0,7485,,,4114,,,16283,0,8701,0,0,53006,0,86,0,8208,0,7665,45358,1790,6045,143,180,15,0,13240,24283,5210,1548,126,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1615,3327,1658,32227,,,3674,,,22768,1684,27744,0,0,128929,187,0,0,28909,2804,1827,19996,2661,1569,2003,6428,15737,511,29008,4324,16751,30422,18658,243,,,,1437,1216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,84,4111,0,1671,,,4995,,,733,0,831,0,0,15366,0,0,0,2937,0,0,4594,140,347,716,1073,443,218,1525,2582,2540,4720,403,421,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11206,3602,7734,80657,,,6101,,,46626,4563,11566,0,911,210935,0,0,0,32280,3660,4093,78158,6280,7713,13066,3919,574,728,66660,30852,52829,18018,9618,678,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1632,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,934,179,0,5631,,,1476,,,8101,0,10636,0,150,68326,0,0,0,39519,1604,23634,6626,1623,3514,3275,7117,17022,6816,3845,6173,7457,5743,5095,133,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6312,0,11381,34363,,,0,,,23736,13457,2440,0,588,168811,257,20041,0,48725,6624,0,30818,104,120,631,6408,20996,20296,28490,2104,11483,43387,32743,1027,,,,584,777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,59,758,0,382,,,627,,,1910,0,803,0,0,6539,0,0,0,2000,0,1768,1913,1799,30,10,161,0,0,2450,1181,497,379,32,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1856,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2627,4262,5520,1174,,,3539,,,53809,0,6964,0,278,114867,0,0,0,35438,724,2749,46738,5327,7150,19854,1991,0,0,14110,20151,34425,9528,574,0,,,,333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1652,1290,0,7146,,,1174,,,4577,0,10985,0,0,51480,234,0,0,24203,0,17732,18793,1828,6673,3925,6248,5031,498,5595,4931,6995,6455,3402,133,,,,419,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2161,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1439,0,124334,26402,0,0,0,0,0,0,5779,941,0,0,333901,0,0,0,130762,44244,10653,20902,306,2562,3051,5374,78584,40359,8890,14606,14819,64081,56478,43906,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2376,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,294,1281,0,320,,,2960,,,2028,0,1474,0,309,13255,0,0,0,4547,42,691,5791,147,181,2840,1050,139,190,2830,2696,1087,1134,753,208,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2451,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,816,0,0,,,1885,,,554,0,515,0,0,3835,0,0,0,65,0,0,1518,0,0,22,9,33,0,2666,118,287,287,410,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2554,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15824,0,56956,123983,0,288,0,72375,0,72375,7207,5907,0,0,290064,827,0,0,8173,178,4793,69287,1413,3676,2501,429,0,154,109021,29840,107398,30611,2668,2518,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2732,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6323,0,1166,,,15716,,,2097,0,915,0,0,28478,0,0,0,1994,65,22,10534,60,131,1184,572,10,0,4621,11810,3433,4525,1203,0,,,,0,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22031,6929,5773,64110,,,489,,,56691,5429,12874,0,0,221762,0,0,0,36435,8728,9757,106299,12452,4110,8156,10015,502,1151,108916,19221,36447,19205,827,46,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2938,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1613,19740,1616,3055,,,1916,,,2017,553,3465,0,165,60696,0,0,0,24859,1686,0,50748,5897,17209,1066,425,0,0,7814,20487,4396,2891,213,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2956,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,259,12311,0,2842,,,30674,,,8128,0,4302,0,0,62166,116,0,0,1272,0,839,0,219,716,37,29,207,63,28380,21034,4265,4472,1233,220,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3252,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4131,0,542,,,788,,,801,0,715,0,0,8754,0,0,0,1765,0,0,1494,25,272,1419,30,0,0,903,971,3803,917,80,315,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3458,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21983,0,8757,354819,0,419,0,73297,0,73297,57020,3764,0,0,783686,0,41165,0,172176,49641,46985,24724,7210,7460,7945,15256,90400,43905,159423,32744,72330,173742,103249,62099,0,0,0,0,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3506,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9908,87,4467,30490,0,0,17,46292,0,46292,3746,41119,0,0,252383,50,0,0,113756,1209,67277,29205,5623,19851,4872,18432,29557,34593,52080,11149,12504,29463,29094,4184,0,0,0,278,1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3579,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4910,2984,304,21358,,,1727,,,5710,2479,5594,0,845,72856,0,0,0,26592,209,2025,15558,1585,4231,5284,11903,3406,118,16550,4234,7062,12871,3851,1649,,,,0,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3720,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2317,8010,1642,7882,,,13494,,,14588,0,3898,0,0,59688,0,0,0,6965,788,94,20291,1259,1117,3472,966,7,0,29053,13735,5580,1487,1510,750,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3953,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11744,26,1981,15474,,,0,,,7649,3107,11964,0,24,109675,549,0,0,54825,274,31391,16272,3420,7454,30759,3546,7274,2372,25487,12163,11049,4530,1983,187,,,,0,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4138,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6644,171,3795,22080,,,31,,,8810,3347,4018,0,89,59651,0,0,0,9659,80,6179,8220,754,1451,7040,351,63,0,2854,20116,19853,4357,1364,119,,,,654,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4147,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4679,6439,62,12294,,,12975,,,18444,920,4527,0,0,74825,0,256,0,13189,153,0,23054,319,893,2264,2182,6442,940,18275,17368,10798,9325,4489,245,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4156,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1113,6883,0,12095,,,1677,,,2747,0,7335,0,401,43515,0,0,0,11264,0,76,16338,1031,2366,5055,1725,678,0,8550,9418,7064,6315,463,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4231,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1945,919,943,35547,,,147,,,16397,5758,9144,0,0,128111,125,62,0,50870,518,43151,34534,8492,9609,17339,4489,4652,6000,27261,15587,13364,10890,8199,1835,,,,0,4690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4437,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,652,0,524,,,529,,,978,0,896,0,62,4977,0,0,0,1336,0,0,1603,0,95,18,117,1085,0,1182,326,762,718,653,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4745,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7672,0,20013,85541,,,0,,,7838,5625,3904,0,0,147875,0,0,0,13429,3052,2102,46973,2709,2519,3717,4196,179,0,42284,10139,28161,45869,6880,32,,,,0,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4839,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14007,0,17955,47103,,,0,,,12449,6793,379,0,0,180804,80,0,0,79771,2277,14376,18401,1210,5410,4760,4303,33331,30299,19774,8407,17914,28098,26871,35,,,,0,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5005,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5594,0,221,7959,,,335,,,9231,156,7785,0,0,42252,0,0,0,10126,662,7692,12165,1365,7498,1063,162,38,0,8248,8712,10148,4851,0,0,,,,129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5050,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34129,1184,2499,207672,,,0,,,1695,90,0,0,0,264299,3758,0,0,20783,0,206,117351,2201,6755,4261,7566,0,0,138459,32305,57759,10302,1775,1123,,,,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5069,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2138,13597,3798,23790,,,22202,,,27693,600,8979,0,1689,130135,0,7,0,23428,1687,13592,67725,5031,11658,4159,1627,401,345,62529,30259,9184,3734,255,287,,,,464,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5135,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19939,7802,25484,87972,0,1299,1692,12868,0,12868,17959,10429,0,4001,400795,0,0,0,186665,23746,1427,10140,28428,34280,17776,24087,60735,21336,79420,13955,35175,66760,15385,3078,0,0,0,0,939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5210,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,76287,11376,10781,99272,0,289,610,87478,0,87478,60322,13035,0,2093,549020,649,0,0,147269,40171,87191,162235,68512,4491,11159,26687,12313,24107,255986,14304,23422,84251,21393,3044,0,0,0,287,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5247,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,574,0,0,26403,,,0,,,5623,1720,1900,0,234,70666,0,0,37,33493,569,276,14764,668,514,1060,3699,15775,10697,16382,4075,8331,7075,693,0,,,,0,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5274,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074,7224,0,30342,24468,,,0,,,9282,11965,350,0,0,105336,365,0,2074,17584,277,5804,14638,2495,2524,1852,9055,970,688,21809,9100,11005,43116,2730,0,,,,0,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5331,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8561,3214,1957,86637,,,1762,,,31097,3340,4035,0,0,150383,289,0,12907,2191,2995,42,28426,42,213,802,1134,0,0,49525,3492,9403,29759,51965,4323,,,,0,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5461,2003-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,96,4082,97,2784,,,15902,,,9349,0,2377,0,44,43828,0,0,0,8887,184,5266,22222,639,936,3953,471,2039,793,21478,4171,3815,4207,886,141,,,,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5751,2003-09-30
